,Bitch_num,Plate_id,item_id,x_coor,y_coor,length,width
0,0,0,33772,0.0,0.0,"2,393.0",58.0
1,0,0,33002,0.0,58.0,"2,378.0",58.0
2,0,0,34413,0.0,116.0,"2,393.0",58.0
3,0,0,35795,0.0,174.0,"2,413.0",58.0
4,0,0,35607,0.0,232.0,"2,378.0",58.0
5,0,0,32558,0.0,290.0,"2,378.0",58.0
6,0,0,34393,0.0,348.0,"2,378.0",58.0
7,0,0,35670,0.0,406.0,"2,378.0",58.0
8,0,0,32538,0.0,464.0,"2,378.0",58.0
9,0,0,35474,0.0,522.0,"2,378.0",58.0
10,0,0,35739,0.0,580.0,"2,393.0",58.0
11,0,0,35731,0.0,638.0,"2,378.0",58.0
12,0,0,37368,0.0,696.0,"2,378.0",58.0
13,0,0,36622,0.0,754.0,"2,413.0",58.0
14,0,0,33257,0.0,812.0,"2,378.0",58.0
15,0,0,35920,0.0,870.0,"2,378.0",58.0
16,0,0,36077,0.0,928.0,"2,413.0",58.0
17,0,0,34049,0.0,986.0,"2,378.0",58.0
18,0,0,36526,0.0,"1,044.0","2,413.0",58.0
19,0,0,35308,0.0,"1,102.0","2,393.0",58.0
20,0,0,32970,0.0,"1,160.0","2,358.0",58.0
21,0,1,34158,0.0,0.0,"1,062.0",58.0
22,0,1,33899,"1,062.0",0.0,"1,062.0",58.0
23,0,1,33735,0.0,58.0,"2,078.0",58.0
24,0,1,34392,0.0,116.0,"2,358.0",58.0
25,0,1,35846,0.0,174.0,"2,358.0",58.0
26,0,1,33721,0.0,232.0,"2,358.0",58.0
27,0,1,35444,0.0,290.0,"2,358.0",58.0
28,0,1,32745,0.0,348.0,"2,358.0",78.0
29,0,1,35009,0.0,426.0,629.5,58.0
30,0,1,37098,629.5,426.0,"1,746.0",58.0
31,0,1,32997,0.0,484.0,"2,338.0",58.0
32,0,1,34227,0.0,542.0,"2,358.0",58.0
33,0,1,35110,0.0,600.0,"2,358.0",58.0
34,0,1,36999,0.0,658.0,"2,358.0",58.0
35,0,1,36954,0.0,716.0,"2,358.0",88.0
36,0,1,32536,0.0,804.0,"2,358.0",58.0
37,0,1,34057,0.0,862.0,"2,078.0",58.0
38,0,1,35270,0.0,920.0,"2,078.0",58.0
39,0,1,32508,0.0,978.0,"2,078.0",58.0
40,0,1,36663,0.0,"1,036.0","2,078.0",58.0
41,0,1,35325,0.0,"1,094.0","2,078.0",58.0
42,0,1,34181,0.0,"1,152.0","2,358.0",58.0
43,0,2,36732,0.0,0.0,"2,058.0",88.0
44,0,2,35845,0.0,88.0,962.0,58.0
45,0,2,33897,0.0,146.0,962.0,58.0
46,0,2,37010,0.0,204.0,962.0,58.0
47,0,2,37330,0.0,262.0,"2,058.0",58.0
48,0,2,35437,0.0,320.0,"1,548.0",58.0
49,0,2,35182,0.0,378.0,"1,610.0",58.0
50,0,2,32872,0.0,436.0,"1,548.0",58.0
51,0,2,34334,0.0,494.0,"1,610.0",58.0
52,0,2,34400,0.0,552.0,"2,058.0",58.0
53,0,2,34904,0.0,610.0,"1,746.0",58.0
54,0,2,35385,0.0,668.0,"2,058.0",58.0
55,0,2,35886,0.0,726.0,"2,058.0",58.0
56,0,2,35305,0.0,784.0,"2,058.0",58.0
57,0,2,33482,0.0,842.0,"2,358.0",78.0
0,78,0,34514,0.0,0.0,646.5,795.0
1,78,0,36632,0.0,795.0,158.0,388.0
2,78,0,33733,158.0,795.0,158.0,388.0
3,78,0,33139,316.0,795.0,158.0,388.0
4,78,0,36600,474.0,795.0,158.0,388.0
5,78,0,34689,646.5,0.0,"1,768.0","1,062.0"
6,78,0,33089,646.5,"1,062.0",346.0,132.5
7,78,1,36840,0.0,0.0,389.0,347.0
8,78,1,33061,389.0,0.0,389.0,347.0
9,78,1,36150,778.0,0.0,132.5,346.0
10,78,1,35703,910.5,0.0,383.0,343.0
11,78,1,36467,0.0,347.0,"2,181.0",863.0
12,78,2,33517,0.0,0.0,"2,181.0",962.0
13,78,3,35366,0.0,0.0,"2,181.0",764.0
14,78,3,33842,0.0,764.0,699.0,383.0
15,78,4,34818,0.0,0.0,"2,181.0",863.0
16,78,5,36036,0.0,0.0,"2,181.0",764.0
17,78,6,32620,0.0,0.0,"2,181.0",611.5
18,78,7,37135,0.0,0.0,646.5,795.0
0,79,0,36773,0,0,"1,408.50",359
1,79,0,37465,"1,408.50",0,416,359
2,79,0,36590,"1,824.50",0,540,344
3,79,0,33553,0,359,"2,214.00",415
4,79,0,36110,"2,214.00",359,205,397
5,79,0,34470,0,774,"2,214.00",440
6,79,0,34274,"2,214.00",774,205,433
7,79,1,33217,0,0,"2,214.00",469
8,79,1,36601,"2,214.00",0,208,455
9,79,1,33512,0,469,"1,998.00",216
10,79,1,33744,"1,998.00",469,433,205
11,79,1,32831,0,685,"2,278.00",530
12,79,2,36371,0,0,"2,214.00",365.5
13,79,2,33123,0,365.5,"2,214.00",494
