Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 12,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11090,,,,,,,,,,0,,,,0,,,"2,423.00",,,558,,,
2,,7751,,,,,,,,,,0,,,,558,,,868,,,326.5,,,
3,,8135,,,,,,,,,,868,,,,558,,,345,,,326.5,,,
4,,9712,,,,,,,,,,"1,213.00",,,,558,,,868,,,326.5,,,
5,,11421,,,,,,,,,,"2,081.00",,,,558,,,345,,,326.5,,,
6,,9254,,,,,,,,,,0,,,,884.5,,,345,,,326.5,,,
7,,12427,,,,,,,,,,345,,,,884.5,,,868,,,326.5,,,
8,,8882,,,,,,,,,,"1,213.00",,,,884.5,,,345,,,326.5,,,
9,,11247,,,,,,,,,,"1,558.00",,,,884.5,,,868,,,326.5,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,558,,"2,440.00",,,558,,,"2,440.00",,,"1,220.00",,,558,,,---,,
2,,"2,423.00",,,,0,,"2,423.00",,,558,,,"2,440.00",,,558,,,"2,423.00",,,|,,
3,,0,,,,884.5,,"2,440.00",,,884.5,,,"2,440.00",,,662,,,326.5,,,---,,
4,,868,,,,558,,868,,,884.5,,,"2,440.00",,,326.5,,,868,,,|,,
5,,"1,213.00",,,,558,,"1,213.00",,,884.5,,,"1,572.00",,,326.5,,,345,,,|,,
6,,"2,081.00",,,,558,,"2,081.00",,,884.5,,,"1,227.00",,,326.5,,,868,,,|,,
7,,"2,426.00",,,,558,,"2,426.00",,,884.5,,,359,,,326.5,,,345,,,|,,
8,,0,,,,"1,211.00",,"2,440.00",,,"1,211.00",,,"2,440.00",,,335.5,,,326.5,,,---,,
9,,345,,,,884.5,,345,,,"1,211.00",,,"2,440.00",,,326.5,,,345,,,|,,
10,,"1,213.00",,,,884.5,,"1,213.00",,,"1,211.00",,,"2,095.00",,,326.5,,,868,,,|,,
11,,"1,558.00",,,,884.5,,"1,558.00",,,"1,211.00",,,"1,227.00",,,326.5,,,345,,,|,,
12,,"2,426.00",,,,884.5,,"2,426.00",,,"1,211.00",,,882,,,326.5,,,868,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,490.0)   10,490.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 12,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7831,,,,,,,,,,0,,,,0,,,"1,039.00",,,380,,,
2,,8582,,,,,,,,,,"1,039.00",,,,0,,,"1,039.00",,,380,,,
3,,10148,,,,,,,,,,"2,078.00",,,,0,,,338,,,364,,,*
4,,11671,,,,,,,,,,0,,,,380,,,473,,,400,,,*
5,,8079,,,,,,,,,,473,,,,380,,,473,,,400,,,*
6,,8239,,,,,,,,,,946,,,,380,,,473,,,400,,,*
7,,8846,,,,,,,,,,"1,419.00",,,,380,,,507,,,379,,,
8,,8471,,,,,,,,,,"1,926.00",,,,380,,,507,,,379,,,
9,,12182,,,,,,,,,,0,,,,780,,,"2,121.00",,,58,,,
10,,9600,,,,,,,,,,0,,,,838,,,"1,039.00",,,380,,,
11,,7770,,,,,,,,,,"1,039.00",,,,838,,,"1,039.00",,,380,,,
12,,12088,,,,,,,,,,"2,078.00",,,,838,,,338,,,364,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,380,,"2,440.00",,,380,,,"2,440.00",,,"1,220.00",,,380,,,---,,
2,,"1,039.00",,,,0,,"1,039.00",,,380,,,"2,440.00",,,380,,,"1,039.00",,,|,,
3,,"2,078.00",,,,0,,"2,078.00",,,380,,,"1,401.00",,,380,,,"1,039.00",,,|,,
4,,"2,416.00",,,,0,,"2,416.00",,,380,,,362,,,380,,,338,,,|,,
5,,"2,078.00",,,,364,,"2,416.00",,,364,,,338,,,380,,,364,,,---,,
6,,0,,,,780,,"2,440.00",,,780,,,"2,440.00",,,840,,,400,,,---,,
7,,473,,,,380,,473,,,780,,,"2,440.00",,,400,,,473,,,|,,
8,,946,,,,380,,946,,,780,,,"1,967.00",,,400,,,473,,,|,,
9,,"1,419.00",,,,380,,"1,419.00",,,780,,,"1,494.00",,,400,,,473,,,|,,
10,,"1,926.00",,,,380,,"1,926.00",,,780,,,"1,021.00",,,400,,,507,,,|,,
11,,"1,419.00",,,,759,,"1,926.00",,,759,,,507,,,400,,,379,,,---,,
12,"2,433.00",380,"2,433.00",780,514,400,507,|,,,,,,,,,,,,,,,,,
13,"1,926.00",759,"2,433.00",759,507,400,379,---,,,,,,,,,,,,,,,,,
14,0,838,"2,440.00",838,"2,440.00",440,58,---,,,,,,,,,,,,,,,,,
15,"2,121.00",780,"2,121.00",838,"2,440.00",58,"2,121.00",|,,,,,,,,,,,,,,,,,
16,0,"1,218.00","2,440.00","1,218.00","2,440.00",382,380,---,,,,,,,,,,,,,,,,,
17,"1,039.00",838,"1,039.00","1,218.00","2,440.00",380,"1,039.00",|,,,,,,,,,,,,,,,,,
18,"2,078.00",838,"2,078.00","1,218.00","1,401.00",380,"1,039.00",|,,,,,,,,,,,,,,,,,
19,"2,416.00",838,"2,416.00","1,218.00",362,380,338,|,,,,,,,,,,,,,,,,,
20,"2,078.00","1,202.00","2,416.00","1,202.00",338,380,364,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 15,788.0)   15,788.0",,,,,,Count of cuts   (1 x 20)   20,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 12,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
