Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23827,,,,,,,,,,0,,,,0,,,"2,353.00",,,764,,,
2,,24362,,,,,,,,,,0,,,,764,,,"2,349.00",,,445,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,764,,"2,440.00",,,764,,,"2,440.00",,,"1,220.00",,,764,,,---,,
2,,"2,353.00",,,,0,,"2,353.00",,,764,,,"2,440.00",,,764,,,"2,353.00",,,|,,
3,,0,,,,"1,209.00",,"2,440.00",,,"1,209.00",,,"2,440.00",,,456,,,445,,,---,,
4,,"2,349.00",,,,764,,"2,349.00",,,"1,209.00",,,"2,440.00",,,445,,,"2,349.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,089.0)   6,089.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24908,,,,,,,,,,0,,,,0,,,"2,353.00",,,764,,,
2,,26335,,,,,,,,,,0,,,,764,,,"2,349.00",,,445,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,764,,"2,440.00",,,764,,,"2,440.00",,,"1,220.00",,,764,,,---,,
2,,"2,353.00",,,,0,,"2,353.00",,,764,,,"2,440.00",,,764,,,"2,353.00",,,|,,
3,,0,,,,"1,209.00",,"2,440.00",,,"1,209.00",,,"2,440.00",,,456,,,445,,,---,,
4,,"2,349.00",,,,764,,"2,349.00",,,"1,209.00",,,"2,440.00",,,445,,,"2,349.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,089.0)   6,089.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26495,,,,,,,,,,0,,,,0,,,"2,349.00",,,364,,,
2,,24094,,,,,,,,,,0,,,,364,,,"2,349.00",,,331,,,
3,,25356,,,,,,,,,,0,,,,695,,,342.5,,,490,,,*
4,,26942,,,,,,,,,,342.5,,,,695,,,"1,923.00",,,466,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,364,,"2,440.00",,,364,,,"2,440.00",,,"1,220.00",,,364,,,---,,
2,,"2,349.00",,,,0,,"2,349.00",,,364,,,"2,440.00",,,364,,,"2,349.00",,,|,,
3,,0,,,,695,,"2,440.00",,,695,,,"2,440.00",,,856,,,331,,,---,,
4,,"2,349.00",,,,364,,"2,349.00",,,695,,,"2,440.00",,,331,,,"2,349.00",,,|,,
5,,342.5,,,,695,,342.5,,,"1,220.00",,,"2,440.00",,,525,,,342.5,,,|,,
6,,0,,,,"1,185.00",,342.5,,,"1,185.00",,,342.5,,,525,,,490,,,---,,
7,,"2,265.50",,,,695,,"2,265.50",,,"1,220.00",,,"2,097.50",,,525,,,"1,923.00",,,|,,
8,,342.5,,,,"1,161.00",,"2,265.50",,,"1,161.00",,,"1,923.00",,,525,,,466,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,890.5)   8,890.5",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24707,,,,,,,,,,0,,,,0,,,694,,,395,,,
2,,27201,,,,,,,,,,694,,,,0,,,694,,,395,,,
3,,25376,,,,,,,,,,"1,388.00",,,,0,,,694,,,395,,,
4,,22880,,,,,,,,,,0,,,,395,,,"2,353.00",,,764,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,395,,"2,440.00",,,395,,,"2,440.00",,,"1,220.00",,,395,,,---,,
2,,694,,,,0,,694,,,395,,,"2,440.00",,,395,,,694,,,|,,
3,,"1,388.00",,,,0,,"1,388.00",,,395,,,"1,746.00",,,395,,,694,,,|,,
4,,"2,082.00",,,,0,,"2,082.00",,,395,,,"1,052.00",,,395,,,694,,,|,,
5,,0,,,,"1,159.00",,"2,440.00",,,"1,159.00",,,"2,440.00",,,825,,,764,,,---,,
6,,"2,353.00",,,,395,,"2,353.00",,,"1,159.00",,,"2,440.00",,,764,,,"2,353.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,829.0)   6,829.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24899,,,,,,,,,,0,,,,0,,,123,,,943,,,*
2,,24576,,,,,,,,,,123,,,,0,,,395,,,694,,,*
3,,25800,,*,,,,,*,,,518,,,,0,,,342.5,,,490,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,123,,,,0,,123,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,123,,,|,,
2,,0,,,,943,,123,,,943,,,123,,,"1,220.00",,,943,,,---,,
3,,518,,,,0,,518,,,"1,220.00",,,"2,317.00",,,"1,220.00",,,395,,,|,,
4,,123,,,,694,,518,,,694,,,395,,,"1,220.00",,,694,,,---,,
5,,860.5,,,,0,,860.5,,,"1,220.00",,,"1,922.00",,,"1,220.00",,,342.5,,,|,,
6,,518,,,,490,,860.5,,,490,,,342.5,,,"1,220.00",,,490,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,520.5)   4,520.5",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,
