Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7385,,,,,,,,,,0.0,,,,0.0,,,705.0,,,524.0,,,,
2,,5914,,*,,,,,*,,,0.0,,,,524.0,,,705.0,,,524.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,705.0,,,,0.0,,705.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,705.0,,,|,,
2,,0.0,,,,524.0,,705.0,,,524.0,,,705.0,,,"1,220.0",,,524.0,,,---,,
3,,0.0,,,,"1,048.0",,705.0,,,"1,048.0",,,705.0,,,696.0,,,524.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,630.0)   2,630.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
