Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32887,,,,,,,,,,0.0,,,,0.0,,,"1,598.0",,,98.0,,,,
2,,32964,,*,,,,,*,,,0.0,,,,98.0,,,"1,598.0",,,98.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,598.0",,,,0.0,,"1,598.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,598.0",,,|,,
2,,0.0,,,,98.0,,"1,598.0",,,98.0,,,"1,598.0",,,"1,220.0",,,98.0,,,---,,
3,,0.0,,,,196.0,,"1,598.0",,,196.0,,,"1,598.0",,,"1,122.0",,,98.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,416.0)   4,416.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
