Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32318,,,,,,,,,,0,,,,0,,,"1,332.00",,,380,,,
2,,6996,,,,,,,,,,"1,332.00",,,,0,,,273.5,,,373,,,
3,,6646,,,,,,,,,,"1,605.50",,,,0,,,273.5,,,373,,,
4,,4506,,,,,,,,,,"1,879.00",,,,0,,,273.5,,,373,,,
5,,6919,,,,,,,,,,"2,152.50",,,,0,,,273.5,,,373,,,
6,,6703,,,,,,,,,,0,,,,380,,,"2,075.00",,,372,,,
7,,5838,,,,,,,,,,"2,075.00",,,,380,,,195,,,372,,,
8,,6993,,,,,,,,,,0,,,,752,,,"2,075.00",,,372,,,
9,,6179,,,,,,,,,,"2,075.00",,,,752,,,195,,,372,,,
10,,4611,,,,,,,,,,0,,,,"1,124.00",,,"2,075.00",,,58,,,
11,,28299,,,,,,,,,,0,,,,"1,182.00",,,"1,976.00",,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,380,,"2,440.00",,,380,,,"2,440.00",,,"1,220.00",,,380,,,---,,
2,,"1,332.00",,,,0,,"1,332.00",,,380,,,"2,440.00",,,380,,,"1,332.00",,,|,,
3,,"1,605.50",,,,0,,"1,605.50",,,380,,,"1,108.00",,,380,,,273.5,,,|,,
4,,"1,332.00",,,,373,,"1,605.50",,,373,,,273.5,,,380,,,373,,,---,,
5,,"1,879.00",,,,0,,"1,879.00",,,380,,,834.5,,,380,,,273.5,,,|,,
6,,"1,605.50",,,,373,,"1,879.00",,,373,,,273.5,,,380,,,373,,,---,,
7,,"2,152.50",,,,0,,"2,152.50",,,380,,,561,,,380,,,273.5,,,|,,
8,,"1,879.00",,,,373,,"2,152.50",,,373,,,273.5,,,380,,,373,,,---,,
9,,"2,426.00",,,,0,,"2,426.00",,,380,,,287.5,,,380,,,273.5,,,|,,
10,,"2,152.50",,,,373,,"2,426.00",,,373,,,273.5,,,380,,,373,,,---,,
11,,0,,,,752,,"2,440.00",,,752,,,"2,440.00",,,840,,,372,,,---,,
12,,"2,075.00",,,,380,,"2,075.00",,,752,,,"2,440.00",,,372,,,"2,075.00",,,|,,
13,"2,270.00",380,"2,270.00",752,365,372,195,|,,,,,,,,,,,,,,,,,
14,0,"1,124.00","2,440.00","1,124.00","2,440.00",468,372,---,,,,,,,,,,,,,,,,,
15,"2,075.00",752,"2,075.00","1,124.00","2,440.00",372,"2,075.00",|,,,,,,,,,,,,,,,,,
16,"2,270.00",752,"2,270.00","1,124.00",365,372,195,|,,,,,,,,,,,,,,,,,
