Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 29,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6828,,,,,,,,,,0,,,,0,,,"1,823.00",,,741,,,
2,,6554,,,,,,,,,,0,,,,741,,,"1,763.00",,,439,,,
3,,3890,,,,,,,,,,"1,823.00",,,,0,,,610,,,761,,,
4,,5573,,,,,,,,,,"1,823.00",,,,761,,,605,,,439,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,823.00",,,,0,,"1,823.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,823.00",,,|,,
2,,0,,,,741,,"1,823.00",,,741,,,"1,823.00",,,"1,220.00",,,741,,,---,,
3,,0,,,,"1,180.00",,"1,823.00",,,"1,180.00",,,"1,823.00",,,479,,,439,,,---,,
4,,"1,763.00",,,,741,,"1,763.00",,,"1,180.00",,,"1,823.00",,,439,,,"1,763.00",,,|,,
5,,"2,433.00",,,,0,,"2,433.00",,,"1,220.00",,,617,,,"1,220.00",,,610,,,|,,
6,,"1,823.00",,,,761,,"2,433.00",,,761,,,610,,,"1,220.00",,,761,,,---,,
7,,"1,823.00",,,,"1,200.00",,"2,433.00",,,"1,200.00",,,610,,,459,,,439,,,---,,
8,,"2,428.00",,,,761,,"2,428.00",,,"1,200.00",,,610,,,439,,,605,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,184.0)   8,184.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 29,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4523,,,,,,,,,,0,,,,0,,,"1,971.00",,,761,,,
2,,5029,,,,,,,,,,"1,971.00",,,,0,,,448,,,741,,,
3,,6343,,,,,,,,,,0,,,,761,,,752,,,448,,,*
4,,7359,,,,,,,,,,752,,,,761,,,741,,,448,,,*
5,,4971,,,,,,,,,,"1,493.00",,,,761,,,730,,,439,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,761,,"2,440.00",,,761,,,"2,440.00",,,"1,220.00",,,761,,,---,,
2,,"1,971.00",,,,0,,"1,971.00",,,761,,,"2,440.00",,,761,,,"1,971.00",,,|,,
3,,"2,419.00",,,,0,,"2,419.00",,,761,,,469,,,761,,,448,,,|,,
4,,"1,971.00",,,,741,,"2,419.00",,,741,,,448,,,761,,,741,,,---,,
5,,0,,,,"1,209.00",,"2,440.00",,,"1,209.00",,,"2,440.00",,,459,,,448,,,---,,
6,,752,,,,761,,752,,,"1,209.00",,,"2,440.00",,,448,,,752,,,|,,
7,,"1,493.00",,,,761,,"1,493.00",,,"1,209.00",,,"1,688.00",,,448,,,741,,,|,,
8,,"2,223.00",,,,761,,"2,223.00",,,"1,209.00",,,947,,,448,,,730,,,|,,
9,,"1,493.00",,,,"1,200.00",,"2,223.00",,,"1,200.00",,,730,,,448,,,439,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,924.0)   8,924.0",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 29,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6508,,,,,,,,,,0,,,,0,,,"2,001.00",,,741,,,
2,,4730,,,,,,,,,,"2,001.00",,,,0,,,439,,,398,,,*
3,,5143,,,,,,,,,,"2,001.00",,,,398,,,439,,,262,,,*
4,,5727,,,,,,,,,,0,,,,741,,,"2,263.00",,,435,,,
5,,5811,,,,,,,,,,"2,263.00",,,,741,,,118,,,288,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,741,,"2,440.00",,,741,,,"2,440.00",,,"1,220.00",,,741,,,---,,
2,,"2,001.00",,,,0,,"2,001.00",,,741,,,"2,440.00",,,741,,,"2,001.00",,,|,,
3,,"2,001.00",,,,398,,"2,440.00",,,398,,,439,,,741,,,398,,,---,,
4,,"2,001.00",,,,660,,"2,440.00",,,660,,,439,,,343,,,262,,,---,,
5,,0,,,,"1,176.00",,"2,440.00",,,"1,176.00",,,"2,440.00",,,479,,,435,,,---,,
6,,"2,263.00",,,,741,,"2,263.00",,,"1,176.00",,,"2,440.00",,,435,,,"2,263.00",,,|,,
7,,"2,381.00",,,,741,,"2,381.00",,,"1,176.00",,,177,,,435,,,118,,,|,,
8,,"2,263.00",,,,"1,029.00",,"2,381.00",,,"1,029.00",,,118,,,435,,,288,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,487.0)   7,487.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 29,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4968,,,,,,,,,,0,,,,0,,,"1,883.00",,,983,,,
2,,6998,,,,,,,,,,0,,,,983,,,438,,,158,,,
3,,6214,,,,,,,,,,438,,,,983,,,438,,,158,,,
4,,6608,,,,,,,,,,876,,,,983,,,388,,,158,,,
5,,3793,,,,,,,,,,"1,264.00",,,,983,,,388,,,158,,,
6,,4834,,,,,,,,,,"1,883.00",,,,0,,,549.5,,,817,,,
7,,4899,,,,,,,,,,"1,883.00",,,,817,,,439,,,323,,,*
8,,4174,,,,,,,,,,"1,883.00",,,,"1,140.00",,,438,,,78,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,883.00",,,,0,,"1,883.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,883.00",,,|,,
2,,0,,,,983,,"1,883.00",,,983,,,"1,883.00",,,"1,220.00",,,983,,,---,,
