Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,35172,,,,,,,,,,0.0,,,,0.0,,,598.0,,,298.0,,,,
2,,35675,,*,,,,,*,,,0.0,,,,298.0,,,598.0,,,844.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,598.0,,,,0.0,,598.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,598.0,,,|,,
2,,0.0,,,,298.0,,598.0,,,298.0,,,598.0,,,"1,220.0",,,298.0,,,---,,
3,,0.0,,,,"1,142.0",,598.0,,,"1,142.0",,,598.0,,,922.0,,,844.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,416.0)   2,416.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
