Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 27,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24568,,,,,,,,,,0,,,,0,,,"1,844.50",,,495,,,
2,,24969,,,,,,,,,,"1,844.50",,,,0,,,566.5,,,494,,,
3,,26338,,,,,,,,,,0,,,,495,,,786,,,368,,,
4,,23060,,,,,,,,,,786,,,,495,,,862,,,359,,,
5,,22923,,,,,,,,,,"1,648.00",,,,495,,,785,,,358,,,
6,,24286,,,,,,,,,,0,,,,863,,,"1,310.00",,,357,,,
7,,26144,,,,,,,,,,"1,310.00",,,,863,,,"1,062.00",,,352,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,495,,"2,440.00",,,495,,,"2,440.00",,,"1,220.00",,,495,,,---,,
2,,"1,844.50",,,,0,,"1,844.50",,,495,,,"2,440.00",,,495,,,"1,844.50",,,|,,
3,,"2,411.00",,,,0,,"2,411.00",,,495,,,595.5,,,495,,,566.5,,,|,,
4,,"1,844.50",,,,494,,"2,411.00",,,494,,,566.5,,,495,,,494,,,---,,
5,,0,,,,863,,"2,440.00",,,863,,,"2,440.00",,,725,,,368,,,---,,
6,,786,,,,495,,786,,,863,,,"2,440.00",,,368,,,786,,,|,,
7,,"1,648.00",,,,495,,"1,648.00",,,863,,,"1,654.00",,,368,,,862,,,|,,
8,,786,,,,854,,"1,648.00",,,854,,,862,,,368,,,359,,,---,,
9,,"2,433.00",,,,495,,"2,433.00",,,863,,,792,,,368,,,785,,,|,,
10,,"1,648.00",,,,853,,"2,433.00",,,853,,,785,,,368,,,358,,,---,,
11,,"1,310.00",,,,863,,"1,310.00",,,"1,220.00",,,"2,440.00",,,357,,,"1,310.00",,,|,,
12,,"2,372.00",,,,863,,"2,372.00",,,"1,220.00",,,"1,130.00",,,357,,,"1,062.00",,,|,,
13,,"1,310.00",,,,"1,215.00",,"2,372.00",,,"1,215.00",,,"1,062.00",,,357,,,352,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,963.5)   10,963.5",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 27,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,22910,,,,,,,,,,0,,,,0,,,878,,,380,,,
2,,26628,,,,,,,,,,878,,,,0,,,785,,,379.5,,,
3,,23815,,,,,,,,,,"1,663.00",,,,0,,,518,,,375,,,
4,,26003,,,,,,,,,,"2,181.00",,,,0,,,237,,,345,,,*
5,,22696,,,,,,,,,,0,,,,380,,,"1,844.50",,,495,,,
6,,24910,,,,,,,,,,"1,844.50",,,,380,,,557,,,476,,,*
7,,23018,,,,,,,,,,0,,,,875,,,785,,,340,,,
8,,25975,,,,,,,,,,785,,,,875,,,785,,,340,,,
9,,26110,,,,,,,,,,"1,570.00",,,,875,,,861,,,339.5,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,380,,"2,440.00",,,380,,,"2,440.00",,,"1,220.00",,,380,,,---,,
