Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
1 of 1,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,35637,,,,,,,,,,0,,,,0,,,"1,928.00",,,448,
2,,36025,,,,,,,,,,0,,,,448,,,936,,,258,
3,,33128,,*,,,,,*,,,936,,,,448,,,936,,,258,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,928.00",,,,0,,"1,928.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,928.00",,,|
2,,0,,,,448,,"1,928.00",,,448,,,"1,928.00",,,"1,220.00",,,448,,,---
3,,0,,,,706,,"1,928.00",,,706,,,"1,928.00",,,772,,,258,,,---
4,,936,,,,448,,936,,,706,,,"1,928.00",,,258,,,936,,,|
5,,"1,872.00",,,,448,,"1,872.00",,,706,,,992,,,258,,,936,,,|
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,592.0)   5,592.0",,,,,,,,,,,,,,,Count of cuts   (1 x 5)   5,,,,,,,,
