Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32597,,,,,,,,,,0.0,,,,0.0,,,"2,368.0",,,394.5,,,,
2,,36505,,,,,,,,,,0.0,,,,394.5,,,"2,368.0",,,394.5,,,,
3,,36050,,,,,,,,,,0.0,,,,789.0,,,"2,368.0",,,396.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,368.0",,,,0.0,,"2,368.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,368.0",,,|,,
2,,0.0,,,,394.5,,"2,368.0",,,394.5,,,"2,368.0",,,"1,220.0",,,394.5,,,---,,
3,,0.0,,,,789.0,,"2,368.0",,,789.0,,,"2,368.0",,,825.5,,,394.5,,,---,,
4,,0.0,,,,"1,185.0",,"2,368.0",,,"1,185.0",,,"2,368.0",,,431.0,,,396.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,324.0)   8,324.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33107,,*,,,,,*,,,0.0,,,,0.0,,,"2,368.0",,,328.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,328.0,,"2,440.0",,,328.0,,,"2,440.0",,,"1,220.0",,,328.0,,,---,,
2,,"2,368.0",,,,0.0,,"2,368.0",,,328.0,,,"2,440.0",,,328.0,,,"2,368.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,768.0)   2,768.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
