Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 18,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32393,,,,,,,,,,0,,,,0,,,"1,931.00",,,816,,,
2,,28362,,,,,,,,,,0,,,,816,,,"1,931.00",,,393.5,,,
3,,31825,,,,,,,,,,"1,931.00",,,,0,,,499,,,966,,,
4,,28671,,,,,,,,,,"1,931.00",,,,966,,,498,,,118,,,
5,,29088,,,,,,,,,,"1,931.00",,,,"1,084.00",,,466,,,135,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,931.00",,,,0,,"1,931.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,931.00",,,|,,
2,,0,,,,816,,"1,931.00",,,816,,,"1,931.00",,,"1,220.00",,,816,,,---,,
3,,0,,,,"1,209.50",,"1,931.00",,,"1,209.50",,,"1,931.00",,,404,,,393.5,,,---,,
4,,"2,430.00",,,,0,,"2,430.00",,,"1,220.00",,,509,,,"1,220.00",,,499,,,|,,
5,,"1,931.00",,,,966,,"2,430.00",,,966,,,499,,,"1,220.00",,,966,,,---,,
6,,"1,931.00",,,,"1,084.00",,"2,430.00",,,"1,084.00",,,499,,,254,,,118,,,---,,
7,,"2,429.00",,,,966,,"2,429.00",,,"1,084.00",,,499,,,118,,,498,,,|,,
8,,"1,931.00",,,,"1,219.00",,"2,430.00",,,"1,219.00",,,499,,,136,,,135,,,---,,
9,,"2,397.00",,,,"1,084.00",,"2,397.00",,,"1,219.00",,,499,,,135,,,466,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,052.0)   8,052.0",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 18,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30610,,,,,,,,,,0,,,,0,,,"1,931.00",,,542,,,
2,,27803,,,,,,,,,,"1,931.00",,,,0,,,483.5,,,540,,,
3,,27464,,,,,,,,,,0,,,,542,,,"1,379.50",,,662,,,
4,,28536,,,,,,,,,,"1,379.50",,,,542,,,705,,,655,,,
5,,32302,,,,,,,,,,"2,084.50",,,,542,,,345,,,648,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,542,,"2,440.00",,,542,,,"2,440.00",,,"1,220.00",,,542,,,---,,
2,,"1,931.00",,,,0,,"1,931.00",,,542,,,"2,440.00",,,542,,,"1,931.00",,,|,,
3,,"2,414.50",,,,0,,"2,414.50",,,542,,,509,,,542,,,483.5,,,|,,
4,,"1,931.00",,,,540,,"2,414.50",,,540,,,483.5,,,542,,,540,,,---,,
5,,0,,,,"1,204.00",,"2,440.00",,,"1,204.00",,,"2,440.00",,,678,,,662,,,---,,
6,,"1,379.50",,,,542,,"1,379.50",,,"1,204.00",,,"2,440.00",,,662,,,"1,379.50",,,|,,
7,,"2,084.50",,,,542,,"2,084.50",,,"1,204.00",,,"1,060.50",,,662,,,705,,,|,,
8,,"1,379.50",,,,"1,197.00",,"2,084.50",,,"1,197.00",,,705,,,662,,,655,,,---,,
9,,"2,429.50",,,,542,,"2,429.50",,,"1,204.00",,,355.5,,,662,,,345,,,|,,
10,,"2,084.50",,,,"1,190.00",,"2,429.50",,,"1,190.00",,,345,,,662,,,648,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,483.5)   9,483.5",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
