Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5974,,,,,,,,,,0.0,,,,0.0,,,645.0,,,251.5,,,*,
2,,6245,,,,,,,,,,0.0,,,,251.5,,,645.0,,,251.5,,,*,
3,,4059,,,,,,,,,,0.0,,,,503.0,,,645.0,,,251.5,,,*,
4,,3946,,*,,,,,*,,,0.0,,,,754.5,,,645.0,,,251.5,,,*,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,645.0,,,,0.0,,645.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,645.0,,,|,,
2,,0.0,,,,251.5,,645.0,,,251.5,,,645.0,,,"1,220.0",,,251.5,,,---,,
3,,0.0,,,,503.0,,645.0,,,503.0,,,645.0,,,968.5,,,251.5,,,---,,
4,,0.0,,,,754.5,,645.0,,,754.5,,,645.0,,,717.0,,,251.5,,,---,,
5,,0.0,,,,"1,006.0",,645.0,,,"1,006.0",,,645.0,,,465.5,,,251.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,800.0)   3,800.0",,,,,,,,,,,,,,,Count of cuts   (1 x 5)   5,,,,,,,,,,,
