Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,22690,,,,,,,,,,0,,,,0,,,452,,,539.5,,,
2,,25573,,,,,,,,,,452,,,,0,,,451,,,539.5,,,
3,,23336,,,,,,,,,,903,,,,0,,,657,,,538,,,
4,,23635,,,,,,,,,,"1,560.00",,,,0,,,870,,,536,,,
5,,25391,,,,,,,,,,0,,,,539.5,,,698,,,330,,,
6,,27157,,,,,,,,,,698,,,,539.5,,,762,,,329,,,
7,,27321,,,,,,,,,,"1,460.00",,,,539.5,,,980,,,328,,,
8,,26355,,,,,,,,,,0,,,,869.5,,,"2,060.00",,,348,,,
9,,25190,,,,,,,,,,"2,060.00",,,,869.5,,,312,,,327,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,539.5,,"2,440.00",,,539.5,,,"2,440.00",,,"1,220.00",,,539.5,,,---,,
2,,452,,,,0,,452,,,539.5,,,"2,440.00",,,539.5,,,452,,,|,,
3,,903,,,,0,,903,,,539.5,,,"1,988.00",,,539.5,,,451,,,|,,
4,,"1,560.00",,,,0,,"1,560.00",,,539.5,,,"1,537.00",,,539.5,,,657,,,|,,
5,,903,,,,538,,"1,560.00",,,538,,,657,,,539.5,,,538,,,---,,
6,,"2,430.00",,,,0,,"2,430.00",,,539.5,,,880,,,539.5,,,870,,,|,,
7,,"1,560.00",,,,536,,"2,430.00",,,536,,,870,,,539.5,,,536,,,---,,
8,,0,,,,869.5,,"2,440.00",,,869.5,,,"2,440.00",,,680.5,,,330,,,---,,
9,,698,,,,539.5,,698,,,869.5,,,"2,440.00",,,330,,,698,,,|,,
10,,"1,460.00",,,,539.5,,"1,460.00",,,869.5,,,"1,742.00",,,330,,,762,,,|,,
11,,698,,,,868.5,,"1,460.00",,,868.5,,,762,,,330,,,329,,,---,,
12,,"1,460.00",,,,867.5,,"2,440.00",,,867.5,,,980,,,330,,,328,,,---,,
13,,0,,,,"1,217.50",,"2,440.00",,,"1,217.50",,,"2,440.00",,,350.5,,,348,,,---,,
14,,"2,060.00",,,,869.5,,"2,060.00",,,"1,217.50",,,"2,440.00",,,348,,,"2,060.00",,,|,,
15,"2,372.00",869.5,"2,372.00","1,217.50",380,348,312,|,,,,,,,,,,,,,,,,,
16,"2,060.00","1,196.50","2,372.00","1,196.50",312,348,327,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 14,415.0)   14,415.0",,,,,,Count of cuts   (1 x 16)   16,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24042,,,,,,,,,,0,,,,0,,,"1,951.50",,,560,,,
2,,24263,,,,,,,,,,"1,951.50",,,,0,,,391,,,557,,,
3,,23278,,,,,,,,,,"2,342.50",,,,0,,,78,,,548,,,*
4,,25934,,,,,,,,,,0,,,,560,,,"2,075.00",,,348,,,
5,,24175,,,,,,,,,,"2,075.00",,,,560,,,335,,,309,,,
6,,26461,,,,,,,,,,0,,,,908,,,761,,,309.5,,,
7,,26288,,,,,,,,,,761,,,,908,,,790,,,308,,,
8,,26501,,,,,,,,,,"1,551.00",,,,908,,,611,,,303,,,
9,,22811,,,,,,,,,,"2,162.00",,,,908,,,278,,,298,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,560,,"2,440.00",,,560,,,"2,440.00",,,"1,220.00",,,560,,,---,,
2,,"1,951.50",,,,0,,"1,951.50",,,560,,,"2,440.00",,,560,,,"1,951.50",,,|,,
3,,"2,342.50",,,,0,,"2,342.50",,,560,,,488.5,,,560,,,391,,,|,,
4,,"1,951.50",,,,557,,"2,342.50",,,557,,,391,,,560,,,557,,,---,,
5,,"2,420.50",,,,0,,"2,420.50",,,560,,,97.5,,,560,,,78,,,|,,
6,,"2,342.50",,,,548,,"2,420.50",,,548,,,78,,,560,,,548,,,---,,
7,,0,,,,908,,"2,440.00",,,908,,,"2,440.00",,,660,,,348,,,---,,
8,,"2,075.00",,,,560,,"2,075.00",,,908,,,"2,440.00",,,348,,,"2,075.00",,,|,,
9,,"2,410.00",,,,560,,"2,410.00",,,908,,,365,,,348,,,335,,,|,,
10,,"2,075.00",,,,869,,"2,410.00",,,869,,,335,,,348,,,309,,,---,,
11,,761,,,,908,,761,,,"1,220.00",,,"2,440.00",,,312,,,761,,,|,,
12,,0,,,,"1,217.50",,761,,,"1,217.50",,,761,,,312,,,309.5,,,---,,
13,,"1,551.00",,,,908,,"1,551.00",,,"1,220.00",,,"1,679.00",,,312,,,790,,,|,,
14,,761,,,,"1,216.00",,"1,551.00",,,"1,216.00",,,790,,,312,,,308,,,---,,
15,"2,162.00",908,"2,162.00","1,220.00",889,312,611,|,,,,,,,,,,,,,,,,,
16,"1,551.00","1,211.00","2,162.00","1,211.00",611,312,303,---,,,,,,,,,,,,,,,,,
17,"2,162.00","1,206.00","2,440.00","1,206.00",278,312,298,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,436.0)   11,436.0",,,,,,Count of cuts   (1 x 17)   17,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23459,,,,,,,,,,0,,,,0,,,557,,,792,,,*
2,,23638,,,,,,,,,,0,,,,792,,,548,,,427,,,
3,,25020,,,,,,,,,,557,,,,0,,,661,,,762,,,
4,,22878,,,,,,,,,,557,,,,762,,,658,,,298,,,
5,,25302,,,,,,,,,,557,,,,"1,060.00",,,548,,,78,,,
6,,24361,,,,,,,,,,557,,,,"1,138.00",,,548,,,78,,,
7,,23062,,,,,,,,,,"1,218.00",,,,0,,,912,,,879.5,,,
8,,22943,,,,,,,,,,"1,218.00",,,,879.5,,,907,,,314.5,,,
9,,27129,,,,,,,,,,"2,130.00",,,,0,,,310,,,928,,,*
10,,22952,,,,,,,,,,"2,130.00",,,,928,,,309,,,288,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,557,,,,0,,557,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,557,,,|,,
2,,0,,,,792,,557,,,792,,,557,,,"1,220.00",,,792,,,---,,
3,,0,,,,"1,219.00",,557,,,"1,219.00",,,557,,,428,,,427,,,---,,
4,,548,,,,792,,548,,,"1,219.00",,,557,,,427,,,548,,,|,,
5,,"1,218.00",,,,0,,"1,218.00",,,"1,220.00",,,"1,883.00",,,"1,220.00",,,661,,,|,,
6,,557,,,,762,,"1,218.00",,,762,,,661,,,"1,220.00",,,762,,,---,,
7,,557,,,,"1,060.00",,"1,218.00",,,"1,060.00",,,661,,,458,,,298,,,---,,
8,,"1,215.00",,,,762,,"1,215.00",,,"1,060.00",,,661,,,298,,,658,,,|,,
9,,557,,,,"1,138.00",,"1,218.00",,,"1,138.00",,,661,,,160,,,78,,,---,,
10,,"1,105.00",,,,"1,060.00",,"1,105.00",,,"1,138.00",,,661,,,78,,,548,,,|,,
11,,557,,,,"1,216.00",,"1,218.00",,,"1,216.00",,,661,,,82,,,78,,,---,,
12,,"1,105.00",,,,"1,138.00",,"1,105.00",,,"1,216.00",,,661,,,78,,,548,,,|,,
13,,"2,130.00",,,,0,,"2,130.00",,,"1,220.00",,,"1,222.00",,,"1,220.00",,,912,,,|,,
14,"1,218.00",879.5,"2,130.00",879.5,912,"1,220.00",879.5,---,,,,,,,,,,,,,,,,,
15,"1,218.00","1,194.00","2,130.00","1,194.00",912,340.5,314.5,---,,,,,,,,,,,,,,,,,
16,"2,125.00",879.5,"2,125.00","1,194.00",912,314.5,907,|,,,,,,,,,,,,,,,,,
17,"2,130.00",928,"2,440.00",928,310,"1,220.00",928,---,,,,,,,,,,,,,,,,,
18,"2,130.00","1,216.00","2,440.00","1,216.00",310,292,288,---,,,,,,,,,,,,,,,,,
19,"2,439.00",928,"2,439.00","1,216.00",310,288,309,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,345.5)   11,345.5",,,,,,Count of cuts   (1 x 19)   19,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24507,,,,,,,,,,0,,,,0,,,791,,,309.5,,,
2,,22614,,,,,,,,,,791,,,,0,,,709,,,309,,,
3,,23274,,,,,,,,,,"1,500.00",,,,0,,,651,,,303,,,
4,,26510,,,,,,,,,,"2,151.00",,,,0,,,278,,,298,,,*
5,,23414,,,,,,,,,,0,,,,309.5,,,"1,498.00",,,560,,,
