Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26843,,,,,,,,,,0.0,,,,0.0,,,"2,264.0",,,415.0,,,,,
2,,23950,,,,,,,,,,"2,264.0",,,,0.0,,,161.0,,,413.8,,,*,,
3,,24691,,,,,,,,,,0.0,,,,415.0,,,322.0,,,420.0,,,,,
4,,26168,,,,,,,,,,322.0,,,,415.0,,,"1,607.0",,,420.0,,,,,
5,,24674,,,,,,,,,,"1,929.0",,,,415.0,,,322.0,,,420.0,,,,,
6,,26048,,,,,,,,,,"2,251.0",,,,415.0,,,161.0,,,413.8,,,*,,
7,,25887,,,,,,,,,,0.0,,,,835.0,,,751.0,,,384.0,,,,,
8,,23345,,,,,,,,,,751.0,,,,835.0,,,751.0,,,382.5,,,,,
9,,24414,,,,,,,,,,"1,502.0",,,,835.0,,,751.0,,,382.5,,,,,
10,,26801,,,,,,,,,,"2,253.0",,,,835.0,,,172.0,,,344.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,415.0,,"2,440.0",,,415.0,,,"2,440.0",,,"1,220.0",,,415.0,,,---,,,
2,,"2,264.0",,,,0.0,,"2,264.0",,,415.0,,,"2,440.0",,,415.0,,,"2,264.0",,,|,,,
3,,"2,425.0",,,,0.0,,"2,425.0",,,415.0,,,176.0,,,415.0,,,161.0,,,|,,,
4,,"2,264.0",,,,413.8,,"2,425.0",,,413.8,,,161.0,,,415.0,,,413.8,,,---,,,
5,,0.0,,,,835.0,,"2,440.0",,,835.0,,,"2,440.0",,,805.0,,,420.0,,,---,,,
6,,322.0,,,,415.0,,322.0,,,835.0,,,"2,440.0",,,420.0,,,322.0,,,|,,,
7,,"1,929.0",,,,415.0,,"1,929.0",,,835.0,,,"2,118.0",,,420.0,,,"1,607.0",,,|,,,
8,,"2,251.0",,,,415.0,,"2,251.0",,,835.0,,,511.0,,,420.0,,,322.0,,,|,,,
9,,"2,412.0",,,,415.0,,"2,412.0",,,835.0,,,189.0,,,420.0,,,161.0,,,|,,,
10,,"2,251.0",,,,828.8,,"2,412.0",,,828.8,,,161.0,,,420.0,,,413.8,,,---,,,
11,,751.0,,,,835.0,,751.0,,,"1,220.0",,,"2,440.0",,,385.0,,,751.0,,,|,,,
12,,0.0,,,,"1,219.0",,751.0,,,"1,219.0",,,751.0,,,385.0,,,384.0,,,---,,,
13,,"1,502.0",,,,835.0,,"1,502.0",,,"1,220.0",,,"1,689.0",,,385.0,,,751.0,,,|,,,
14,751.0,"1,217.5","1,502.0","1,217.5",751.0,385.0,382.5,---
15,"2,253.0",835.0,"2,253.0","1,220.0",938.0,385.0,751.0,|
16,"1,502.0","1,217.5","2,253.0","1,217.5",751.0,385.0,382.5,---
17,"2,425.0",835.0,"2,425.0","1,220.0",187.0,385.0,172.0,|
18,"2,253.0","1,179.0","2,425.0","1,179.0",172.0,385.0,344.0,---
,,,,,,,,
"Sum of cuts   (1 x 11,677.0)   11,677.0",,,,,,Count of cuts   (1 x 18)   18,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24892,,,,,,,,,,0.0,,,,0.0,,,"2,370.5",,,408.5,,,,,
2,,26415,,,,,,,,,,0.0,,,,408.5,,,"2,370.5",,,408.5,,,,,
3,,26950,,,,,,,,,,0.0,,,,817.0,,,"2,365.5",,,398.0,,,,,
