Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31298,,,,,,,,,,0,,,,0,,,439,,,693,,,
2,,27990,,,,,,,,,,0,,,,693,,,438,,,158,,,
3,,27456,,,,,,,,,,0,,,,851,,,438,,,118,,,
4,,29004,,,,,,,,,,0,,,,969,,,438,,,118,,,
5,,29470,,,,,,,,,,0,,,,"1,087.00",,,438,,,118,,,
6,,28688,,,,,,,,,,439,,,,0,,,586,,,489,,,
7,,29874,,,,,,,,,,439,,,,489,,,586,,,489,,,
8,,32160,,,,,,,,,,439,,,,978,,,574,,,132.5,,,
9,,32095,,,,,,,,,,439,,,,"1,110.50",,,574,,,92.5,,,
10,,30200,,,,,,,,,,"1,025.00",,,,0,,,439,,,414,,,
11,,32351,,,,,,,,,,"1,025.00",,,,414,,,439,,,511,,,
12,,30585,,,,,,,,,,"1,025.00",,,,925,,,438,,,158,,,
13,,29148,,,,,,,,,,"1,025.00",,,,"1,083.00",,,438,,,118,,,
14,,31231,,,,,,,,,,"1,464.00",,,,0,,,439,,,511,,,
15,,29845,,,,,,,,,,"1,464.00",,,,511,,,439,,,579,,,
16,,32372,,,,,,,,,,"1,464.00",,,,"1,090.00",,,438,,,118,,,
17,,28290,,,,,,,,,,"1,903.00",,,,0,,,118,,,438,,,
18,,28925,,,,,,,,,,"1,903.00",,,,438,,,118,,,438,,,
19,,27506,,,,,,,,,,"1,903.00",,,,876,,,92.5,,,332,,,
20,,30575,,,,,,,,,,"2,021.00",,,,0,,,172.5,,,585,,,
21,,29862,,,,,,,,,,"2,021.00",,,,585,,,172.5,,,585,,,
22,,27676,,,,,,,,,,"2,193.50",,,,0,,,239,,,333,,,
23,,32261,,,,,,,,,,"2,193.50",,,,333,,,118,,,438,,,
24,,31549,,,,,,,,,,"2,311.50",,,,333,,,118,,,438,,,
25,,28508,,,,,,,,,,"2,193.50",,,,771,,,118,,,438,,,
26,,29925,,,,,,,,,,"2,311.50",,,,771,,,118,,,438,,,
Cuts - absolute coordinates,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,,,,,,
#,,X1,X2,Y2,Length,Width,Cut,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,439,0,439,"1,220.00","2,440.00","1,220.00",439,|,,,,,,,,,,,,,,,,,
2,0,693,439,693,439,"1,220.00",693,---,,,,,,,,,,,,,,,,,
3,0,851,439,851,439,527,158,---,,,,,,,,,,,,,,,,,
4,438,693,438,851,439,158,438,|,,,,,,,,,,,,,,,,,
5,0,969,439,969,439,369,118,---,,,,,,,,,,,,,,,,,
6,438,851,438,969,439,118,438,|,,,,,,,,,,,,,,,,,
7,0,"1,087.00",439,"1,087.00",439,251,118,---,,,,,,,,,,,,,,,,,
8,438,969,438,"1,087.00",439,118,438,|,,,,,,,,,,,,,,,,,
9,0,"1,205.00",439,"1,205.00",439,133,118,---,,,,,,,,,,,,,,,,,
10,438,"1,087.00",438,"1,205.00",439,118,438,|,,,,,,,,,,,,,,,,,
11,"1,025.00",0,"1,025.00","1,220.00","2,001.00","1,220.00",586,|,,,,,,,,,,,,,,,,,
12,439,489,"1,025.00",489,586,"1,220.00",489,---,,,,,,,,,,,,,,,,,
13,439,978,"1,025.00",978,586,731,489,---,,,,,,,,,,,,,,,,,
14,439,"1,110.50","1,025.00","1,110.50",586,242,132.5,---,,,,,,,,,,,,,,,,,
15,"1,013.00",978,"1,013.00","1,110.50",586,132.5,574,|,,,,,,,,,,,,,,,,,
16,439,"1,203.00","1,025.00","1,203.00",586,109.5,92.5,---,,,,,,,,,,,,,,,,,
17,"1,013.00","1,110.50","1,013.00","1,203.00",586,92.5,574,|,,,,,,,,,,,,,,,,,
18,"1,464.00",0,"1,464.00","1,220.00","1,415.00","1,220.00",439,|,,,,,,,,,,,,,,,,,
19,"1,025.00",414,"1,464.00",414,439,"1,220.00",414,---,,,,,,,,,,,,,,,,,
20,"1,025.00",925,"1,464.00",925,439,806,511,---,,,,,,,,,,,,,,,,,
21,"1,025.00","1,083.00","1,464.00","1,083.00",439,295,158,---,,,,,,,,,,,,,,,,,
22,"1,463.00",925,"1,463.00","1,083.00",439,158,438,|,,,,,,,,,,,,,,,,,
23,"1,025.00","1,201.00","1,464.00","1,201.00",439,137,118,---,,,,,,,,,,,,,,,,,
24,"1,463.00","1,083.00","1,463.00","1,201.00",439,118,438,|,,,,,,,,,,,,,,,,,
25,"1,903.00",0,"1,903.00","1,220.00",976,"1,220.00",439,|,,,,,,,,,,,,,,,,,
26,"1,464.00",511,"1,903.00",511,439,"1,220.00",511,---,,,,,,,,,,,,,,,,,
27,"1,464.00","1,090.00","1,903.00","1,090.00",439,709,579,---,,,,,,,,,,,,,,,,,
28,"1,464.00","1,208.00","1,903.00","1,208.00",439,130,118,---,,,,,,,,,,,,,,,,,
29,"1,902.00","1,090.00","1,902.00","1,208.00",439,118,438,|,,,,,,,,,,,,,,,,,
30,"2,021.00",0,"2,021.00","1,220.00",537,"1,220.00",118,|,,,,,,,,,,,,,,,,,
31,"1,903.00",438,"2,021.00",438,118,"1,220.00",438,---,,,,,,,,,,,,,,,,,
32,"1,903.00",876,"2,021.00",876,118,782,438,---,,,,,,,,,,,,,,,,,
33,"1,903.00","1,208.00","2,021.00","1,208.00",118,344,332,---,,,,,,,,,,,,,,,,,
34,"1,995.50",876,"1,995.50","1,208.00",118,332,92.5,|,,,,,,,,,,,,,,,,,
35,"2,193.50",0,"2,193.50","1,220.00",419,"1,220.00",172.5,|,,,,,,,,,,,,,,,,,
36,"2,021.00",585,"2,193.50",585,172.5,"1,220.00",585,---,,,,,,,,,,,,,,,,,
37,"2,021.00","1,170.00","2,193.50","1,170.00",172.5,635,585,---,,,,,,,,,,,,,,,,,
38,"2,193.50",333,"2,440.00",333,246.5,"1,220.00",333,---,,,,,,,,,,,,,,,,,
39,"2,432.50",0,"2,432.50",333,246.5,333,239,|,,,,,,,,,,,,,,,,,
40,"2,193.50",771,"2,440.00",771,246.5,887,438,---,,,,,,,,,,,,,,,,,
41,"2,311.50",333,"2,311.50",771,246.5,438,118,|,,,,,,,,,,,,,,,,,
42,"2,429.50",333,"2,429.50",771,128.5,438,118,|,,,,,,,,,,,,,,,,,
43,"2,193.50","1,209.00","2,440.00","1,209.00",246.5,449,438,---,,,,,,,,,,,,,,,,,
44,"2,311.50",771,"2,311.50","1,209.00",246.5,438,118,|,,,,,,,,,,,,,,,,,
45,"2,429.50",771,"2,429.50","1,209.00",128.5,438,118,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 19,918.5)   19,918.5",,,,,,Count of cuts   (1 x 45)   45,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
2 of 3,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32275,,,,,,,,,,0,,,,0,,,439,,,725,,,
2,,29263,,,,,,,,,,0,,,,725,,,438,,,158,,,
3,,30943,,,,,,,,,,0,,,,883,,,438,,,158,,,
4,,31191,,,,,,,,,,0,,,,"1,041.00",,,438,,,158,,,
5,,28485,,,,,,,,,,439,,,,0,,,511,,,439,,,
6,,28624,,,,,,,,,,439,,,,439,,,511,,,439,,,
7,,30037,,,,,,,,,,439,,,,878,,,510,,,132.5,,,
8,,30482,,,,,,,,,,439,,,,"1,010.50",,,488,,,198,,,
9,,30881,,,,,,,,,,950,,,,0,,,499,,,575,,,
10,,28811,,,,,,,,,,950,,,,575,,,488,,,198,,,
11,,28216,,,,,,,,,,950,,,,773,,,488,,,198,,,
12,,28076,,,,,,,,,,950,,,,971,,,238,,,118,,,
13,,31402,,,,,,,,,,"1,188.00",,,,971,,,238,,,118,,,
14,,30889,,,,,,,,,,950,,,,"1,089.00",,,438,,,118,,,
15,,28128,,,,,,,,,,"1,449.00",,,,0,,,239,,,342,,,
16,,30567,,,,,,,,,,"1,449.00",,,,342,,,238,,,118,,,
17,,31273,,,,,,,,,,"1,449.00",,,,460,,,118,,,238,,,
18,,31416,,,,,,,,,,"1,567.00",,,,460,,,118,,,238,,,
19,,31469,,,,,,,,,,"1,449.00",,,,698,,,118,,,498,,,
20,,30148,,,,,,,,,,"1,567.00",,,,698,,,118,,,498,,,
21,,28258,,,,,,,,,,"1,688.00",,,,0,,,499,,,575,,,
22,,28256,,,,,,,,,,"1,688.00",,,,575,,,489,,,586,,,
