Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6206,,,,,,,,,,0,,,,0,,,339,,,634,,,*
2,,5202,,,,,,,,,,0,,,,634,,,338,,,158,,,
3,,5865,,,,,,,,,,0,,,,792,,,338,,,158,,,
4,,3542,,,,,,,,,,0,,,,950,,,338,,,158,,,
5,,4601,,,,,,,,,,339,,,,0,,,634,,,339,,,
6,,3630,,,,,,,,,,339,,,,339,,,634,,,339,,,
7,,3624,,,,,,,,,,339,,,,678,,,633,,,132.5,,,
8,,5918,,,,,,,,,,339,,,,810.5,,,633,,,132.5,,,
9,,4275,,,,,,,,,,339,,,,943,,,633,,,132.5,,,
10,,5533,,,,,,,,,,973,,,,0,,,339,,,634,,,*
11,,7529,,,,,,,,,,973,,,,634,,,338,,,158,,,
12,,4979,,,,,,,,,,973,,,,792,,,338,,,158,,,
13,,5072,,,,,,,,,,973,,,,950,,,338,,,158,,,
14,,4812,,,,,,,,,,"1,312.00",,,,0,,,644,,,339,,,
15,,5947,,,,,,,,,,"1,312.00",,,,339,,,644,,,339,,,
16,,7268,,,,,,,,,,"1,312.00",,,,678,,,643,,,132.5,,,
17,,5071,,,,,,,,,,"1,312.00",,,,810.5,,,643,,,132.5,,,
18,,3982,,,,,,,,,,"1,312.00",,,,943,,,633,,,132.5,,,
19,,6440,,,,,,,,,,"1,956.00",,,,0,,,158,,,338,,,*
20,,4075,,,,,,,,,,"1,956.00",,,,338,,,158,,,338,,,*
21,,3641,,,,,,,,,,"2,114.00",,,,0,,,158,,,338,,,*
22,,3807,,,,,,,,,,"2,114.00",,,,338,,,158,,,338,,,*
23,,6658,,,,,,,,,,"2,272.00",,,,0,,,158,,,338,,,*
24,,4282,,*,,,,,*,,,"2,272.00",,,,338,,,158,,,338,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,"1,108.00","2,440.00","1,108.00","2,440.00","1,220.00","1,108.00",---,,,,,,,,,,,,,,,,,
2,339,0,339,"1,108.00","2,440.00","1,108.00",339,|,,,,,,,,,,,,,,,,,
3,0,634,339,634,339,"1,108.00",634,---,,,,,,,,,,,,,,,,,
4,0,792,339,792,339,474,158,---,,,,,,,,,,,,,,,,,
5,338,634,338,792,339,158,338,|,,,,,,,,,,,,,,,,,
6,0,950,339,950,339,316,158,---,,,,,,,,,,,,,,,,,
7,338,792,338,950,339,158,338,|,,,,,,,,,,,,,,,,,
8,338,950,338,"1,108.00",339,158,338,|,,,,,,,,,,,,,,,,,
9,973,0,973,"1,108.00","2,101.00","1,108.00",634,|,,,,,,,,,,,,,,,,,
10,339,339,973,339,634,"1,108.00",339,---,,,,,,,,,,,,,,,,,
11,339,678,973,678,634,769,339,---,,,,,,,,,,,,,,,,,
12,339,810.5,973,810.5,634,430,132.5,---,,,,,,,,,,,,,,,,,
13,972,678,972,810.5,634,132.5,633,|,,,,,,,,,,,,,,,,,
14,339,943,973,943,634,297.5,132.5,---,,,,,,,,,,,,,,,,,
15,972,810.5,972,943,634,132.5,633,|,,,,,,,,,,,,,,,,,
16,339,"1,075.50",973,"1,075.50",634,165,132.5,---,,,,,,,,,,,,,,,,,
17,972,943,972,"1,075.50",634,132.5,633,|,,,,,,,,,,,,,,,,,
18,"1,312.00",0,"1,312.00","1,108.00","1,467.00","1,108.00",339,|,,,,,,,,,,,,,,,,,
19,973,634,"1,312.00",634,339,"1,108.00",634,---,,,,,,,,,,,,,,,,,
20,973,792,"1,312.00",792,339,474,158,---,,,,,,,,,,,,,,,,,
21,"1,311.00",634,"1,311.00",792,339,158,338,|,,,,,,,,,,,,,,,,,
22,973,950,"1,312.00",950,339,316,158,---,,,,,,,,,,,,,,,,,
23,"1,311.00",792,"1,311.00",950,339,158,338,|,,,,,,,,,,,,,,,,,
24,"1,311.00",950,"1,311.00","1,108.00",339,158,338,|,,,,,,,,,,,,,,,,,
25,"1,956.00",0,"1,956.00","1,108.00","1,128.00","1,108.00",644,|,,,,,,,,,,,,,,,,,
26,"1,312.00",339,"1,956.00",339,644,"1,108.00",339,---,,,,,,,,,,,,,,,,,
27,"1,312.00",678,"1,956.00",678,644,769,339,---,,,,,,,,,,,,,,,,,
28,"1,312.00",810.5,"1,956.00",810.5,644,430,132.5,---,,,,,,,,,,,,,,,,,
29,"1,955.00",678,"1,955.00",810.5,644,132.5,643,|,,,,,,,,,,,,,,,,,
30,"1,312.00",943,"1,956.00",943,644,297.5,132.5,---,,,,,,,,,,,,,,,,,
31,"1,955.00",810.5,"1,955.00",943,644,132.5,643,|,,,,,,,,,,,,,,,,,
32,"1,312.00","1,075.50","1,956.00","1,075.50",644,165,132.5,---,,,,,,,,,,,,,,,,,
33,"1,945.00",943,"1,945.00","1,075.50",644,132.5,633,|,,,,,,,,,,,,,,,,,
34,"2,114.00",0,"2,114.00","1,108.00",484,"1,108.00",158,|,,,,,,,,,,,,,,,,,
35,"1,956.00",338,"2,114.00",338,158,"1,108.00",338,---,,,,,,,,,,,,,,,,,
36,"1,956.00",676,"2,114.00",676,158,770,338,---,,,,,,,,,,,,,,,,,
37,"2,272.00",0,"2,272.00","1,108.00",326,"1,108.00",158,|,,,,,,,,,,,,,,,,,
38,"2,114.00",338,"2,272.00",338,158,"1,108.00",338,---,,,,,,,,,,,,,,,,,
39,"2,114.00",676,"2,272.00",676,158,770,338,---,,,,,,,,,,,,,,,,,
40,"2,430.00",0,"2,430.00","1,108.00",168,"1,108.00",158,|,,,,,,,,,,,,,,,,,
41,"2,272.00",338,"2,430.00",338,158,"1,108.00",338,---,,,,,,,,,,,,,,,,,
42,"2,272.00",676,"2,430.00",676,158,770,338,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 21,311.0)   21,311.0",,,,,,Count of cuts   (1 x 42)   42,,,,,,,,,,,,,,,,,,,
