Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11679,,,,,,,,,,0.0,,,,0.0,,,"2,191.0",,,"1,039.0",,,,,
2,,11929,,,,,,,,,,"2,191.0",,,,0.0,,,239.0,,,814.0,,,*,,
3,,11180,,,,,,,,,,0.0,,,,"1,039.0",,,982.0,,,178.0,,,*,,
4,,8857,,,,,,,,,,982.0,,,,"1,039.0",,,870.0,,,158.0,,,*,,
5,,12520,,,,,,,,,,"1,852.0",,,,"1,039.0",,,238.0,,,78.0,,,,,
6,,8964,,,,,,,,,,"1,852.0",,,,"1,117.0",,,238.0,,,78.0,,,,,
7,,8371,,,,,,,,,,"2,090.0",,,,"1,039.0",,,238.0,,,78.0,,,,,
8,,12075,,,,,,,,,,"2,090.0",,,,"1,117.0",,,238.0,,,78.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,"1,039.0",,"2,440.0",,,"1,039.0",,,"2,440.0",,,"1,220.0",,,"1,039.0",,,---,,,
2,,"2,191.0",,,,0.0,,"2,191.0",,,"1,039.0",,,"2,440.0",,,"1,039.0",,,"2,191.0",,,|,,,
3,,"2,430.0",,,,0.0,,"2,430.0",,,"1,039.0",,,249.0,,,"1,039.0",,,239.0,,,|,,,
4,,"2,191.0",,,,814.0,,"2,430.0",,,814.0,,,239.0,,,"1,039.0",,,814.0,,,---,,,
5,,0.0,,,,"1,217.0",,"2,440.0",,,"1,217.0",,,"2,440.0",,,181.0,,,178.0,,,---,,,
6,,982.0,,,,"1,039.0",,982.0,,,"1,217.0",,,"2,440.0",,,178.0,,,982.0,,,|,,,
7,,"1,852.0",,,,"1,039.0",,"1,852.0",,,"1,217.0",,,"1,458.0",,,178.0,,,870.0,,,|,,,
8,,982.0,,,,"1,197.0",,"1,852.0",,,"1,197.0",,,870.0,,,178.0,,,158.0,,,---,,,
9,,"2,090.0",,,,"1,039.0",,"2,090.0",,,"1,217.0",,,588.0,,,178.0,,,238.0,,,|,,,
10,,"1,852.0",,,,"1,117.0",,"2,090.0",,,"1,117.0",,,238.0,,,178.0,,,78.0,,,---,,,
11,,"1,852.0",,,,"1,195.0",,"2,090.0",,,"1,195.0",,,238.0,,,100.0,,,78.0,,,---,,,
12,,"2,328.0",,,,"1,039.0",,"2,328.0",,,"1,217.0",,,350.0,,,178.0,,,238.0,,,|,,,
13,,"2,090.0",,,,"1,117.0",,"2,328.0",,,"1,117.0",,,238.0,,,178.0,,,78.0,,,---,,,
14,,"2,090.0",,,,"1,195.0",,"2,328.0",,,"1,195.0",,,238.0,,,100.0,,,78.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,731.0)   9,731.0",,,,,,,,,,,,,,,Count of cuts   (1 x 14)   14,,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 10,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,10088,,,,,,,,,,0.0,,,,0.0,,,"2,151.0",,,868.0,,,,,
2,,8309,,,,,,,,,,"2,151.0",,,,0.0,,,239.0,,,814.0,,,*,,
3,,11154,,,,,,,,,,0.0,,,,868.0,,,440.0,,,351.5,,,*,,
4,,9157,,,,,,,,,,440.0,,,,868.0,,,440.0,,,351.5,,,*,,
5,,10702,,,,,,,,,,880.0,,,,868.0,,,879.5,,,312.0,,,,,
