Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30479,,,,,,,,,,0,,,,0,,,678,,,398,,,
2,,30221,,,,,,,,,,678,,,,0,,,813,,,398,,,
3,,30916,,,,,,,,,,"1,491.00",,,,0,,,813,,,398,,,
4,,28082,,,,,,,,,,0,,,,398,,,"1,498.00",,,398,,,
5,,31317,,,,,,,,,,"1,498.00",,,,398,,,753,,,398,,,
6,,31752,,,,,,,,,,0,,,,796,,,"2,298.00",,,398,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,398,,"2,440.00",,,398,,,"2,440.00",,,"1,220.00",,,398,,,---,,
2,,678,,,,0,,678,,,398,,,"2,440.00",,,398,,,678,,,|,,
3,,"1,491.00",,,,0,,"1,491.00",,,398,,,"1,762.00",,,398,,,813,,,|,,
4,,"2,304.00",,,,0,,"2,304.00",,,398,,,949,,,398,,,813,,,|,,
5,,0,,,,796,,"2,440.00",,,796,,,"2,440.00",,,822,,,398,,,---,,
6,,"1,498.00",,,,398,,"1,498.00",,,796,,,"2,440.00",,,398,,,"1,498.00",,,|,,
7,,"2,251.00",,,,398,,"2,251.00",,,796,,,942,,,398,,,753,,,|,,
8,,0,,,,"1,194.00",,"2,440.00",,,"1,194.00",,,"2,440.00",,,424,,,398,,,---,,
9,,"2,298.00",,,,796,,"2,298.00",,,"1,194.00",,,"2,440.00",,,398,,,"2,298.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,708.0)   9,708.0",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,27661,,,,,,,,,,0,,,,0,,,497,,,734,,,*
2,,28241,,,,,,,,,,497,,,,0,,,381,,,698,,,*
3,,31483,,,,,,,,,,878,,,,0,,,"1,498.00",,,598,,,
4,,31672,,,,,,,,,,0,,,,734,,,"1,298.00",,,480,,,
5,,29597,,,,,,,,,,"1,298.00",,,,734,,,972,,,447,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,734,,"2,440.00",,,734,,,"2,440.00",,,"1,220.00",,,734,,,---,,
2,,497,,,,0,,497,,,734,,,"2,440.00",,,734,,,497,,,|,,
3,,878,,,,0,,878,,,734,,,"1,943.00",,,734,,,381,,,|,,
4,,497,,,,698,,878,,,698,,,381,,,734,,,698,,,---,,
5,,"2,376.00",,,,0,,"2,376.00",,,734,,,"1,562.00",,,734,,,"1,498.00",,,|,,
6,,878,,,,598,,"2,376.00",,,598,,,"1,498.00",,,734,,,598,,,---,,
7,,0,,,,"1,214.00",,"2,440.00",,,"1,214.00",,,"2,440.00",,,486,,,480,,,---,,
8,,"1,298.00",,,,734,,"1,298.00",,,"1,214.00",,,"2,440.00",,,480,,,"1,298.00",,,|,,
9,,"2,270.00",,,,734,,"2,270.00",,,"1,214.00",,,"1,142.00",,,480,,,972,,,|,,
10,,"1,298.00",,,,"1,181.00",,"2,270.00",,,"1,181.00",,,972,,,480,,,447,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,893.0)   10,893.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
