Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 2,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3446,,,,,,,,,,0,,,,0,,,339,,,675,,,
2,,325,,,,,,,,,,0,,,,675,,,338,,,158,,,
3,,467,,,,,,,,,,0,,,,833,,,338,,,158,,,
4,,2262,,,,,,,,,,0,,,,991,,,288,,,198,,,
5,,3507,,,,,,,,,,339,,,,0,,,289,,,448,,,
6,,985,,,,,,,,,,339,,,,448,,,289,,,496,,,
7,,1177,,,,,,,,,,339,,,,944,,,288,,,198,,,
8,,1026,,,,,,,,,,628,,,,0,,,324,,,439,,,
9,,1423,,,,,,,,,,628,,,,439,,,118,,,438,,,
10,,1163,,,,,,,,,,746,,,,439,,,118,,,438,,,
11,,3293,,,,,,,,,,628,,,,877,,,198,,,288,,,
12,,229,,,,,,,,,,826,,,,877,,,118,,,288,,,
13,,1122,,,,,,,,,,952,,,,0,,,448,,,289,,,
14,,954,,,,,,,,,,952,,,,289,,,448,,,289,,,
15,,1203,,,,,,,,,,952,,,,578,,,447,,,172.5,,,
16,,2686,,,,,,,,,,952,,,,750.5,,,447,,,172.5,,,
17,,1886,,,,,,,,,,952,,,,923,,,447,,,172.5,,,
18,,131,,,,,,,,,,952,,,,"1,095.50",,,438,,,118,,,
19,,3165,,,,,,,,,,"1,400.00",,,,0,,,289,,,815,,,
20,,764,,,,,,,,,,"1,400.00",,,,815,,,288,,,198,,,
21,,2170,,,,,,,,,,"1,400.00",,,,"1,013.00",,,288,,,198,,,
22,,675,,,,,,,,,,"1,689.00",,,,0,,,92.5,,,323,,,
23,,1055,,,,,,,,,,"1,689.00",,,,323,,,92.5,,,323,,,
24,,1201,,,,,,,,,,"1,689.00",,,,646,,,92.5,,,495,,,
25,,1478,,,,,,,,,,"1,781.50",,,,0,,,92.5,,,814,,,
26,,3180,,,,,,,,,,"1,781.50",,,,814,,,92.5,,,323,,,
27,,659,,,,,,,,,,"1,874.00",,,,0,,,439,,,324,,,
28,,2557,,,,,,,,,,"1,874.00",,,,324,,,439,,,324,,,
29,,1508,,,,,,,,,,"1,874.00",,,,648,,,439,,,324,,,
30,,702,,,,,,,,,,"1,874.00",,,,972,,,438,,,118,,,
31,,1114,,,,,,,,,,"1,874.00",,,,"1,090.00",,,438,,,118,,,
32,,518,,,,,,,,,,"2,313.00",,,,0,,,118,,,438,,,
33,,666,,,,,,,,,,"2,313.00",,,,438,,,118,,,438,,,
34,,656,,,,,,,,,,"2,313.00",,,,876,,,118,,,288,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,339,,,0,339,,,"1,220.00",,"2,440.00",,"1,220.00",,339,,|,,,,,,,,,
2,0,,,675,339,,,675,,339,,"1,220.00",,675,,---,,,,,,,,,
3,0,,,833,339,,,833,,339,,545,,158,,---,,,,,,,,,
4,338,,,675,338,,,833,,339,,158,,338,,|,,,,,,,,,
5,0,,,991,339,,,991,,339,,387,,158,,---,,,,,,,,,
