Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 6,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,27131,,,,,,,,,,0,,,,0,,,796,,,58,,,
2,,23663,,,,,,,,,,796,,,,0,,,796,,,58,,,
3,,25015,,,,,,,,,,"1,592.00",,,,0,,,843,,,58,,,
4,,22992,,,,,,,,,,0,,,,58,,,479,,,58,,,
5,,25722,,,,,,,,,,479,,,,58,,,934.5,,,58,,,
6,,24905,,,,,,,,,,"1,413.50",,,,58,,,996,,,58,,,
7,,26784,,,,,,,,,,0,,,,116,,,547,,,58,,,
8,,23572,,,,,,,,,,547,,,,116,,,934.5,,,58,,,
9,,23642,,,,,,,,,,"1,481.50",,,,116,,,934.5,,,58,,,
10,,23304,,,,,,,,,,0,,,,174,,,557,,,806,,,
11,,23885,,,,,,,,,,557,,,,174,,,58,,,806,,,
12,,25130,,,,,,,,,,615,,,,174,,,557,,,806,,,
13,,26634,,,,,,,,,,"1,172.00",,,,174,,,557,,,806,,,
14,,23397,,,,,,,,,,"1,729.00",,,,174,,,322,,,796,,,
15,,23937,,,,,,,,,,"2,051.00",,,,174,,,58,,,796,,,
16,,23348,,,,,,,,,,"2,109.00",,,,174,,,322,,,796,,,
17,,23439,,,,,,,,,,0,,,,980,,,"1,560.00",,,58,,,
18,,24320,,,,,,,,,,"1,560.00",,,,980,,,843,,,58,,,
19,,24643,,,,,,,,,,0,,,,"1,038.00",,,996,,,58,,,
20,,26558,,,,,,,,,,996,,,,"1,038.00",,,542,,,58,,,
21,,26819,,,,,,,,,,"1,538.00",,,,"1,038.00",,,882,,,58,,,
22,,25471,,,,,,,,,,0,,,,"1,096.00",,,"1,267.00",,,58,,,
23,,23095,,,,,,,,,,"1,267.00",,,,"1,096.00",,,547,,,58,,,
24,,26331,,,,,,,,,,"1,814.00",,,,"1,096.00",,,603,,,58,,,
25,,27247,,,,,,,,,,0,,,,"1,154.00",,,906,,,58,,,
26,,25830,,,,,,,,,,906,,,,"1,154.00",,,"1,196.00",,,58,,,
27,,26785,,,,,,,,,,"2,102.00",,,,"1,154.00",,,317,,,58,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,58,"2,440.00",,,58,,"2,440.00",,"1,220.00",,58,,---,,,,,,,,,
2,796,,,0,796,,,58,,"2,440.00",,58,,796,,|,,,,,,,,,
3,"1,592.00",,,0,"1,592.00",,,58,,"1,644.00",,58,,796,,|,,,,,,,,,
4,"2,435.00",,,0,"2,435.00",,,58,,848,,58,,843,,|,,,,,,,,,
5,0,,,116,"2,440.00",,,116,,"2,440.00",,"1,162.00",,58,,---,,,,,,,,,
6,479,,,58,479,,,116,,"2,440.00",,58,,479,,|,,,,,,,,,
7,"1,413.50",,,58,"1,413.50",,,116,,"1,961.00",,58,,934.5,,|,,,,,,,,,
8,"2,409.50",,,58,"2,409.50",,,116,,"1,026.50",,58,,996,,|,,,,,,,,,
9,0,,,174,"2,440.00",,,174,,"2,440.00",,"1,104.00",,58,,---,,,,,,,,,
10,547,,,116,547,,,174,,"2,440.00",,58,,547,,|,,,,,,,,,
11,"1,481.50",,,116,"1,481.50",,,174,,"1,893.00",,58,,934.5,,|,,,,,,,,,
12,"2,416.00",,,116,"2,416.00",,,174,,958.5,,58,,934.5,,|,,,,,,,,,
13,0,,,980,"2,440.00",,,980,,"2,440.00",,"1,046.00",,806,,---,,,,,,,,,
14,557,,,174,557,,,980,,"2,440.00",,806,,557,,|,,,,,,,,,
15,615,,,174,615,,,980,,"1,883.00",,806,,58,,|,,,,,,,,,
16,"1,172.00",,,174,"1,172.00",,,980,,"1,825.00",,806,,557,,|,,,,,,,,,
17,"1,729.00",,,174,"1,729.00",,,980,,"1,268.00",,806,,557,,|,,,,,,,,,
18,"2,051.00",,,174,"2,051.00",,,980,,711,,806,,322,,|,,,,,,,,,
19,"1,729.00",,,970,"2,051.00",,,970,,322,,806,,796,,---,,,,,,,,,
20,"2,109.00",,,174,"2,109.00",,,980,,389,,806,,58,,|,,,,,,,,,
21,"2,051.00",,,970,"2,109.00",,,970,,58,,806,,796,,---,,,,,,,,,
22,"2,431.00",,,174,"2,431.00",,,980,,331,,806,,322,,|,,,,,,,,,
23,"2,109.00",,,970,"2,431.00",,,970,,322,,806,,796,,---,,,,,,,,,
24,0,,,"1,038.00","2,440.00",,,"1,038.00",,"2,440.00",,240,,58,,---,,,,,,,,,
25,"1,560.00",,,980,"1,560.00",,,"1,038.00",,"2,440.00",,58,,"1,560.00",,|,,,,,,,,,
26,"2,403.00",,,980,"2,403.00",,,"1,038.00",,880,,58,,843,,|,,,,,,,,,
27,0,,,"1,096.00","2,440.00",,,"1,096.00",,"2,440.00",,182,,58,,---,,,,,,,,,
28,996,,,"1,038.00",996,,,"1,096.00",,"2,440.00",,58,,996,,|,,,,,,,,,
29,"1,538.00",,,"1,038.00","1,538.00",,,"1,096.00",,"1,444.00",,58,,542,,|,,,,,,,,,
30,"2,420.00",,,"1,038.00","2,420.00",,,"1,096.00",,902,,58,,882,,|,,,,,,,,,
31,0,,,"1,154.00","2,440.00",,,"1,154.00",,"2,440.00",,124,,58,,---,,,,,,,,,
32,"1,267.00",,,"1,096.00","1,267.00",,,"1,154.00",,"2,440.00",,58,,"1,267.00",,|,,,,,,,,,
33,"1,814.00",,,"1,096.00","1,814.00",,,"1,154.00",,"1,173.00",,58,,547,,|,,,,,,,,,
34,"2,417.00",,,"1,096.00","2,417.00",,,"1,154.00",,626,,58,,603,,|,,,,,,,,,
35,0,,,"1,212.00","2,440.00",,,"1,212.00",,"2,440.00",,66,,58,,---,,,,,,,,,
36,906,,,"1,154.00",906,,,"1,212.00",,"2,440.00",,58,,906,,|,,,,,,,,,
37,"2,102.00",,,"1,154.00","2,102.00",,,"1,212.00",,"1,534.00",,58,,"1,196.00",,|,,,,,,,,,
38,"2,419.00",,,"1,154.00","2,419.00",,,"1,212.00",,338,,58,,317,,|,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 27,024.0)   27,024.0",,,,,,,,,,,Count of cuts   (1 x 38)   38,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 6,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23450,,,,,,,,,,0,,,,0,,,"2,403.00",,,565,,,
2,,26032,,,,,,,,,,0,,,,565,,,"2,403.00",,,298,,,
3,,24818,,,,,,,,,,0,,,,863,,,"2,403.00",,,298,,,
4,,26899,,,,,,,,,,0,,,,"1,161.00",,,"1,204.00",,,58,,,
5,,25101,,,,,,,,,,"1,204.00",,,,"1,161.00",,,512,,,58,,,
6,,26906,,,,,,,,,,"1,716.00",,,,"1,161.00",,,724,,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,565,,"2,440.00",,,565,,,"2,440.00",,,"1,220.00",,,565,,,---,,
2,,"2,403.00",,,,0,,"2,403.00",,,565,,,"2,440.00",,,565,,,"2,403.00",,,|,,
3,,0,,,,863,,"2,440.00",,,863,,,"2,440.00",,,655,,,298,,,---,,
4,,"2,403.00",,,,565,,"2,403.00",,,863,,,"2,440.00",,,298,,,"2,403.00",,,|,,
5,,0,,,,"1,161.00",,"2,440.00",,,"1,161.00",,,"2,440.00",,,357,,,298,,,---,,
6,,"2,403.00",,,,863,,"2,403.00",,,"1,161.00",,,"2,440.00",,,298,,,"2,403.00",,,|,,
7,,0,,,,"1,219.00",,"2,440.00",,,"1,219.00",,,"2,440.00",,,59,,,58,,,---,,
8,,"1,204.00",,,,"1,161.00",,"1,204.00",,,"1,219.00",,,"2,440.00",,,58,,,"1,204.00",,,|,,
9,,"1,716.00",,,,"1,161.00",,"1,716.00",,,"1,219.00",,,"1,236.00",,,58,,,512,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,037.0)   11,037.0",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 6,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23090,,,,,,,,,,0,,,,0,,,"1,924.00",,,58,,,
2,,24260,,,,,,,,,,"1,924.00",,,,0,,,512,,,58,,,
3,,22756,,,,,,,,,,0,,,,58,,,348,,,58,,,
4,,25806,,,,,,,,,,348,,,,58,,,934.5,,,58,,,
5,,23849,,,,,,,,,,"1,282.50",,,,58,,,806,,,58,,,
6,,25581,,,,,,,,,,"2,088.50",,,,58,,,348,,,58,,,
7,,24149,,,,,,,,,,0,,,,116,,,557,,,815,,,*
8,,26652,,,,,,,,,,557,,,,116,,,557,,,815,,,*
9,,25041,,,,,,,,,,"1,114.00",,,,116,,,557,,,806,,,*
10,,24862,,,,,,,,,,"1,671.00",,,,116,,,58,,,806,,,*
11,,26646,,,,,,,,,,"1,729.00",,,,116,,,324,,,796,,,*
12,,27165,,,,,,,,,,"2,053.00",,,,116,,,58,,,796,,,*
13,,23333,,,,,,,,,,"2,111.00",,,,116,,,324,,,796,,,*
14,,27323,,,,,,,,,,0,,,,931,,,"2,338.00",,,228,,,
15,,25403,,,,,,,,,,0,,,,"1,159.00",,,"1,583.00",,,58,,,
16,,23681,,,,,,,,,,"1,583.00",,,,"1,159.00",,,843,,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,58,,"2,440.00",,,58,,,"2,440.00",,,"1,220.00",,,58,,,---,,
2,,"1,924.00",,,,0,,"1,924.00",,,58,,,"2,440.00",,,58,,,"1,924.00",,,|,,
3,,"2,436.00",,,,0,,"2,436.00",,,58,,,516,,,58,,,512,,,|,,
4,,0,,,,116,,"2,440.00",,,116,,,"2,440.00",,,"1,162.00",,,58,,,---,,
5,,348,,,,58,,348,,,116,,,"2,440.00",,,58,,,348,,,|,,
6,,"1,282.50",,,,58,,"1,282.50",,,116,,,"2,092.00",,,58,,,934.5,,,|,,
7,,"2,088.50",,,,58,,"2,088.50",,,116,,,"1,157.50",,,58,,,806,,,|,,
8,"2,436.50",58,"2,436.50",116,351.5,58,348,|,,,,,,,,,,,,,,,,,
9,0,931,"2,440.00",931,"2,440.00","1,104.00",815,---,,,,,,,,,,,,,,,,,
10,557,116,557,931,"2,440.00",815,557,|,,,,,,,,,,,,,,,,,
11,"1,114.00",116,"1,114.00",931,"1,883.00",815,557,|,,,,,,,,,,,,,,,,,
12,"1,671.00",116,"1,671.00",931,"1,326.00",815,557,|,,,,,,,,,,,,,,,,,
13,"1,114.00",922,"1,671.00",922,557,815,806,---,,,,,,,,,,,,,,,,,
14,"1,729.00",116,"1,729.00",931,769,815,58,|,,,,,,,,,,,,,,,,,
15,"1,671.00",922,"1,729.00",922,58,815,806,---,,,,,,,,,,,,,,,,,
16,"2,053.00",116,"2,053.00",931,711,815,324,|,,,,,,,,,,,,,,,,,
17,"1,729.00",912,"2,053.00",912,324,815,796,---,,,,,,,,,,,,,,,,,
18,"2,111.00",116,"2,111.00",931,387,815,58,|,,,,,,,,,,,,,,,,,
19,"2,053.00",912,"2,111.00",912,58,815,796,---,,,,,,,,,,,,,,,,,
20,"2,435.00",116,"2,435.00",931,329,815,324,|,,,,,,,,,,,,,,,,,
21,"2,111.00",912,"2,435.00",912,324,815,796,---,,,,,,,,,,,,,,,,,
