Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 19,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1431,,,,,,,,,,0,,,,0,,,"2,291.00",,,376,,,
2,,2425,,,,,,,,,,0,,,,376,,,"2,291.00",,,787,,,
3,,1448,,,,,,,,,,0,,,,"1,163.00",,,703,,,52.5,,,
4,,3229,,,,,,,,,,703,,,,"1,163.00",,,724,,,52.5,,,
5,,475,,,,,,,,,,"1,427.00",,,,"1,163.00",,,724,,,52.5,,,
6,,1970,,,,,,,,,,"2,291.00",,,,0,,,148,,,371,,,
7,,639,,,,,,,,,,"2,291.00",,,,376,,,148,,,769,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,291.00",,,,0,,"2,291.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,291.00",,,|,,
2,,0,,,,376,,"2,291.00",,,376,,,"2,291.00",,,"1,220.00",,,376,,,---,,
3,,0,,,,"1,163.00",,"2,291.00",,,"1,163.00",,,"2,291.00",,,844,,,787,,,---,,
4,,0,,,,"1,215.50",,"2,291.00",,,"1,215.50",,,"2,291.00",,,57,,,52.5,,,---,,
5,,703,,,,"1,163.00",,703,,,"1,215.50",,,"2,291.00",,,52.5,,,703,,,|,,
6,,"1,427.00",,,,"1,163.00",,"1,427.00",,,"1,215.50",,,"1,588.00",,,52.5,,,724,,,|,,
7,,"2,151.00",,,,"1,163.00",,"2,151.00",,,"1,215.50",,,864,,,52.5,,,724,,,|,,
8,,"2,439.00",,,,0,,"2,439.00",,,"1,220.00",,,149,,,"1,220.00",,,148,,,|,,
9,,"2,291.00",,,,371,,"2,439.00",,,371,,,148,,,"1,220.00",,,371,,,---,,
10,,"2,291.00",,,,376,,"2,439.00",,,376,,,148,,,849,,,5,,,---,,
11,,"2,291.00",,,,"1,145.00",,"2,439.00",,,"1,145.00",,,148,,,844,,,769,,,---,,
