Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,9273,,,,,,,,,,0,,,,0,,,389,,,400.5,,,*
2,,8563,,,,,,,,,,0,,,,400.5,,,389,,,407.5,,,*
3,,10387,,,,,,,,,,0,,,,808,,,389,,,407.5,,,*
4,,9162,,,,,,,,,,389,,,,0,,,776,,,489,,,
5,,11271,,,,,,,,,,389,,,,489,,,776,,,489,,,
6,,8037,,,,,,,,,,389,,,,978,,,775,,,132.5,,,
7,,11449,,,,,,,,,,389,,,,"1,110.50",,,775,,,92.5,,,
8,,11469,,,,,,,,,,"1,165.00",,,,0,,,439,,,756,,,*
9,,9427,,,,,,,,,,"1,165.00",,,,756,,,439,,,267,,,*
10,,12221,,,,,,,,,,"1,165.00",,,,"1,023.00",,,438,,,118,,,
11,,8936,,,,,,,,,,"1,165.00",,,,"1,141.00",,,388,,,78,,,
12,,10854,,,,,,,,,,"1,604.00",,,,0,,,489,,,776,,,*
13,,12054,,,,,,,,,,"1,604.00",,,,776,,,488,,,118,,,
14,,8792,,,,,,,,,,"1,604.00",,,,894,,,488,,,158,,,
15,,9864,,,,,,,,,,"1,604.00",,,,"1,052.00",,,488,,,158,,,
16,,9088,,,,,,,,,,"2,093.00",,,,0,,,78,,,388,,,*
17,,11468,,,,,,,,,,"2,093.00",,,,388,,,78,,,388,,,*
18,,12653,,,,,,,,,,"2,093.00",,,,776,,,78,,,388,,,*
19,,12378,,,,,,,,,,"2,171.00",,,,0,,,267,,,439,,,
20,,12364,,,,,,,,,,"2,171.00",,,,439,,,132.5,,,775,,,*
21,,9293,,,,,,,,,,"2,303.50",,,,439,,,132.5,,,775,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,389,,,,0,,389,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,389,,,|,,
2,,0,,,,400.5,,389,,,400.5,,,389,,,"1,220.00",,,400.5,,,---,,
3,0,808,389,808,389,819.5,407.5,---,,,,,,,,,,,,,,,,,
4,0,"1,215.50",389,"1,215.50",389,412,407.5,---,,,,,,,,,,,,,,,,,
5,"1,165.00",0,"1,165.00","1,220.00","2,051.00","1,220.00",776,|,,,,,,,,,,,,,,,,,
6,389,489,"1,165.00",489,776,"1,220.00",489,---,,,,,,,,,,,,,,,,,
7,389,978,"1,165.00",978,776,731,489,---,,,,,,,,,,,,,,,,,
8,389,"1,110.50","1,165.00","1,110.50",776,242,132.5,---,,,,,,,,,,,,,,,,,
9,"1,164.00",978,"1,164.00","1,110.50",776,132.5,775,|,,,,,,,,,,,,,,,,,
10,389,"1,203.00","1,165.00","1,203.00",776,109.5,92.5,---,,,,,,,,,,,,,,,,,
11,"1,164.00","1,110.50","1,164.00","1,203.00",776,92.5,775,|,,,,,,,,,,,,,,,,,
12,"1,604.00",0,"1,604.00","1,220.00","1,275.00","1,220.00",439,|,,,,,,,,,,,,,,,,,
