Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,34995,,,,,,,,,,0,,,,0,,,"2,413.00",,,520,,,
2,,35857,,,,,,,,,,0,,,,520,,,"2,413.00",,,580,,,
3,,35497,,,,,,,,,,0,,,,"1,100.00",,,"2,418.00",,,58,,,
4,,35219,,,,,,,,,,0,,,,"1,158.00",,,"2,418.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,520,,"2,440.00",,,520,,,"2,440.00",,,"1,220.00",,,520,,,---,,
2,,"2,413.00",,,,0,,"2,413.00",,,520,,,"2,440.00",,,520,,,"2,413.00",,,|,,
3,,0,,,,"1,100.00",,"2,440.00",,,"1,100.00",,,"2,440.00",,,700,,,580,,,---,,
4,,"2,413.00",,,,520,,"2,413.00",,,"1,100.00",,,"2,440.00",,,580,,,"2,413.00",,,|,,
5,,0,,,,"1,158.00",,"2,440.00",,,"1,158.00",,,"2,440.00",,,120,,,58,,,---,,
6,,"2,418.00",,,,"1,100.00",,"2,418.00",,,"1,158.00",,,"2,440.00",,,58,,,"2,418.00",,,|,,
7,,0,,,,"1,216.00",,"2,440.00",,,"1,216.00",,,"2,440.00",,,62,,,58,,,---,,
8,,"2,418.00",,,,"1,158.00",,"2,418.00",,,"1,216.00",,,"2,440.00",,,58,,,"2,418.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,976.0)   10,976.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,35840,,,,,,,,,,0,,,,0,,,510,,,770,,,*
2,,36687,,,,,,,,,,0,,,,770,,,500,,,435,,,*
3,,37061,,,,,,,,,,510,,,,0,,,942,,,579,,,
4,,35020,,,,,,,,,,510,,,,579,,,942,,,579,,,
5,,35655,,,,,,,,,,510,,,,"1,158.00",,,778,,,58,,,
6,,36887,,,,,,,,,,"1,452.00",,,,0,,,977,,,579,,,
7,,34326,,,,,,,,,,"1,452.00",,,,579,,,977,,,577,,,
8,,34969,,,,,,,,,,"1,452.00",,,,"1,156.00",,,699,,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,510,,,,0,,510,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,510,,,|,,
2,,0,,,,770,,510,,,770,,,510,,,"1,220.00",,,770,,,---,,
3,,0,,,,"1,205.00",,510,,,"1,205.00",,,510,,,450,,,435,,,---,,
4,,500,,,,770,,500,,,"1,205.00",,,510,,,435,,,500,,,|,,
5,,"1,452.00",,,,0,,"1,452.00",,,"1,220.00",,,"1,930.00",,,"1,220.00",,,942,,,|,,
6,,510,,,,579,,"1,452.00",,,579,,,942,,,"1,220.00",,,579,,,---,,
7,,510,,,,"1,158.00",,"1,452.00",,,"1,158.00",,,942,,,641,,,579,,,---,,
8,,510,,,,"1,216.00",,"1,452.00",,,"1,216.00",,,942,,,62,,,58,,,---,,
9,,"1,288.00",,,,"1,158.00",,"1,288.00",,,"1,216.00",,,942,,,58,,,778,,,|,,
10,,"2,429.00",,,,0,,"2,429.00",,,"1,220.00",,,988,,,"1,220.00",,,977,,,|,,
11,,"1,452.00",,,,579,,"2,429.00",,,579,,,977,,,"1,220.00",,,579,,,---,,
12,,"1,452.00",,,,"1,156.00",,"2,429.00",,,"1,156.00",,,977,,,641,,,577,,,---,,
13,,"1,452.00",,,,"1,214.00",,"2,429.00",,,"1,214.00",,,977,,,64,,,58,,,---,,
14,,"2,151.00",,,,"1,156.00",,"2,151.00",,,"1,214.00",,,977,,,58,,,699,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,988.0)   10,988.0",,,,,,,,,,,,,,,Count of cuts   (1 x 14)   14,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36362,,,,,,,,,,0,,,,0,,,"2,098.00",,,580,,,
2,,32848,,,,,,,,,,0,,,,580,,,"2,098.00",,,580,,,
3,,34892,,,,,,,,,,0,,,,"1,160.00",,,"2,060.00",,,58,,,
4,,35307,,,,,,,,,,"2,098.00",,,,0,,,327,,,874,,,*
5,,33507,,,,,,,,,,"2,098.00",,,,874,,,58,,,328,,,*
6,,34218,,,,,,,,,,"2,156.00",,,,874,,,58,,,328,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,098.00",,,,0,,"2,098.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,098.00",,,|,,
2,,0,,,,580,,"2,098.00",,,580,,,"2,098.00",,,"1,220.00",,,580,,,---,,
3,,0,,,,"1,160.00",,"2,098.00",,,"1,160.00",,,"2,098.00",,,640,,,580,,,---,,
4,,0,,,,"1,218.00",,"2,098.00",,,"1,218.00",,,"2,098.00",,,60,,,58,,,---,,
5,,"2,060.00",,,,"1,160.00",,"2,060.00",,,"1,218.00",,,"2,098.00",,,58,,,"2,060.00",,,|,,
6,,"2,425.00",,,,0,,"2,425.00",,,"1,220.00",,,342,,,"1,220.00",,,327,,,|,,
7,,"2,098.00",,,,874,,"2,425.00",,,874,,,327,,,"1,220.00",,,874,,,---,,
8,,"2,098.00",,,,"1,202.00",,"2,425.00",,,"1,202.00",,,327,,,346,,,328,,,---,,
9,,"2,156.00",,,,874,,"2,156.00",,,"1,202.00",,,327,,,328,,,58,,,|,,
10,,"2,214.00",,,,874,,"2,214.00",,,"1,202.00",,,269,,,328,,,58,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,102.0)   10,102.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32673,,,,,,,,,,0,,,,0,,,529,,,371,,,*
2,,34488,,,,,,,,,,529,,,,0,,,499,,,371,,,*
3,,36127,,,,,,,,,,"1,028.00",,,,0,,,529,,,371,,,*
4,,35227,,,,,,,,,,"1,557.00",,,,0,,,874,,,327,,,
5,,33839,,,,,,,,,,0,,,,371,,,"2,283.00",,,328,,,
6,,33534,,,,,,,,,,0,,,,699,,,"1,582.00",,,517,,,
7,,34410,,,,,,,,,,"1,582.00",,,,699,,,370,,,510,,,
8,,35198,,,,,,,,,,"1,952.00",,,,699,,,435,,,500,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,371,,"2,440.00",,,371,,,"2,440.00",,,"1,220.00",,,371,,,---,,
2,,529,,,,0,,529,,,371,,,"2,440.00",,,371,,,529,,,|,,
3,,"1,028.00",,,,0,,"1,028.00",,,371,,,"1,911.00",,,371,,,499,,,|,,
4,,"1,557.00",,,,0,,"1,557.00",,,371,,,"1,412.00",,,371,,,529,,,|,,
5,,"2,431.00",,,,0,,"2,431.00",,,371,,,883,,,371,,,874,,,|,,
6,,"1,557.00",,,,327,,"2,431.00",,,327,,,874,,,371,,,327,,,---,,
7,,0,,,,699,,"2,440.00",,,699,,,"2,440.00",,,849,,,328,,,---,,
8,,"2,283.00",,,,371,,"2,283.00",,,699,,,"2,440.00",,,328,,,"2,283.00",,,|,,
9,,0,,,,"1,216.00",,"2,440.00",,,"1,216.00",,,"2,440.00",,,521,,,517,,,---,,
10,,"1,582.00",,,,699,,"1,582.00",,,"1,216.00",,,"2,440.00",,,517,,,"1,582.00",,,|,,
11,,"1,952.00",,,,699,,"1,952.00",,,"1,216.00",,,858,,,517,,,370,,,|,,
12,,"1,582.00",,,,"1,209.00",,"1,952.00",,,"1,209.00",,,370,,,517,,,510,,,---,,
13,,"2,387.00",,,,699,,"2,387.00",,,"1,216.00",,,488,,,517,,,435,,,|,,
14,,"1,952.00",,,,"1,199.00",,"2,387.00",,,"1,199.00",,,435,,,517,,,500,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,362.0)   12,362.0",,Count of cuts   (1 x 14)   14,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33904,,,,,,,,,,0,,,,0,,,"2,343.00",,,58,,,
2,,34206,,,,,,,,,,0,,,,58,,,771,,,529,,,
3,,37239,,,,,,,,,,771,,,,58,,,"1,582.00",,,519,,,
4,,33142,,,,,,,,,,0,,,,587,,,"2,283.00",,,188,,,
5,,34556,,,,,,,,,,0,,,,775,,,"2,343.00",,,58,,,
6,,36759,,,,,,,,,,0,,,,833,,,482,,,379,,,
7,,34553,,,,,,,,,,482,,,,833,,,482,,,379,,,
8,,36212,,,,,,,,,,964,,,,833,,,482,,,379,,,
9,,36051,,,,,,,,,,"1,446.00",,,,833,,,482,,,360,,,
10,,35950,,,,,,,,,,"1,928.00",,,,833,,,481,,,360,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,58,,"2,440.00",,,58,,,"2,440.00",,,"1,220.00",,,58,,,---,,
2,,"2,343.00",,,,0,,"2,343.00",,,58,,,"2,440.00",,,58,,,"2,343.00",,,|,,
3,,0,,,,587,,"2,440.00",,,587,,,"2,440.00",,,"1,162.00",,,529,,,---,,
4,,771,,,,58,,771,,,587,,,"2,440.00",,,529,,,771,,,|,,
5,,"2,353.00",,,,58,,"2,353.00",,,587,,,"1,669.00",,,529,,,"1,582.00",,,|,,
6,,771,,,,577,,"2,353.00",,,577,,,"1,582.00",,,529,,,519,,,---,,
7,,0,,,,775,,"2,440.00",,,775,,,"2,440.00",,,633,,,188,,,---,,
8,,"2,283.00",,,,587,,"2,283.00",,,775,,,"2,440.00",,,188,,,"2,283.00",,,|,,
9,,0,,,,833,,"2,440.00",,,833,,,"2,440.00",,,445,,,58,,,---,,
