Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26297,,,,,,,,,,0.0,,,,0.0,,,"1,933.0",,,548.0,,,,
2,,22890,,,,,,,,,,0.0,,,,548.0,,,"2,234.0",,,453.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,548.0,,"2,440.0",,,548.0,,,"2,440.0",,,"1,220.0",,,548.0,,,---,,
2,,"1,933.0",,,,0.0,,"1,933.0",,,548.0,,,"2,440.0",,,548.0,,,"1,933.0",,,|,,
3,,0.0,,,,"1,001.5",,"2,440.0",,,"1,001.5",,,"2,440.0",,,672.0,,,453.5,,,---,,
4,,"2,234.0",,,,548.0,,"2,234.0",,,"1,001.5",,,"2,440.0",,,453.5,,,"2,234.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,881.5)   5,881.5",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25174,,,,,,,,,,0.0,,,,0.0,,,"2,234.0",,,433.5,,,,
2,,26822,,,,,,,,,,0.0,,,,433.5,,,"2,234.0",,,433.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,234.0",,,,0.0,,"2,234.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,234.0",,,|,,
2,,0.0,,,,433.5,,"2,234.0",,,433.5,,,"2,234.0",,,"1,220.0",,,433.5,,,---,,
3,,0.0,,,,867.0,,"2,234.0",,,867.0,,,"2,234.0",,,786.5,,,433.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,688.0)   5,688.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23342,,,,,,,,,,0.0,,,,0.0,,,"1,762.0",,,"1,061.0",,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,762.0",,,,0.0,,"1,762.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,762.0",,,|,,
2,,0.0,,,,"1,061.0",,"1,762.0",,,"1,061.0",,,"1,762.0",,,"1,220.0",,,"1,061.0",,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,982.0)   2,982.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
4 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25983,,*,,,,,*,,,0.0,,,,0.0,,,813.0,,,973.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,813.0,,,,0.0,,813.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,813.0,,,|,,
2,,0.0,,,,973.0,,813.0,,,973.0,,,813.0,,,"1,220.0",,,973.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,033.0)   2,033.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
