Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24247,,,,,,,,,,0.0,,,,0.0,,,"2,034.0",,,447.5,,,,,
2,,26662,,,,,,,,,,"2,034.0",,,,0.0,,,393.5,,,432.0,,,,,
3,,24860,,,,,,,,,,0.0,,,,447.5,,,447.5,,,595.0,,,*,,
4,,25738,,,,,,,,,,447.5,,,,447.5,,,447.5,,,595.0,,,*,,
5,,25825,,,,,,,,,,895.0,,,,447.5,,,"1,308.0",,,548.0,,,,,
6,,25452,,,,,,,,,,0.0,,,,"1,042.5",,,"1,448.0",,,38.0,,,,,
7,,27211,,,,,,,,,,0.0,,,,"1,080.5",,,"1,898.0",,,38.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,447.5,,"2,440.0",,,447.5,,,"2,440.0",,,"1,220.0",,,447.5,,,---,,,
2,,"2,034.0",,,,0.0,,"2,034.0",,,447.5,,,"2,440.0",,,447.5,,,"2,034.0",,,|,,,
3,,"2,427.5",,,,0.0,,"2,427.5",,,447.5,,,406.0,,,447.5,,,393.5,,,|,,,
4,,"2,034.0",,,,432.0,,"2,427.5",,,432.0,,,393.5,,,447.5,,,432.0,,,---,,,
5,,0.0,,,,"1,042.5",,"2,440.0",,,"1,042.5",,,"2,440.0",,,772.5,,,595.0,,,---,,,
6,,447.5,,,,447.5,,447.5,,,"1,042.5",,,"2,440.0",,,595.0,,,447.5,,,|,,,
7,,895.0,,,,447.5,,895.0,,,"1,042.5",,,"1,992.5",,,595.0,,,447.5,,,|,,,
8,,"2,203.0",,,,447.5,,"2,203.0",,,"1,042.5",,,"1,545.0",,,595.0,,,"1,308.0",,,|,,,
9,,895.0,,,,995.5,,"2,203.0",,,995.5,,,"1,308.0",,,595.0,,,548.0,,,---,,,
10,,0.0,,,,"1,080.5",,"2,440.0",,,"1,080.5",,,"2,440.0",,,177.5,,,38.0,,,---,,,
11,,"1,448.0",,,,"1,042.5",,"1,448.0",,,"1,080.5",,,"2,440.0",,,38.0,,,"1,448.0",,,|,,,
12,,0.0,,,,"1,118.5",,"2,440.0",,,"1,118.5",,,"2,440.0",,,139.5,,,38.0,,,---,,,
13,,"1,898.0",,,,"1,080.5",,"1,898.0",,,"1,118.5",,,"2,440.0",,,38.0,,,"1,898.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 14,217.5)   14,217.5",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26153,,,,,,,,,,0.0,,,,0.0,,,"2,034.0",,,447.5,,,,,
2,,23976,,,,,,,,,,"2,034.0",,,,0.0,,,393.5,,,431.5,,,,,
3,,22955,,,,,,,,,,0.0,,,,447.5,,,447.5,,,595.0,,,*,,
4,,24269,,,,,,,,,,447.5,,,,447.5,,,447.5,,,595.0,,,*,,
5,,27255,,,,,,,,,,895.0,,,,447.5,,,"1,344.0",,,432.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
