Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6527,,,,,,,,,,0,,,,0,,,831,,,560,,,
2,,4371,,,,,,,,,,0,,,,560,,,823,,,330,,,
3,,5116,,,,,,,,,,0,,,,890,,,823,,,330,,,
4,,4179,,,,,,,,,,831,,,,0,,,742,,,577,,,
5,,3841,,,,,,,,,,831,,,,577,,,737,,,579,,,
6,,5580,,,,,,,,,,"1,573.00",,,,0,,,831,,,560,,,
7,,5233,,,,,,,,,,"1,573.00",,,,560,,,737,,,597,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,831,,,,0,,831,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,831,,,|,,
2,,0,,,,560,,831,,,560,,,831,,,"1,220.00",,,560,,,---,,
3,,0,,,,890,,831,,,890,,,831,,,660,,,330,,,---,,
4,,823,,,,560,,823,,,890,,,831,,,330,,,823,,,|,,
5,,823,,,,890,,823,,,"1,220.00",,,831,,,330,,,823,,,|,,
6,,"1,573.00",,,,0,,"1,573.00",,,"1,220.00",,,"1,609.00",,,"1,220.00",,,742,,,|,,
7,,831,,,,577,,"1,573.00",,,577,,,742,,,"1,220.00",,,577,,,---,,
8,,831,,,,"1,156.00",,"1,573.00",,,"1,156.00",,,742,,,643,,,579,,,---,,
9,,"1,568.00",,,,577,,"1,568.00",,,"1,156.00",,,742,,,579,,,737,,,|,,
10,,"2,404.00",,,,0,,"2,404.00",,,"1,220.00",,,867,,,"1,220.00",,,831,,,|,,
11,,"1,573.00",,,,560,,"2,404.00",,,560,,,831,,,"1,220.00",,,560,,,---,,
12,,"1,573.00",,,,"1,157.00",,"2,404.00",,,"1,157.00",,,831,,,660,,,597,,,---,,
13,,"2,310.00",,,,560,,"2,310.00",,,"1,157.00",,,831,,,597,,,737,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,304.0)   10,304.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5297,,,,,,,,,,0,,,,0,,,"1,238.00",,,518,,,
2,,5334,,,,,,,,,,0,,,,518,,,"1,138.00",,,329,,,
3,,3852,,,,,,,,,,0,,,,847,,,"1,138.00",,,329,,,
4,,7465,,,,,,,,,,"1,238.00",,,,0,,,577,,,742,,,*
5,,4178,,,,,,,,,,"1,238.00",,,,742,,,559.5,,,398.5,,,*
6,,4684,,,,,,,,,,"1,815.00",,,,0,,,578,,,"1,218.00",,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,238.00",,,,0,,"1,238.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,238.00",,,|,,
2,,0,,,,518,,"1,238.00",,,518,,,"1,238.00",,,"1,220.00",,,518,,,---,,
3,,0,,,,847,,"1,238.00",,,847,,,"1,238.00",,,702,,,329,,,---,,
4,,"1,138.00",,,,518,,"1,138.00",,,847,,,"1,238.00",,,329,,,"1,138.00",,,|,,
5,,0,,,,"1,176.00",,"1,238.00",,,"1,176.00",,,"1,238.00",,,373,,,329,,,---,,
6,,"1,138.00",,,,847,,"1,138.00",,,"1,176.00",,,"1,238.00",,,329,,,"1,138.00",,,|,,
7,,"1,815.00",,,,0,,"1,815.00",,,"1,220.00",,,"1,202.00",,,"1,220.00",,,577,,,|,,
8,,"1,238.00",,,,742,,"1,815.00",,,742,,,577,,,"1,220.00",,,742,,,---,,
