Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
1 of 1,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,11198,,,,,,,,,,0,,,,0,,,350,,,339,
2,,10263,,,,,,,,,,0,,,,339,,,349,,,52.5,
3,,8452,,,,,,,,,,0,,,,391.5,,,338,,,78,
4,,35829,,,,,,,,,,0,,,,469.5,,,289,,,494,
5,,34838,,,,,,,,,,0,,,,963.5,,,288,,,118,
6,,8688,,,,,,,,,,350,,,,0,,,92.5,,,515,
7,,12100,,,,,,,,,,350,,,,515,,,92.5,,,526.5,
8,,12421,,,,,,,,,,442.5,,,,0,,,118,,,238,
9,,34254,,,,,,,,,,442.5,,,,238,,,118,,,288,
10,,11327,,,,,,,,,,442.5,,,,526,,,118,,,238,
11,,9174,,,,,,,,,,442.5,,,,764,,,118,,,238,
12,,10083,,,,,,,,,,560.5,,,,0,,,527.5,,,239,
13,,8247,,,,,,,,,,560.5,,,,239,,,515,,,92.5,
14,,32771,,,,,,,,,,560.5,,,,331.5,,,493,,,92.5,
15,,10855,,,,,,,,,,560.5,,,,424,,,118,,,238,
16,,11165,,,,,,,,,,678.5,,,,424,,,118,,,238,
17,,11071,,,,,,,,,,796.5,,,,424,,,118,,,238,
18,,12299,,,,,,,,,,914.5,,,,424,,,118,,,238,
19,,12348,,,,,,,,,,560.5,,,,662,,,238,,,118,
20,,11797,,,,,,,,,,798.5,,,,662,,,238,,,118,
21,,12272,,,,,,,,,,"1,088.00",,,,0,,,239,,,527.5,
22,,8593,,,,,,,,,,"1,088.00",,,,527.5,,,238,,,118,
23,,7679,,,,,,,,,,"1,088.00",,,,645.5,,,238,,,118,
24,,11299,,,,,,,,,,"1,088.00",,,,763.5,,,238,,,118,
25,,9944,,,,,,,,,,"1,327.00",,,,0,,,239,,,527.5,
26,,8067,,,,,,,,,,"1,327.00",,,,527.5,,,239,,,527.5,
27,,11241,,,,,,,,,,"1,566.00",,,,0,,,92.5,,,526.5,
28,,10016,,,,,,,,,,"1,566.00",,,,526.5,,,92.5,,,526.5,
29,,10091,,,,,,,,,,"1,658.50",,,,0,,,526.5,,,92.5,
30,,7883,,,,,,,,,,"1,658.50",,,,92.5,,,78,,,338,
31,,10774,,,,,,,,,,"2,185.00",,,,0,,,239,,,516,
32,,11087,,,,*,,,,,,"2,185.00",,,,516,,,239,,,516,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,"1,081.50","2,440.00",,,"1,081.50",,"2,440.00",,"1,220.00",,"1,081.50",,---,,,,,,,
2,350,,,0,350,,,"1,081.50",,"2,440.00",,"1,081.50",,350,,|,,,,,,,
3,0,,,339,350,,,339,,350,,"1,081.50",,339,,---,,,,,,,
4,0,,,391.5,350,,,391.5,,350,,742.5,,52.5,,---,,,,,,,
5,349,,,339,349,,,391.5,,350,,52.5,,349,,|,,,,,,,
6,0,,,469.5,350,,,469.5,,350,,690,,78,,---,,,,,,,
7,338,,,391.5,338,,,469.5,,350,,78,,338,,|,,,,,,,
8,0,,,963.5,350,,,963.5,,350,,612,,494,,---,,,,,,,
9,289,,,469.5,289,,,963.5,,350,,494,,289,,|,,,,,,,
10,288,,,963.5,288,,,"1,081.50",,350,,118,,288,,|,,,,,,,
11,442.5,,,0,442.5,,,"1,081.50",,"2,090.00",,"1,081.50",,92.5,,|,,,,,,,
12,350,,,515,442.5,,,515,,92.5,,"1,081.50",,515,,---,,,,,,,
13,350,,,"1,041.50",442.5,,,"1,041.50",,92.5,,566.5,,526.5,,---,,,,,,,
14,560.5,,,0,560.5,,,"1,081.50",,"1,997.50",,"1,081.50",,118,,|,,,,,,,
15,442.5,,,238,560.5,,,238,,118,,"1,081.50",,238,,---,,,,,,,
16,442.5,,,526,560.5,,,526,,118,,843.5,,288,,---,,,,,,,
17,442.5,,,764,560.5,,,764,,118,,555.5,,238,,---,,,,,,,
18,442.5,,,"1,002.00",560.5,,,"1,002.00",,118,,317.5,,238,,---,,,,,,,
19,"1,088.00",,,0,"1,088.00",,,"1,081.50",,"1,879.50",,"1,081.50",,527.5,,|,,,,,,,
20,560.5,,,239,"1,088.00",,,239,,527.5,,"1,081.50",,239,,---,,,,,,,
21,560.5,,,331.5,"1,088.00",,,331.5,,527.5,,842.5,,92.5,,---,,,,,,,
22,"1,075.50",,,239,"1,075.50",,,331.5,,527.5,,92.5,,515,,|,,,,,,,
23,560.5,,,424,"1,088.00",,,424,,527.5,,750,,92.5,,---,,,,,,,
24,"1,053.50",,,331.5,"1,053.50",,,424,,527.5,,92.5,,493,,|,,,,,,,
25,560.5,,,662,"1,088.00",,,662,,527.5,,657.5,,238,,---,,,,,,,
26,678.5,,,424,678.5,,,662,,527.5,,238,,118,,|,,,,,,,
27,796.5,,,424,796.5,,,662,,409.5,,238,,118,,|,,,,,,,
28,914.5,,,424,914.5,,,662,,291.5,,238,,118,,|,,,,,,,
29,"1,032.50",,,424,"1,032.50",,,662,,173.5,,238,,118,,|,,,,,,,
30,560.5,,,780,"1,088.00",,,780,,527.5,,419.5,,118,,---,,,,,,,
31,798.5,,,662,798.5,,,780,,527.5,,118,,238,,|,,,,,,,
32,"1,036.50",,,662,"1,036.50",,,780,,289.5,,118,,238,,|,,,,,,,
33,"1,327.00",,,0,"1,327.00",,,"1,081.50",,"1,352.00",,"1,081.50",,239,,|,,,,,,,
34,"1,088.00",,,527.5,"1,327.00",,,527.5,,239,,"1,081.50",,527.5,,---,,,,,,,
35,"1,088.00",,,645.5,"1,327.00",,,645.5,,239,,554,,118,,---,,,,,,,
36,"1,326.00",,,527.5,"1,326.00",,,645.5,,239,,118,,238,,|,,,,,,,
37,"1,088.00",,,763.5,"1,327.00",,,763.5,,239,,436,,118,,---,,,,,,,
38,"1,326.00",,,645.5,"1,326.00",,,763.5,,239,,118,,238,,|,,,,,,,
39,"1,088.00",,,881.5,"1,327.00",,,881.5,,239,,318,,118,,---,,,,,,,
40,"1,326.00",,,763.5,"1,326.00",,,881.5,,239,,118,,238,,|,,,,,,,
41,"1,566.00",,,0,"1,566.00",,,"1,081.50",,"1,113.00",,"1,081.50",,239,,|,,,,,,,
42,"1,327.00",,,527.5,"1,566.00",,,527.5,,239,,"1,081.50",,527.5,,---,,,,,,,
43,"1,327.00",,,"1,055.00","1,566.00",,,"1,055.00",,239,,554,,527.5,,---,,,,,,,
44,"1,658.50",,,0,"1,658.50",,,"1,081.50",,874,,"1,081.50",,92.5,,|,,,,,,,
45,"1,566.00",,,526.5,"1,658.50",,,526.5,,92.5,,"1,081.50",,526.5,,---,,,,,,,
46,"1,566.00","1,053.00","1,658.50","1,053.00",92.5,555,526.5,---,,,,,,,,,,,,,,,
47,"2,185.00",0,"2,185.00","1,081.50",781.5,"1,081.50",526.5,|,,,,,,,,,,,,,,,
48,"1,658.50",92.5,"2,185.00",92.5,526.5,"1,081.50",92.5,---,,,,,,,,,,,,,,,
49,"1,658.50",430.5,"2,185.00",430.5,526.5,989,338,---,,,,,,,,,,,,,,,
50,"1,736.50",92.5,"1,736.50",430.5,526.5,338,78,|,,,,,,,,,,,,,,,
51,"2,424.00",0,"2,424.00","1,081.50",255,"1,081.50",239,|,,,,,,,,,,,,,,,
52,"2,185.00",516,"2,424.00",516,239,"1,081.50",516,---,,,,,,,,,,,,,,,
53,"2,185.00","1,032.00","2,424.00","1,032.00",239,565.5,516,---,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 22,825.5)   22,825.5",,,,,,Count of cuts   (1 x 53)   53,,,,,,,,,,,,,,,,,
