Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30930,,,,,,,,,,0,,,,0,,,"2,362.00",,,337,,,
2,,27958,,,,,,,,,,0,,,,337,,,"2,362.00",,,335,,,
3,,31263,,,,,,,,,,0,,,,672,,,773,,,316,,,
4,,32187,,,,,,,,,,773,,,,672,,,773,,,316,,,
5,,29669,,,,,,,,,,"1,546.00",,,,672,,,773,,,316,,,
6,,28876,,,,,,,,,,0,,,,988,,,"1,838.00",,,58,,,
7,,28766,,,,,,,,,,"1,838.00",,,,988,,,598,,,58,,,
8,,31913,,,,,,,,,,0,,,,"1,046.00",,,930,,,58,,,
9,,28371,,,,,,,,,,930,,,,"1,046.00",,,918,,,58,,,
10,,27550,,,,,,,,,,"1,848.00",,,,"1,046.00",,,578,,,58,,,
11,,30087,,,,,,,,,,0,,,,"1,104.00",,,"2,408.00",,,58,,,
12,,30208,,,,,,,,,,0,,,,"1,162.00",,,910,,,58,,,
13,,27532,,,,,,,,,,910,,,,"1,162.00",,,589,,,58,,,
14,,31659,,,,,,,,,,"1,499.00",,,,"1,162.00",,,358,,,58,,,
15,,29735,,,,,,,,,,"1,857.00",,,,"1,162.00",,,578,,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,337,,"2,440.00",,,337,,,"2,440.00",,,"1,220.00",,,337,,,---,,
2,,"2,362.00",,,,0,,"2,362.00",,,337,,,"2,440.00",,,337,,,"2,362.00",,,|,,
3,,0,,,,672,,"2,440.00",,,672,,,"2,440.00",,,883,,,335,,,---,,
4,,"2,362.00",,,,337,,"2,362.00",,,672,,,"2,440.00",,,335,,,"2,362.00",,,|,,
5,,0,,,,988,,"2,440.00",,,988,,,"2,440.00",,,548,,,316,,,---,,
6,,773,,,,672,,773,,,988,,,"2,440.00",,,316,,,773,,,|,,
7,,"1,546.00",,,,672,,"1,546.00",,,988,,,"1,667.00",,,316,,,773,,,|,,
8,,"2,319.00",,,,672,,"2,319.00",,,988,,,894,,,316,,,773,,,|,,
9,0,"1,046.00","2,440.00","1,046.00","2,440.00",232,58,---,,,,,,,,,,,,,,,,,
10,"1,838.00",988,"1,838.00","1,046.00","2,440.00",58,"1,838.00",|,,,,,,,,,,,,,,,,,
11,"2,436.00",988,"2,436.00","1,046.00",602,58,598,|,,,,,,,,,,,,,,,,,
12,0,"1,104.00","2,440.00","1,104.00","2,440.00",174,58,---,,,,,,,,,,,,,,,,,
13,930,"1,046.00",930,"1,104.00","2,440.00",58,930,|,,,,,,,,,,,,,,,,,
14,"1,848.00","1,046.00","1,848.00","1,104.00","1,510.00",58,918,|,,,,,,,,,,,,,,,,,
15,"2,426.00","1,046.00","2,426.00","1,104.00",592,58,578,|,,,,,,,,,,,,,,,,,
16,0,"1,162.00","2,440.00","1,162.00","2,440.00",116,58,---,,,,,,,,,,,,,,,,,
17,"2,408.00","1,104.00","2,408.00","1,162.00","2,440.00",58,"2,408.00",|,,,,,,,,,,,,,,,,,
18,910,"1,162.00",910,"1,220.00","2,440.00",58,910,|,,,,,,,,,,,,,,,,,
19,"1,499.00","1,162.00","1,499.00","1,220.00","1,530.00",58,589,|,,,,,,,,,,,,,,,,,
20,"1,857.00","1,162.00","1,857.00","1,220.00",941,58,358,|,,,,,,,,,,,,,,,,,
21,"2,435.00","1,162.00","2,435.00","1,220.00",583,58,578,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 16,840.0)   16,840.0",,,,,,Count of cuts   (1 x 21)   21,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30545,,,,,,,,,,0,,,,0,,,58,,,349,,,*
