Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3775,,,,,,,,,,0,,,,0,,,"1,934.00",,,405,,,
2,,4143,,,,,,,,,,"1,934.00",,,,0,,,424.5,,,405,,,
3,,3774,,,,,,,,,,0,,,,405,,,433.5,,,406,,,
4,,5781,,,,,,,,,,433.5,,,,405,,,"1,934.00",,,405,,,
5,,5507,,,,,,,,,,0,,,,811,,,472,,,407,,,
6,,5080,,,,,,,,,,472,,,,811,,,"1,934.00",,,405,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,405,,"2,440.00",,,405,,,"2,440.00",,,"1,220.00",,,405,,,---,,
2,,"1,934.00",,,,0,,"1,934.00",,,405,,,"2,440.00",,,405,,,"1,934.00",,,|,,
3,,"2,358.50",,,,0,,"2,358.50",,,405,,,506,,,405,,,424.5,,,|,,
4,,0,,,,811,,"2,440.00",,,811,,,"2,440.00",,,815,,,406,,,---,,
5,,433.5,,,,405,,433.5,,,811,,,"2,440.00",,,406,,,433.5,,,|,,
6,,"2,367.50",,,,405,,"2,367.50",,,811,,,"2,006.50",,,406,,,"1,934.00",,,|,,
7,,433.5,,,,810,,"2,367.50",,,810,,,"1,934.00",,,406,,,405,,,---,,
8,,472,,,,811,,472,,,"1,220.00",,,"2,440.00",,,409,,,472,,,|,,
9,,0,,,,"1,218.00",,472,,,"1,218.00",,,472,,,409,,,407,,,---,,
10,,"2,406.00",,,,811,,"2,406.00",,,"1,220.00",,,"1,968.00",,,409,,,"1,934.00",,,|,,
11,,472,,,,"1,216.00",,"2,406.00",,,"1,216.00",,,"1,934.00",,,409,,,405,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,660.0)   11,660.0",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5492,,,,,,,,,,0,,,,0,,,"1,934.00",,,406,,,
2,,7229,,,,,,,,,,0,,,,406,,,"1,934.00",,,406,,,
3,,4294,,,,,,,,,,0,,,,812,,,"1,934.00",,,406,,,
4,,6388,,,,,,,,,,"1,934.00",,,,0,,,482,,,428.5,,,
5,,4711,,,,,,,,,,"1,934.00",,,,428.5,,,428,,,746.5,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,934.00",,,,0,,"1,934.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,934.00",,,|,,
2,,0,,,,406,,"1,934.00",,,406,,,"1,934.00",,,"1,220.00",,,406,,,---,,
3,,0,,,,812,,"1,934.00",,,812,,,"1,934.00",,,814,,,406,,,---,,
4,,0,,,,"1,218.00",,"1,934.00",,,"1,218.00",,,"1,934.00",,,408,,,406,,,---,,
5,,"1,934.00",,,,428.5,,"2,440.00",,,428.5,,,506,,,"1,220.00",,,428.5,,,---,,
6,,"2,416.00",,,,0,,"2,416.00",,,428.5,,,506,,,428.5,,,482,,,|,,
7,,"1,934.00",,,,"1,175.00",,"2,440.00",,,"1,175.00",,,506,,,791.5,,,746.5,,,---,,
8,,"2,362.00",,,,428.5,,"2,362.00",,,"1,175.00",,,506,,,746.5,,,428,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,209.0)   9,209.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5454,,,,,,,,,,0,,,,0,,,"1,457.00",,,407,,,
2,,4018,,,,,,,,,,"1,457.00",,,,0,,,942.5,,,403,,,
3,,6588,,,,,,,,,,0,,,,407,,,"1,934.00",,,396.8,,,
4,,3713,,,,,,,,,,"1,934.00",,,,407,,,419.5,,,396.8,,,
5,,3894,,,,,,,,,,0,,,,803.8,,,424.5,,,405,,,
6,,7440,,,,,,,,,,424.5,,,,803.8,,,"1,934.00",,,396.8,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,407,,"2,440.00",,,407,,,"2,440.00",,,"1,220.00",,,407,,,---,,
2,,"1,457.00",,,,0,,"1,457.00",,,407,,,"2,440.00",,,407,,,"1,457.00",,,|,,
3,,"2,399.50",,,,0,,"2,399.50",,,407,,,983,,,407,,,942.5,,,|,,
4,,"1,457.00",,,,403,,"2,399.50",,,403,,,942.5,,,407,,,403,,,---,,
5,,0,,,,803.8,,"2,440.00",,,803.8,,,"2,440.00",,,813,,,396.8,,,---,,
6,,"1,934.00",,,,407,,"1,934.00",,,803.8,,,"2,440.00",,,396.8,,,"1,934.00",,,|,,
7,,"2,353.50",,,,407,,"2,353.50",,,803.8,,,506,,,396.8,,,419.5,,,|,,
8,,424.5,,,,803.8,,424.5,,,"1,220.00",,,"2,440.00",,,416.2,,,424.5,,,|,,
9,,0,,,,"1,208.80",,424.5,,,"1,208.80",,,424.5,,,416.2,,,405,,,---,,
10,,"2,358.50",,,,803.8,,"2,358.50",,,"1,220.00",,,"2,015.50",,,416.2,,,"1,934.00",,,|,,
11,,424.5,,,,"1,200.60",,"2,358.50",,,"1,200.60",,,"1,934.00",,,416.2,,,396.8,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,621.0)   10,621.0",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4653,,,,,,,,,,0,,,,0,,,"1,934.00",,,405,,,
2,,4869,,,,,,,,,,"1,934.00",,,,0,,,424.5,,,405,,,
3,,6819,,,,,,,,,,0,,,,405,,,433.5,,,406,,,
4,,7180,,,,,,,,,,433.5,,,,405,,,"1,934.00",,,396.8,,,
5,,3949,,,,,,,,,,0,,,,811,,,433.5,,,406,,,
6,,5679,,,,,,,,,,433.5,,,,811,,,"1,934.00",,,396.8,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,405,,"2,440.00",,,405,,,"2,440.00",,,"1,220.00",,,405,,,---,,
2,,"1,934.00",,,,0,,"1,934.00",,,405,,,"2,440.00",,,405,,,"1,934.00",,,|,,
3,,"2,358.50",,,,0,,"2,358.50",,,405,,,506,,,405,,,424.5,,,|,,
4,,0,,,,811,,"2,440.00",,,811,,,"2,440.00",,,815,,,406,,,---,,
5,,433.5,,,,405,,433.5,,,811,,,"2,440.00",,,406,,,433.5,,,|,,
6,,"2,367.50",,,,405,,"2,367.50",,,811,,,"2,006.50",,,406,,,"1,934.00",,,|,,
7,,433.5,,,,801.8,,"2,367.50",,,801.8,,,"1,934.00",,,406,,,396.8,,,---,,
8,,433.5,,,,811,,433.5,,,"1,220.00",,,"2,440.00",,,409,,,433.5,,,|,,
9,,0,,,,"1,217.00",,433.5,,,"1,217.00",,,433.5,,,409,,,406,,,---,,
10,,"2,367.50",,,,811,,"2,367.50",,,"1,220.00",,,"2,006.50",,,409,,,"1,934.00",,,|,,
11,,433.5,,,,"1,207.80",,"2,367.50",,,"1,207.80",,,"1,934.00",,,409,,,396.8,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,621.5)   11,621.5",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6514,,,,,,,,,,0,,,,0,,,674,,,404,,,
2,,7319,,,,,,,,,,0,,,,404,,,674,,,403,,,
3,,3749,,,,,,,,,,0,,,,807,,,674,,,403,,,
4,,5997,,,,,,,,,,674,,,,0,,,482,,,428.5,,,
5,,3883,,,,,,,,,,674,,,,428.5,,,482,,,428.5,,,
6,,5282,,,,,,,,,,674,,,,857,,,445,,,294,,,*
7,,4485,,,,,,,,,,"1,156.00",,,,0,,,"1,254.00",,,590,,,
8,,5548,,,,,,,,,,"1,156.00",,,,590,,,"1,254.00",,,590,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,674,,,,0,,674,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,674,,,|,,
2,,0,,,,404,,674,,,404,,,674,,,"1,220.00",,,404,,,---,,
3,,0,,,,807,,674,,,807,,,674,,,816,,,403,,,---,,
4,,0,,,,"1,210.00",,674,,,"1,210.00",,,674,,,413,,,403,,,---,,
5,,"1,156.00",,,,0,,"1,156.00",,,"1,220.00",,,"1,766.00",,,"1,220.00",,,482,,,|,,
6,,674,,,,428.5,,"1,156.00",,,428.5,,,482,,,"1,220.00",,,428.5,,,---,,
7,,674,,,,857,,"1,156.00",,,857,,,482,,,791.5,,,428.5,,,---,,
8,,674,,,,"1,151.00",,"1,156.00",,,"1,151.00",,,482,,,363,,,294,,,---,,
9,,"1,119.00",,,,857,,"1,119.00",,,"1,151.00",,,482,,,294,,,445,,,|,,
10,,"2,410.00",,,,0,,"2,410.00",,,"1,220.00",,,"1,284.00",,,"1,220.00",,,"1,254.00",,,|,,
11,,"1,156.00",,,,590,,"2,410.00",,,590,,,"1,254.00",,,"1,220.00",,,590,,,---,,
12,,"1,156.00",,,,"1,180.00",,"2,410.00",,,"1,180.00",,,"1,254.00",,,630,,,590,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,930.0)   9,930.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
6 of 11,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
