Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24479,,,,,,,,,,0,,,,0,,,824,,,428.5,,,
2,,25512,,,,,,,,,,824,,,,0,,,624,,,419.5,,,
3,,25214,,,,,,,,,,"1,448.00",,,,0,,,624,,,419.5,,,
4,,25672,,,,,,,,,,"2,072.00",,,,0,,,355,,,385,,,
5,,27258,,,,,,,,,,0,,,,428.5,,,575,,,395,,,
6,,25339,,,,,,,,,,575,,,,428.5,,,575,,,395,,,
7,,24397,,,,,,,,,,"1,150.00",,,,428.5,,,575,,,395,,,
8,,23704,,,,,,,,,,"1,725.00",,,,428.5,,,355,,,385,,,
9,,24376,,,,,,,,,,"2,080.00",,,,428.5,,,355,,,385,,,
10,,26002,,,,,,,,,,0,,,,823.5,,,"2,034.00",,,395,,,
11,,26269,,,,,,,,,,"2,034.00",,,,823.5,,,355,,,385,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,428.5,,"2,440.00",,,428.5,,,"2,440.00",,,"1,220.00",,,428.5,,,---,,
2,,824,,,,0,,824,,,428.5,,,"2,440.00",,,428.5,,,824,,,|,,
3,,"1,448.00",,,,0,,"1,448.00",,,428.5,,,"1,616.00",,,428.5,,,624,,,|,,
4,,824,,,,419.5,,"1,448.00",,,419.5,,,624,,,428.5,,,419.5,,,---,,
5,,"2,072.00",,,,0,,"2,072.00",,,428.5,,,992,,,428.5,,,624,,,|,,
6,,"1,448.00",,,,419.5,,"2,072.00",,,419.5,,,624,,,428.5,,,419.5,,,---,,
7,,"2,427.00",,,,0,,"2,427.00",,,428.5,,,368,,,428.5,,,355,,,|,,
8,,"2,072.00",,,,385,,"2,427.00",,,385,,,355,,,428.5,,,385,,,---,,
9,,0,,,,823.5,,"2,440.00",,,823.5,,,"2,440.00",,,791.5,,,395,,,---,,
10,,575,,,,428.5,,575,,,823.5,,,"2,440.00",,,395,,,575,,,|,,
11,,"1,150.00",,,,428.5,,"1,150.00",,,823.5,,,"1,865.00",,,395,,,575,,,|,,
12,,"1,725.00",,,,428.5,,"1,725.00",,,823.5,,,"1,290.00",,,395,,,575,,,|,,
13,"2,080.00",428.5,"2,080.00",823.5,715,395,355,|,,,,,,,,,,,,,,,,,
14,"1,725.00",813.5,"2,080.00",813.5,355,395,385,---,,,,,,,,,,,,,,,,,
15,"2,435.00",428.5,"2,435.00",823.5,360,395,355,|,,,,,,,,,,,,,,,,,
16,"2,080.00",813.5,"2,435.00",813.5,355,395,385,---,,,,,,,,,,,,,,,,,
17,0,"1,218.50","2,440.00","1,218.50","2,440.00",396.5,395,---,,,,,,,,,,,,,,,,,
18,"2,034.00",823.5,"2,034.00","1,218.50","2,440.00",395,"2,034.00",|,,,,,,,,,,,,,,,,,
19,"2,389.00",823.5,"2,389.00","1,218.50",406,395,355,|,,,,,,,,,,,,,,,,,
20,"2,034.00","1,208.50","2,389.00","1,208.50",355,395,385,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 14,467.0)   14,467.0",,,,,,Count of cuts   (1 x 20)   20,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23515,,,,,,,,,,0,,,,0,,,638.5,,,578,,,
2,,23301,,,,,,,,,,0,,,,578,,,624,,,419.5,,,
3,,25434,,,,,,,,,,0,,,,997.5,,,560,,,213,,,
4,,23138,,,,,,,,,,638.5,,,,0,,,722,,,385,,,
5,,24900,,,,,,,,,,638.5,,,,385,,,722,,,385,,,
6,,24736,,,,,,,,,,638.5,,,,770,,,715.5,,,274.5,,,
7,,27382,,,,,,,,,,638.5,,,,"1,044.50",,,648,,,168,,,
8,,23554,,,,,,,,,,"1,360.50",,,,0,,,252,,,560,,,*
9,,23403,,,,,,,,,,"1,360.50",,,,560,,,250,,,575,,,*
10,,23741,,,,,,,,,,"1,612.50",,,,0,,,824,,,428,,,
11,,24109,,,,,,,,,,"1,612.50",,,,428,,,824,,,428.5,,,
12,,26324,,,,,,,,,,"1,612.50",,,,856.5,,,715,,,321.5,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,638.5,,,,0,,638.5,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,638.5,,,|,,
2,,0,,,,578,,638.5,,,578,,,638.5,,,"1,220.00",,,578,,,---,,
3,,0,,,,997.5,,638.5,,,997.5,,,638.5,,,642,,,419.5,,,---,,
4,,624,,,,578,,624,,,997.5,,,638.5,,,419.5,,,624,,,|,,
5,,0,,,,"1,210.50",,638.5,,,"1,210.50",,,638.5,,,222.5,,,213,,,---,,
6,,560,,,,997.5,,560,,,"1,210.50",,,638.5,,,213,,,560,,,|,,
7,,"1,360.50",,,,0,,"1,360.50",,,"1,220.00",,,"1,801.50",,,"1,220.00",,,722,,,|,,
8,,638.5,,,,385,,"1,360.50",,,385,,,722,,,"1,220.00",,,385,,,---,,
9,,638.5,,,,770,,"1,360.50",,,770,,,722,,,835,,,385,,,---,,
10,,638.5,,,,"1,044.50",,"1,360.50",,,"1,044.50",,,722,,,450,,,274.5,,,---,,
11,,"1,354.00",,,,770,,"1,354.00",,,"1,044.50",,,722,,,274.5,,,715.5,,,|,,
12,638.5,"1,212.50","1,360.50","1,212.50",722,175.5,168,---,,,,,,,,,,,,,,,,,
13,"1,286.50","1,044.50","1,286.50","1,212.50",722,168,648,|,,,,,,,,,,,,,,,,,
14,"1,612.50",0,"1,612.50","1,220.00","1,079.50","1,220.00",252,|,,,,,,,,,,,,,,,,,
15,"1,360.50",560,"1,612.50",560,252,"1,220.00",560,---,,,,,,,,,,,,,,,,,
16,"1,360.50","1,135.00","1,612.50","1,135.00",252,660,575,---,,,,,,,,,,,,,,,,,
17,"1,610.50",560,"1,610.50","1,135.00",252,575,250,|,,,,,,,,,,,,,,,,,
18,"2,436.50",0,"2,436.50","1,220.00",827.5,"1,220.00",824,|,,,,,,,,,,,,,,,,,
19,"1,612.50",428,"2,436.50",428,824,"1,220.00",428,---,,,,,,,,,,,,,,,,,
20,"1,612.50",856.5,"2,436.50",856.5,824,792,428.5,---,,,,,,,,,,,,,,,,,
21,"1,612.50","1,178.00","2,436.50","1,178.00",824,363.5,321.5,---,,,,,,,,,,,,,,,,,
22,"2,327.50",856.5,"2,327.50","1,178.00",824,321.5,715,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 14,631.0)   14,631.0",,,,,,Count of cuts   (1 x 22)   22,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23975,,,,,,,,,,0,,,,0,,,395,,,575,,,*
2,,26478,,,,,,,,,,0,,,,575,,,345,,,624,,,*
3,,26017,,,,,,,,,,395,,,,0,,,379,,,524,,,*
4,,26137,,,,,,,,,,395,,,,524,,,345,,,624,,,*
5,,24853,,,,,,,,,,774,,,,0,,,252,,,560,,,*
6,,24891,,,,,,,,,,774,,,,560,,,231.5,,,595,,,*
7,,26549,,,,,,,,,,"1,026.00",,,,0,,,231.5,,,595,,,*
8,,26679,,,,,,,,,,"1,026.00",,,,595,,,231.5,,,594,,,*
9,,22616,,,,,,,,,,"1,257.50",,,,0,,,722,,,385,,,
10,,23860,,,,,,,,,,"1,257.50",,,,385,,,722,,,385,,,
11,,24764,,,,,,,,,,"1,257.50",,,,770,,,715,,,321.5,,,
12,,26552,,,,,,,,,,"1,257.50",,,,"1,091.50",,,502,,,128,,,
