Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 2,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4770,,,,,,,,,,0,,,,0,,,289,,,464,,,
2,,6529,,,,,,,,,,0,,,,464,,,289,,,473,,,
3,,6288,,,,,,,,,,0,,,,937,,,288,,,118,,,
4,,7002,,,,,,,,,,0,,,,"1,055.00",,,288,,,118,,,
5,,9370,,,,,,,,,,289,,,,0,,,236,,,389,,,
6,,3800,,,,,,,,,,289,,,,389,,,118,,,288,,,
7,,6323,,,,,,,,,,407,,,,389,,,118,,,288,,,
8,,7893,,,,,,,,,,289,,,,677,,,198,,,488,,,
9,,5159,,,,,,,,,,525,,,,0,,,473,,,289,,,
10,,6085,,,,,,,,,,525,,,,289,,,464,,,289,,,
11,,5433,,,,,,,,,,525,,,,578,,,463,,,92.5,,,
12,,11740,,,,,,,,,,525,,,,670.5,,,439,,,312,,,
13,,8393,,,,,,,,,,525,,,,982.5,,,438,,,118,,,
14,,8532,,,,,,,,,,525,,,,"1,100.50",,,438,,,118,,,
15,,12168,,,,,,,,,,998,,,,0,,,506,,,489,,,
16,,8038,,,,,,,,,,998,,,,489,,,505,,,172.5,,,
17,,8418,,,,,,,,,,998,,,,661.5,,,505,,,172.5,,,
18,,10893,,,,,,,,,,998,,,,834,,,505,,,132.5,,,
19,,11458,,,,,,,,,,998,,,,966.5,,,488,,,158,,,
20,,7169,,,,,,,,,,998,,,,"1,124.50",,,472,,,92.5,,,
21,,10141,,,,,,,,,,"1,504.00",,,,0,,,489,,,506,,,
22,,10757,,,,,,,,,,"1,504.00",,,,506,,,489,,,506,,,
23,,10303,,,,,,,,,,"1,504.00",,,,"1,012.00",,,488,,,198,,,
24,,9915,,,,,,,,,,"1,993.00",,,,0,,,92.5,,,235,,,
25,,6551,,,,,,,,,,"1,993.00",,,,235,,,92.5,,,463,,,
26,,3981,,,,,,,,,,"1,993.00",,,,698,,,92.5,,,472,,,
27,,3559,,,,,,,,,,"2,085.50",,,,0,,,118,,,288,,,
28,,4281,,,,,,,,,,"2,085.50",,,,288,,,118,,,288,,,
29,,5936,,,,,,,,,,"2,085.50",,,,576,,,118,,,288,,,
30,,7009,,,,,,,,,,"2,085.50",,,,864,,,118,,,288,,,
31,,10462,,,,,,,,,,"2,203.50",,,,0,,,236,,,389,,,
32,,11991,,,,,,,,,,"2,203.50",,,,389,,,118,,,388,,,
33,,7812,,,,,,,,,,"2,321.50",,,,389,,,118,,,388,,,
34,,3842,,,,,,,,,,"2,203.50",,,,777,,,118,,,288,,,
35,,6145,,,,,,,,,,"2,321.50",,,,777,,,118,,,288,,,
36,,11531,,,,,,,,,,"2,203.50",,,,"1,065.00",,,235,,,92.5,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,289,,,0,289,,,"1,220.00",,"2,440.00",,"1,220.00",,289,,|,,,,,,,,,
2,0,,,464,289,,,464,,289,,"1,220.00",,464,,---,,,,,,,,,
3,0,,,937,289,,,937,,289,,756,,473,,---,,,,,,,,,
