Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 8,,,1,,,,,,,,,,1,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,34514,,,,,,,,,,0.0,,,,0.0,,,646.5,,,795.0,,,,,
2,,36632,,,,,,,,,,0.0,,,,795.0,,,158.0,,,388.0,,,*,,
3,,33733,,,,,,,,,,158.0,,,,795.0,,,158.0,,,388.0,,,*,,
4,,33139,,,,,,,,,,316.0,,,,795.0,,,158.0,,,388.0,,,*,,
5,,36600,,,,,,,,,,474.0,,,,795.0,,,158.0,,,388.0,,,*,,
6,,34689,,,,,,,,,,646.5,,,,0.0,,,"1,768.0",,,"1,062.0",,,,,
7,,33089,,,,,,,,,,646.5,,,,"1,062.0",,,346.0,,,132.5,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,646.5,,,,0.0,,646.5,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,646.5,,,|,,,
2,,0.0,,,,795.0,,646.5,,,795.0,,,646.5,,,"1,220.0",,,795.0,,,---,,,
3,,0.0,,,,"1,183.0",,646.5,,,"1,183.0",,,646.5,,,425.0,,,388.0,,,---,,,
4,,158.0,,,,795.0,,158.0,,,"1,183.0",,,646.5,,,388.0,,,158.0,,,|,,,
5,,316.0,,,,795.0,,316.0,,,"1,183.0",,,488.5,,,388.0,,,158.0,,,|,,,
6,,474.0,,,,795.0,,474.0,,,"1,183.0",,,330.5,,,388.0,,,158.0,,,|,,,
7,,632.0,,,,795.0,,632.0,,,"1,183.0",,,172.5,,,388.0,,,158.0,,,|,,,
8,,"2,414.5",,,,0.0,,"2,414.5",,,"1,220.0",,,"1,793.5",,,"1,220.0",,,"1,768.0",,,|,,,
9,,646.5,,,,"1,062.0",,"2,414.5",,,"1,062.0",,,"1,768.0",,,"1,220.0",,,"1,062.0",,,---,,,
10,,646.5,,,,"1,194.5",,"2,414.5",,,"1,194.5",,,"1,768.0",,,158.0,,,132.5,,,---,,,
11,,992.5,,,,"1,062.0",,992.5,,,"1,194.5",,,"1,768.0",,,132.5,,,346.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,953.5)   8,953.5",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 8,,,1,,,,,,,,,,2,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36840,,,,,,,,,,0.0,,,,0.0,,,389.0,,,347.0,,,*,,
2,,33061,,,,,,,,,,389.0,,,,0.0,,,389.0,,,347.0,,,*,,
3,,36150,,,,,,,,,,778.0,,,,0.0,,,132.5,,,346.0,,,*,,
4,,35703,,,,,,,,,,910.5,,,,0.0,,,383.0,,,343.0,,,,,
5,,36467,,,,,,,,,,0.0,,,,347.0,,,"2,181.0",,,863.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,181.0",,,,0.0,,"2,181.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,181.0",,,|,,,
2,,0.0,,,,347.0,,"2,181.0",,,347.0,,,"2,181.0",,,"1,220.0",,,347.0,,,---,,,
3,,389.0,,,,0.0,,389.0,,,347.0,,,"2,181.0",,,347.0,,,389.0,,,|,,,
