Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3442,,,,,,,,,,0,,,,0,,,"2,325.00",,,58,,,
2,,755,,,,,,,,,,0,,,,58,,,"1,948.00",,,580,,,
3,,379,,,,,,,,,,"1,948.00",,,,58,,,455,,,579,,,
4,,424,,,,,,,,,,0,,,,638,,,"1,948.00",,,580,,,
5,,2982,,,,,,,,,,"1,948.00",,,,638,,,488,,,558,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,58,,"2,440.00",,,58,,,"2,440.00",,,"1,220.00",,,58,,,---,,
2,,"2,325.00",,,,0,,"2,325.00",,,58,,,"2,440.00",,,58,,,"2,325.00",,,|,,
3,,0,,,,638,,"2,440.00",,,638,,,"2,440.00",,,"1,162.00",,,580,,,---,,
4,,"1,948.00",,,,58,,"1,948.00",,,638,,,"2,440.00",,,580,,,"1,948.00",,,|,,
5,,"2,403.00",,,,58,,"2,403.00",,,638,,,492,,,580,,,455,,,|,,
6,,"1,948.00",,,,637,,"2,403.00",,,637,,,455,,,580,,,579,,,---,,
7,,0,,,,"1,218.00",,"2,440.00",,,"1,218.00",,,"2,440.00",,,582,,,580,,,---,,
8,,"1,948.00",,,,638,,"1,948.00",,,"1,218.00",,,"2,440.00",,,580,,,"1,948.00",,,|,,
9,,"2,436.00",,,,638,,"2,436.00",,,"1,218.00",,,492,,,580,,,488,,,|,,
10,,"1,948.00",,,,"1,196.00",,"2,436.00",,,"1,196.00",,,488,,,580,,,558,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,641.0)   10,641.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1363,,,,,,,,,,0,,,,0,,,"1,948.00",,,580,,,
2,,1087,,,,,,,,,,"1,948.00",,,,0,,,455,,,579,,,
3,,1801,,,,,,,,,,0,,,,580,,,"1,948.00",,,580,,,
4,,492,,,,,,,,,,"1,948.00",,,,580,,,455,,,579,,,
5,,2188,,,,,,,,,,0,,,,"1,160.00",,,"2,305.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,580,,"2,440.00",,,580,,,"2,440.00",,,"1,220.00",,,580,,,---,,
2,,"1,948.00",,,,0,,"1,948.00",,,580,,,"2,440.00",,,580,,,"1,948.00",,,|,,
3,,"2,403.00",,,,0,,"2,403.00",,,580,,,492,,,580,,,455,,,|,,
4,,"1,948.00",,,,579,,"2,403.00",,,579,,,455,,,580,,,579,,,---,,
5,,0,,,,"1,160.00",,"2,440.00",,,"1,160.00",,,"2,440.00",,,640,,,580,,,---,,
6,,"1,948.00",,,,580,,"1,948.00",,,"1,160.00",,,"2,440.00",,,580,,,"1,948.00",,,|,,
7,,"2,403.00",,,,580,,"2,403.00",,,"1,160.00",,,492,,,580,,,455,,,|,,
8,,"1,948.00",,,,"1,159.00",,"2,403.00",,,"1,159.00",,,455,,,580,,,579,,,---,,
9,,0,,,,"1,218.00",,"2,440.00",,,"1,218.00",,,"2,440.00",,,60,,,58,,,---,,
10,,"2,305.00",,,,"1,160.00",,"2,305.00",,,"1,218.00",,,"2,440.00",,,58,,,"2,305.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,608.0)   10,608.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 14,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3448,,,,,,,,,,0,,,,0,,,812,,,296,,,
2,,1708,,,,,,,,,,812,,,,0,,,812,,,296,,,
3,,511,,,,,,,,,,"1,624.00",,,,0,,,812,,,296,,,
4,,3469,,,,,,,,,,0,,,,296,,,"2,034.00",,,430,,,
5,,2821,,,,,,,,,,"2,034.00",,,,296,,,404.5,,,340,,,
6,,3029,,,,,,,,,,0,,,,726,,,539.5,,,482,,,
7,,1364,,,,,,,,,,539.5,,,,726,,,"1,884.00",,,479,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,296,,"2,440.00",,,296,,,"2,440.00",,,"1,220.00",,,296,,,---,,
2,,812,,,,0,,812,,,296,,,"2,440.00",,,296,,,812,,,|,,
3,,"1,624.00",,,,0,,"1,624.00",,,296,,,"1,628.00",,,296,,,812,,,|,,
4,,"2,436.00",,,,0,,"2,436.00",,,296,,,816,,,296,,,812,,,|,,
