Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
1 of 1,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,10445,,*,,,,,*,,,0,,,,0,,,"1,882.00",,,57,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,57,,"2,440.00",,,57,,,"2,440.00",,,"1,220.00",,,57,,,---
2,,"1,882.00",,,,0,,"1,882.00",,,57,,,"2,440.00",,,57,,,"1,882.00",,,|
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,497.0)   2,497.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,
