Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 27,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4991,,,,,,,,,,0,,,,0,,,"1,998.00",,,580,,,
2,,4564,,,,,,,,,,"1,998.00",,,,0,,,438,,,580,,,
3,,7550,,,,,,,,,,0,,,,580,,,"1,998.00",,,580,,,
4,,4709,,,,,,,,,,"1,998.00",,,,580,,,438,,,580,,,
5,,7402,,,,,,,,,,0,,,,"1,160.00",,,"1,822.00",,,58,,,
6,,6014,,,,,,,,,,"1,822.00",,,,"1,160.00",,,300,,,58,,,
7,,5168,,,,,,,,,,"2,122.00",,,,"1,160.00",,,300,,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,580,,"2,440.00",,,580,,,"2,440.00",,,"1,220.00",,,580,,,---,,
2,,"1,998.00",,,,0,,"1,998.00",,,580,,,"2,440.00",,,580,,,"1,998.00",,,|,,
3,,"2,436.00",,,,0,,"2,436.00",,,580,,,442,,,580,,,438,,,|,,
4,,0,,,,"1,160.00",,"2,440.00",,,"1,160.00",,,"2,440.00",,,640,,,580,,,---,,
5,,"1,998.00",,,,580,,"1,998.00",,,"1,160.00",,,"2,440.00",,,580,,,"1,998.00",,,|,,
6,,"2,436.00",,,,580,,"2,436.00",,,"1,160.00",,,442,,,580,,,438,,,|,,
7,,0,,,,"1,218.00",,"2,440.00",,,"1,218.00",,,"2,440.00",,,60,,,58,,,---,,
8,,"1,822.00",,,,"1,160.00",,"1,822.00",,,"1,218.00",,,"2,440.00",,,58,,,"1,822.00",,,|,,
9,,"2,122.00",,,,"1,160.00",,"2,122.00",,,"1,218.00",,,618,,,58,,,300,,,|,,
10,,"2,422.00",,,,"1,160.00",,"2,422.00",,,"1,218.00",,,318,,,58,,,300,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,814.0)   9,814.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 27,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5429,,,,,,,,,,0,,,,0,,,438,,,580,,,
2,,6470,,,,,,,,,,0,,,,580,,,437.5,,,581,,,*
3,,7496,,,,,,,,,,0,,,,"1,161.00",,,392,,,58,,,
4,,4958,,,,,,,,,,438,,,,0,,,"1,998.00",,,"1,105.00",,,
5,,1264,,,,,,,,,,438,,,,"1,105.00",,,798,,,38,,,
6,,3626,,,,,,,,,,"1,236.00",,,,"1,105.00",,,676,,,38,,,
7,,4177,,,,,,,,,,"1,912.00",,,,"1,105.00",,,463,,,38,,,
8,,6911,,,,,,,,,,438,,,,"1,143.00",,,"1,306.00",,,38,,,
9,,6720,,,,,,,,,,"1,744.00",,,,"1,143.00",,,518.5,,,38,,,
10,,4301,,,,,,,,,,438,,,,"1,181.00",,,893,,,38,,,
11,,3956,,,,,,,,,,"1,331.00",,,,"1,181.00",,,563,,,38,,,
12,,6496,,,,,,,,,,"1,894.00",,,,"1,181.00",,,518.5,,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
