Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 15,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11949,,,,,,,,,,0,,,,0,,,"1,844.00",,,403,,,
2,,12045,,,,,,,,,,0,,,,403,,,"1,844.00",,,403,,,
3,,10106,,,,,,,,,,0,,,,806,,,"1,844.00",,,403,,,
4,,9690,,,,,,,,,,"1,844.00",,,,0,,,596,,,664,,,*
5,,8523,,,,,,,,,,"1,844.00",,,,664,,,591,,,375,,,
6,,6536,,,,,,,,,,"1,844.00",,,,"1,039.00",,,544,,,161,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,844.00",,,,0,,"1,844.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,844.00",,,|,,
2,,0,,,,403,,"1,844.00",,,403,,,"1,844.00",,,"1,220.00",,,403,,,---,,
3,,0,,,,806,,"1,844.00",,,806,,,"1,844.00",,,817,,,403,,,---,,
4,,0,,,,"1,209.00",,"1,844.00",,,"1,209.00",,,"1,844.00",,,414,,,403,,,---,,
5,,"1,844.00",,,,664,,"2,440.00",,,664,,,596,,,"1,220.00",,,664,,,---,,
6,,"1,844.00",,,,"1,039.00",,"2,440.00",,,"1,039.00",,,596,,,556,,,375,,,---,,
7,,"2,435.00",,,,664,,"2,435.00",,,"1,039.00",,,596,,,375,,,591,,,|,,
8,,"1,844.00",,,,"1,200.00",,"2,440.00",,,"1,200.00",,,596,,,181,,,161,,,---,,
9,,"2,388.00",,,,"1,039.00",,"2,388.00",,,"1,200.00",,,596,,,161,,,544,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,076.0)   9,076.0",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 15,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,12323,,,,,,,,,,0,,,,0,,,"2,247.00",,,427,,,
2,,9393,,,,,,,,,,"2,247.00",,,,0,,,178,,,307,,,*
3,,8137,,,,,,,,,,0,,,,427,,,"2,247.00",,,427,,,
