Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
1 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,32548,,,,,,,,,,0,,,,0,,,"1,726.00",,,998,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,726.00",,,,0,,"1,726.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,726.00",,,|
2,,0,,,,998,,"1,726.00",,,998,,,"1,726.00",,,"1,220.00",,,998,,,---
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,946.0)   2,946.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
2 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,35636,,*,,,,,*,,,0,,,,0,,,"1,646.00",,,998,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,646.00",,,,0,,"1,646.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,646.00",,,|
2,,0,,,,998,,"1,646.00",,,998,,,"1,646.00",,,"1,220.00",,,998,,,---
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,866.0)   2,866.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,
