Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 9,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30507,,,,,,,,,,0,,,,0,,,"1,566.00",,,395,,,
2,,31074,,,,,,,,,,"1,566.00",,,,0,,,765,,,395,,,
3,,28043,,,,,,,,,,0,,,,395,,,"2,299.00",,,425,,,
4,,28697,,,,,,,,,,0,,,,820,,,765,,,395,,,
5,,29977,,,,,,,,,,765,,,,820,,,"1,054.00",,,395,,,
6,,29207,,,,,,,,,,"1,819.00",,,,820,,,614.5,,,385,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,395,,"2,440.00",,,395,,,"2,440.00",,,"1,220.00",,,395,,,---,,
2,,"1,566.00",,,,0,,"1,566.00",,,395,,,"2,440.00",,,395,,,"1,566.00",,,|,,
3,,"2,331.00",,,,0,,"2,331.00",,,395,,,874,,,395,,,765,,,|,,
4,,0,,,,820,,"2,440.00",,,820,,,"2,440.00",,,825,,,425,,,---,,
5,,"2,299.00",,,,395,,"2,299.00",,,820,,,"2,440.00",,,425,,,"2,299.00",,,|,,
6,,0,,,,"1,215.00",,"2,440.00",,,"1,215.00",,,"2,440.00",,,400,,,395,,,---,,
7,,765,,,,820,,765,,,"1,215.00",,,"2,440.00",,,395,,,765,,,|,,
8,,"1,819.00",,,,820,,"1,819.00",,,"1,215.00",,,"1,675.00",,,395,,,"1,054.00",,,|,,
9,,"2,433.50",,,,820,,"2,433.50",,,"1,215.00",,,621,,,395,,,614.5,,,|,,
10,,"1,819.00",,,,"1,205.00",,"2,433.50",,,"1,205.00",,,614.5,,,395,,,385,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,334.5)   10,334.5",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 9,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,27886,,,,,,,,,,0,,,,0,,,"2,114.00",,,417.5,,,
2,,30871,,,,,,,,,,0,,,,417.5,,,"2,114.00",,,417.5,,,
3,,31380,,,,,,,,,,0,,,,835,,,"1,964.00",,,385,,,
4,,31269,,,,,,,,,,"2,114.00",,,,0,,,298,,,795,,,*
5,,29317,,,,,,,,,,"2,114.00",,,,795,,,200,,,423,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,114.00",,,,0,,"2,114.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,114.00",,,|,,
2,,0,,,,417.5,,"2,114.00",,,417.5,,,"2,114.00",,,"1,220.00",,,417.5,,,---,,
