Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3329,,,,,,,,,,0,,,,0,,,"1,876.00",,,802,,,
2,,1173,,*,,,,,*,,,"1,876.00",,,,0,,,321.5,,,800,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,802,,"2,440.00",,,802,,,"2,440.00",,,"1,220.00",,,802,,,---,,
2,,"1,876.00",,,,0,,"1,876.00",,,802,,,"2,440.00",,,802,,,"1,876.00",,,|,,
3,,"2,197.50",,,,0,,"2,197.50",,,802,,,564,,,802,,,321.5,,,|,,
4,,"1,876.00",,,,800,,"2,197.50",,,800,,,321.5,,,802,,,800,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,365.5)   4,365.5",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,
