Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 24,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36773,,,,,,,,,,0,,,,0,,,"1,408.50",,,359,,,
2,,37465,,,,,,,,,,"1,408.50",,,,0,,,416,,,359,,,
3,,36590,,,,,,,,,,"1,824.50",,,,0,,,540,,,344,,,*
4,,33553,,,,,,,,,,0,,,,359,,,"2,214.00",,,415,,,
5,,36110,,,,,,,,,,"2,214.00",,,,359,,,205,,,397,,,*
6,,34470,,,,,,,,,,0,,,,774,,,"2,214.00",,,440,,,
7,,34274,,,,,,,,,,"2,214.00",,,,774,,,205,,,433,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,359,,"2,440.00",,,359,,,"2,440.00",,,"1,220.00",,,359,,,---,,
2,,"1,408.50",,,,0,,"1,408.50",,,359,,,"2,440.00",,,359,,,"1,408.50",,,|,,
3,,"1,824.50",,,,0,,"1,824.50",,,359,,,"1,031.50",,,359,,,416,,,|,,
4,,"2,364.50",,,,0,,"2,364.50",,,359,,,615.5,,,359,,,540,,,|,,
5,,"1,824.50",,,,344,,"2,364.50",,,344,,,540,,,359,,,344,,,---,,
6,,0,,,,774,,"2,440.00",,,774,,,"2,440.00",,,861,,,415,,,---,,
7,,"2,214.00",,,,359,,"2,214.00",,,774,,,"2,440.00",,,415,,,"2,214.00",,,|,,
8,,"2,419.00",,,,359,,"2,419.00",,,774,,,226,,,415,,,205,,,|,,
