Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 4,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33037,,,,,,,,,,0,,,,0,,,807.5,,,310,,,
2,,33971,,,,,,,,,,807.5,,,,0,,,807.5,,,310,,,
3,,36215,,,,,,,,,,"1,615.00",,,,0,,,807.5,,,310,,,
4,,33136,,,,,,,,,,0,,,,310,,,807.5,,,310,,,
5,,35593,,,,,,,,,,807.5,,,,310,,,807.5,,,310,,,
6,,36784,,,,,,,,,,"1,615.00",,,,310,,,807.5,,,310,,,
7,,32790,,,,,,,,,,0,,,,620,,,"1,678.00",,,58,,,
8,,33719,,,,,,,,,,"1,678.00",,,,620,,,761,,,58,,,
9,,37372,,,,,,,,,,0,,,,678,,,"2,415.00",,,324,,,
10,,35957,,,,,,,,,,0,,,,"1,002.00",,,"1,658.00",,,88,,,
11,,36332,,,,,,,,,,"1,658.00",,,,"1,002.00",,,781,,,58,,,
12,,8866,,,,,,,,,,0,,,,"1,090.00",,,"2,396.00",,,58,,,
13,,32778,,,,,,,,,,0,,,,"1,148.00",,,"2,328.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,310,,"2,440.00",,,310,,,"2,440.00",,,"1,220.00",,,310,,,---,,
2,,807.5,,,,0,,807.5,,,310,,,"2,440.00",,,310,,,807.5,,,|,,
3,,"1,615.00",,,,0,,"1,615.00",,,310,,,"1,632.50",,,310,,,807.5,,,|,,
4,,"2,422.50",,,,0,,"2,422.50",,,310,,,825,,,310,,,807.5,,,|,,
5,,0,,,,620,,"2,440.00",,,620,,,"2,440.00",,,910,,,310,,,---,,
6,,807.5,,,,310,,807.5,,,620,,,"2,440.00",,,310,,,807.5,,,|,,
7,,"1,615.00",,,,310,,"1,615.00",,,620,,,"1,632.50",,,310,,,807.5,,,|,,
8,,"2,422.50",,,,310,,"2,422.50",,,620,,,825,,,310,,,807.5,,,|,,
9,,0,,,,678,,"2,440.00",,,678,,,"2,440.00",,,600,,,58,,,---,,
10,,"1,678.00",,,,620,,"1,678.00",,,678,,,"2,440.00",,,58,,,"1,678.00",,,|,,
11,"2,439.00",620,"2,439.00",678,762,58,761,|,,,,,,,,,,,,,,,,,
12,0,"1,002.00","2,440.00","1,002.00","2,440.00",542,324,---,,,,,,,,,,,,,,,,,
13,"2,415.00",678,"2,415.00","1,002.00","2,440.00",324,"2,415.00",|,,,,,,,,,,,,,,,,,
14,0,"1,090.00","2,440.00","1,090.00","2,440.00",218,88,---,,,,,,,,,,,,,,,,,
15,"1,658.00","1,002.00","1,658.00","1,090.00","2,440.00",88,"1,658.00",|,,,,,,,,,,,,,,,,,
16,"2,439.00","1,002.00","2,439.00","1,090.00",782,88,781,|,,,,,,,,,,,,,,,,,
17,"1,658.00","1,060.00","2,439.00","1,060.00",781,88,58,---,,,,,,,,,,,,,,,,,
18,0,"1,148.00","2,440.00","1,148.00","2,440.00",130,58,---,,,,,,,,,,,,,,,,,
19,"2,396.00","1,090.00","2,396.00","1,148.00","2,440.00",58,"2,396.00",|,,,,,,,,,,,,,,,,,
20,0,"1,206.00","2,440.00","1,206.00","2,440.00",72,58,---,,,,,,,,,,,,,,,,,
21,"2,328.00","1,148.00","2,328.00","1,206.00","2,440.00",58,"2,328.00",|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 20,453.0)   20,453.0",,,,,,Count of cuts   (1 x 21)   21,,,,,,,,,,,,,,,,,,,
