Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 7,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6702,,,,,,,,,,0,,,,0,,,"1,696.00",,,579,,,
2,,7243,,,,,,,,,,"1,696.00",,,,0,,,742,,,577,,,
3,,6863,,,,,,,,,,0,,,,579,,,"1,792.00",,,58,,,
4,,5223,,,,,,,,,,"1,792.00",,,,579,,,600,,,58,,,
5,,3806,,,,,,,,,,0,,,,637,,,"1,696.00",,,579,,,
6,,6773,,,,,,,,,,"1,696.00",,,,637,,,742,,,575,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,579,,"2,440.00",,,579,,,"2,440.00",,,"1,220.00",,,579,,,---,,
2,,"1,696.00",,,,0,,"1,696.00",,,579,,,"2,440.00",,,579,,,"1,696.00",,,|,,
3,,"2,438.00",,,,0,,"2,438.00",,,579,,,744,,,579,,,742,,,|,,
4,,"1,696.00",,,,577,,"2,438.00",,,577,,,742,,,579,,,577,,,---,,
5,,0,,,,637,,"2,440.00",,,637,,,"2,440.00",,,641,,,58,,,---,,
6,,"1,792.00",,,,579,,"1,792.00",,,637,,,"2,440.00",,,58,,,"1,792.00",,,|,,
7,,"2,392.00",,,,579,,"2,392.00",,,637,,,648,,,58,,,600,,,|,,
8,,0,,,,"1,216.00",,"2,440.00",,,"1,216.00",,,"2,440.00",,,583,,,579,,,---,,
9,,"1,696.00",,,,637,,"1,696.00",,,"1,216.00",,,"2,440.00",,,579,,,"1,696.00",,,|,,
10,,"2,438.00",,,,637,,"2,438.00",,,"1,216.00",,,744,,,579,,,742,,,|,,
11,,"1,696.00",,,,"1,212.00",,"2,438.00",,,"1,212.00",,,742,,,579,,,575,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,236.0)   11,236.0",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 7,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6743,,,,,,,,,,0,,,,0,,,"2,355.50",,,320.5,,,
2,,6953,,,,,,,,,,0,,,,320.5,,,"2,433.00",,,597.5,,,
3,,6526,,,,,,,,,,0,,,,918,,,"1,300.00",,,298,,,
4,,5426,,,,,,,,,,"1,300.00",,,,918,,,412,,,278,,,
5,,7363,,,,,,,,,,"1,712.00",,,,918,,,713.5,,,278,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,320.5,,"2,440.00",,,320.5,,,"2,440.00",,,"1,220.00",,,320.5,,,---,,
2,,"2,355.50",,,,0,,"2,355.50",,,320.5,,,"2,440.00",,,320.5,,,"2,355.50",,,|,,
3,,0,,,,918,,"2,440.00",,,918,,,"2,440.00",,,899.5,,,597.5,,,---,,
4,,"2,433.00",,,,320.5,,"2,433.00",,,918,,,"2,440.00",,,597.5,,,"2,433.00",,,|,,
5,,0,,,,"1,216.00",,"2,440.00",,,"1,216.00",,,"2,440.00",,,302,,,298,,,---,,
6,,"1,300.00",,,,918,,"1,300.00",,,"1,216.00",,,"2,440.00",,,298,,,"1,300.00",,,|,,
7,,"1,712.00",,,,918,,"1,712.00",,,"1,216.00",,,"1,140.00",,,298,,,412,,,|,,
8,,"1,300.00",,,,"1,196.00",,"1,712.00",,,"1,196.00",,,412,,,298,,,278,,,---,,
9,,"2,425.50",,,,918,,"2,425.50",,,"1,216.00",,,728,,,298,,,713.5,,,|,,
10,,"1,712.00",,,,"1,196.00",,"2,425.50",,,"1,196.00",,,713.5,,,298,,,278,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,257.5)   10,257.5",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 7,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3884,,,,,,,,,,0,,,,0,,,560,,,837,,,*
2,,3870,,,,,,,,,,560,,,,0,,,560,,,837,,,*
3,,6736,,,,,,,,,,"1,120.00",,,,0,,,579,,,828,,,*
4,,4832,,,,,,,,,,"1,699.00",,,,0,,,278,,,828,,,*
5,,4390,,,,,,,,,,"1,977.00",,,,0,,,449,,,828,,,
6,,5416,,,,,,,,,,0,,,,837,,,"2,355.50",,,375.2,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,837,,"2,440.00",,,837,,,"2,440.00",,,"1,220.00",,,837,,,---,,
2,,560,,,,0,,560,,,837,,,"2,440.00",,,837,,,560,,,|,,
3,,"1,120.00",,,,0,,"1,120.00",,,837,,,"1,880.00",,,837,,,560,,,|,,
4,,"1,699.00",,,,0,,"1,699.00",,,837,,,"1,320.00",,,837,,,579,,,|,,
5,,"1,120.00",,,,828,,"1,699.00",,,828,,,579,,,837,,,828,,,---,,
6,,"1,977.00",,,,0,,"1,977.00",,,837,,,741,,,837,,,278,,,|,,
7,,"1,699.00",,,,828,,"1,977.00",,,828,,,278,,,837,,,828,,,---,,
8,,"2,426.00",,,,0,,"2,426.00",,,837,,,463,,,837,,,449,,,|,,
9,,"1,977.00",,,,828,,"2,426.00",,,828,,,449,,,837,,,828,,,---,,
10,,0,,,,"1,212.20",,"2,440.00",,,"1,212.20",,,"2,440.00",,,383,,,375.2,,,---,,
11,,"2,355.50",,,,837,,"2,355.50",,,"1,212.20",,,"2,440.00",,,375.2,,,"2,355.50",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,746.2)   10,746.2",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 7,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6535,,,,,,,,,,0,,,,0,,,"2,398.00",,,328,,,
2,,4038,,,,,,,,,,0,,,,328,,,327,,,307,,,*
3,,5141,,,,,,,,,,327,,,,328,,,"1,300.00",,,298,,,
4,,4290,,,,,,,,,,"1,627.00",,,,328,,,394,,,278,,,
5,,6112,,,,,,,,,,"2,021.00",,,,328,,,394,,,278,,,
6,,4022,,,,,,,,,,0,,,,635,,,"2,398.00",,,578,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,328,,"2,440.00",,,328,,,"2,440.00",,,"1,220.00",,,328,,,---,,
2,,"2,398.00",,,,0,,"2,398.00",,,328,,,"2,440.00",,,328,,,"2,398.00",,,|,,
3,,0,,,,635,,"2,440.00",,,635,,,"2,440.00",,,892,,,307,,,---,,
4,,327,,,,328,,327,,,635,,,"2,440.00",,,307,,,327,,,|,,
5,,"1,627.00",,,,328,,"1,627.00",,,635,,,"2,113.00",,,307,,,"1,300.00",,,|,,
6,,327,,,,626,,"1,627.00",,,626,,,"1,300.00",,,307,,,298,,,---,,
7,,"2,021.00",,,,328,,"2,021.00",,,635,,,813,,,307,,,394,,,|,,
8,,"1,627.00",,,,606,,"2,021.00",,,606,,,394,,,307,,,278,,,---,,
9,,"2,415.00",,,,328,,"2,415.00",,,635,,,419,,,307,,,394,,,|,,
10,,"2,021.00",,,,606,,"2,415.00",,,606,,,394,,,307,,,278,,,---,,
11,,0,,,,"1,213.00",,"2,440.00",,,"1,213.00",,,"2,440.00",,,585,,,578,,,---,,
12,,"2,398.00",,,,635,,"2,398.00",,,"1,213.00",,,"2,440.00",,,578,,,"2,398.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,542.0)   11,542.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 7,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7083,,,,,,,,,,0,,,,0,,,579,,,838,,,*
2,,6262,,,,,,,,,,579,,,,0,,,579,,,838,,,*
3,,7367,,,,,,,,,,"1,158.00",,,,0,,,579,,,828,,,*
4,,5221,,,,,,,,,,"1,737.00",,,,0,,,538,,,826,,,*
5,,6451,,,,,,,,,,"2,275.00",,,,0,,,58,,,580,,,*
6,,5189,,,,,,,,,,0,,,,838,,,"2,355.50",,,375.2,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
