Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32939,,,,,,,,,,0,,,,0,,,"2,413.00",,,578,,,
2,,32692,,,,,,,,,,0,,,,578,,,853,,,330,,,
3,,35853,,,,,,,,,,853,,,,578,,,788,,,329,,,
4,,36417,,,,,,,,,,"1,641.00",,,,578,,,788,,,329,,,
5,,33343,,,,,,,,,,0,,,,908,,,"1,200.00",,,307,,,
6,,34236,,,,,,,,,,"1,200.00",,,,908,,,"1,200.00",,,307,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,578,,"2,440.00",,,578,,,"2,440.00",,,"1,220.00",,,578,,,---,,
2,,"2,413.00",,,,0,,"2,413.00",,,578,,,"2,440.00",,,578,,,"2,413.00",,,|,,
3,,0,,,,908,,"2,440.00",,,908,,,"2,440.00",,,642,,,330,,,---,,
4,,853,,,,578,,853,,,908,,,"2,440.00",,,330,,,853,,,|,,
5,,"1,641.00",,,,578,,"1,641.00",,,908,,,"1,587.00",,,330,,,788,,,|,,
6,,853,,,,907,,"1,641.00",,,907,,,788,,,330,,,329,,,---,,
7,,"2,429.00",,,,578,,"2,429.00",,,908,,,799,,,330,,,788,,,|,,
8,,"1,641.00",,,,907,,"2,429.00",,,907,,,788,,,330,,,329,,,---,,
9,,0,,,,"1,215.00",,"2,440.00",,,"1,215.00",,,"2,440.00",,,312,,,307,,,---,,
10,,"1,200.00",,,,908,,"1,200.00",,,"1,215.00",,,"2,440.00",,,307,,,"1,200.00",,,|,,
11,,"2,400.00",,,,908,,"2,400.00",,,"1,215.00",,,"1,240.00",,,307,,,"1,200.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,078.0)   11,078.0",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,34604,,,,,,,,,,0,,,,0,,,"2,398.00",,,688,,,
2,,32807,,,,,,,,,,0,,,,688,,,"2,408.00",,,410,,,
3,,33976,,,,,,,,,,0,,,,"1,098.00",,,"2,433.00",,,120,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,688,,"2,440.00",,,688,,,"2,440.00",,,"1,220.00",,,688,,,---,,
2,,"2,398.00",,,,0,,"2,398.00",,,688,,,"2,440.00",,,688,,,"2,398.00",,,|,,
3,,0,,,,"1,098.00",,"2,440.00",,,"1,098.00",,,"2,440.00",,,532,,,410,,,---,,
4,,"2,408.00",,,,688,,"2,408.00",,,"1,098.00",,,"2,440.00",,,410,,,"2,408.00",,,|,,
5,,0,,,,"1,218.00",,"2,440.00",,,"1,218.00",,,"2,440.00",,,122,,,120,,,---,,
6,,"2,433.00",,,,"1,098.00",,"2,433.00",,,"1,218.00",,,"2,440.00",,,120,,,"2,433.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,538.0)   8,538.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36381,,,,,,,,,,0,,,,0,,,"1,644.50",,,557,,,
2,,36918,,,,,,,,,,"1,644.50",,,,0,,,403,,,546,,,
3,,34124,,,,,,,,,,"2,047.50",,,,0,,,359,,,512,,,*
4,,33125,,,,,,,,,,0,,,,557,,,853,,,330,,,
5,,34313,,,,,,,,,,853,,,,557,,,788,,,329,,,
6,,33628,,,,,,,,,,"1,641.00",,,,557,,,788,,,329,,,
7,,35912,,,,,,,,,,0,,,,887,,,853,,,330,,,
8,,36935,,,,,,,,,,853,,,,887,,,788,,,329,,,
9,,37189,,,,,,,,,,"1,641.00",,,,887,,,762,,,329,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,557,,"2,440.00",,,557,,,"2,440.00",,,"1,220.00",,,557,,,---,,
2,,"1,644.50",,,,0,,"1,644.50",,,557,,,"2,440.00",,,557,,,"1,644.50",,,|,,
3,,"2,047.50",,,,0,,"2,047.50",,,557,,,795.5,,,557,,,403,,,|,,
4,,"1,644.50",,,,546,,"2,047.50",,,546,,,403,,,557,,,546,,,---,,
5,,"2,406.50",,,,0,,"2,406.50",,,557,,,392.5,,,557,,,359,,,|,,
6,,"2,047.50",,,,512,,"2,406.50",,,512,,,359,,,557,,,512,,,---,,
7,,0,,,,887,,"2,440.00",,,887,,,"2,440.00",,,663,,,330,,,---,,
8,,853,,,,557,,853,,,887,,,"2,440.00",,,330,,,853,,,|,,
9,,"1,641.00",,,,557,,"1,641.00",,,887,,,"1,587.00",,,330,,,788,,,|,,
10,,853,,,,886,,"1,641.00",,,886,,,788,,,330,,,329,,,---,,
11,,"2,429.00",,,,557,,"2,429.00",,,887,,,799,,,330,,,788,,,|,,
12,,"1,641.00",,,,886,,"2,429.00",,,886,,,788,,,330,,,329,,,---,,
13,,853,,,,887,,853,,,"1,220.00",,,"2,440.00",,,333,,,853,,,|,,
14,,0,,,,"1,217.00",,853,,,"1,217.00",,,853,,,333,,,330,,,---,,
15,"1,641.00",887,"1,641.00","1,220.00","1,587.00",333,788,|,,,,,,,,,,,,,,,,,
16,853,"1,216.00","1,641.00","1,216.00",788,333,329,---,,,,,,,,,,,,,,,,,
17,"2,403.00",887,"2,403.00","1,220.00",799,333,762,|,,,,,,,,,,,,,,,,,
18,"1,641.00","1,216.00","2,403.00","1,216.00",762,333,329,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,281.0)   13,281.0",,,,,,Count of cuts   (1 x 18)   18,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 25,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,37328,,,,,,,,,,0,,,,0,,,"1,198.00",,,348,,,
2,,33513,,,,,,,,,,"1,198.00",,,,0,,,931,,,348,,,
3,,32982,,,,,,,,,,"2,129.00",,,,0,,,310,,,348,,,
4,,36856,,,,,,,,,,0,,,,348,,,"2,398.00",,,688,,,
5,,34583,,,,,,,,,,0,,,,"1,036.00",,,"1,287.00",,,58,,,
6,,37431,,,,,,,,,,"1,287.00",,,,"1,036.00",,,"1,053.00",,,58,,,
7,,36608,,,,,,,,,,0,,,,"1,094.00",,,"1,644.00",,,58,,,
8,,36217,,,,,,,,,,"1,644.00",,,,"1,094.00",,,557,,,58,,,
9,,36755,,,,,,,,,,0,,,,"1,152.00",,,577,,,58,,,
10,,33627,,,,,,,,,,577,,,,"1,152.00",,,"1,664.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,348,,"2,440.00",,,348,,,"2,440.00",,,"1,220.00",,,348,,,---,,
2,,"1,198.00",,,,0,,"1,198.00",,,348,,,"2,440.00",,,348,,,"1,198.00",,,|,,
3,,"2,129.00",,,,0,,"2,129.00",,,348,,,"1,242.00",,,348,,,931,,,|,,
4,,"2,439.00",,,,0,,"2,439.00",,,348,,,311,,,348,,,310,,,|,,
5,,0,,,,"1,036.00",,"2,440.00",,,"1,036.00",,,"2,440.00",,,872,,,688,,,---,,
6,,"2,398.00",,,,348,,"2,398.00",,,"1,036.00",,,"2,440.00",,,688,,,"2,398.00",,,|,,
7,,0,,,,"1,094.00",,"2,440.00",,,"1,094.00",,,"2,440.00",,,184,,,58,,,---,,
8,,"1,287.00",,,,"1,036.00",,"1,287.00",,,"1,094.00",,,"2,440.00",,,58,,,"1,287.00",,,|,,
9,,"2,340.00",,,,"1,036.00",,"2,340.00",,,"1,094.00",,,"1,153.00",,,58,,,"1,053.00",,,|,,
10,,0,,,,"1,152.00",,"2,440.00",,,"1,152.00",,,"2,440.00",,,126,,,58,,,---,,
11,,"1,644.00",,,,"1,094.00",,"1,644.00",,,"1,152.00",,,"2,440.00",,,58,,,"1,644.00",,,|,,
12,,"2,201.00",,,,"1,094.00",,"2,201.00",,,"1,152.00",,,796,,,58,,,557,,,|,,
13,,0,,,,"1,210.00",,"2,440.00",,,"1,210.00",,,"2,440.00",,,68,,,58,,,---,,
14,,577,,,,"1,152.00",,577,,,"1,210.00",,,"2,440.00",,,58,,,577,,,|,,
15,,"2,241.00",,,,"1,152.00",,"2,241.00",,,"1,210.00",,,"1,863.00",,,58,,,"1,664.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
