Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5545,,,,,,,,,,0,,,,0,,,"1,602.00",,,58,,,
2,,4724,,,,,,,,,,"1,602.00",,,,0,,,808,,,58,,,
3,,5817,,,,,,,,,,0,,,,58,,,"2,388.00",,,558,,,
4,,4155,,,,,,,,,,"2,388.00",,,,58,,,48,,,445,,,*
5,,7252,,,,,,,,,,0,,,,616,,,"2,388.00",,,558,,,
6,,5142,,,,,,,,,,"2,388.00",,,,616,,,48,,,445,,,*
7,,4125,,,,,,,,,,0,,,,"1,174.00",,,774,,,38,,,
8,,6445,,,,,,,,,,774,,,,"1,174.00",,,"1,659.00",,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,58,,"2,440.00",,,58,,,"2,440.00",,,"1,220.00",,,58,,,---,,
2,,"1,602.00",,,,0,,"1,602.00",,,58,,,"2,440.00",,,58,,,"1,602.00",,,|,,
3,,"2,410.00",,,,0,,"2,410.00",,,58,,,838,,,58,,,808,,,|,,
4,,0,,,,616,,"2,440.00",,,616,,,"2,440.00",,,"1,162.00",,,558,,,---,,
5,,"2,388.00",,,,58,,"2,388.00",,,616,,,"2,440.00",,,558,,,"2,388.00",,,|,,
6,,"2,436.00",,,,58,,"2,436.00",,,616,,,52,,,558,,,48,,,|,,
7,,"2,388.00",,,,503,,"2,436.00",,,503,,,48,,,558,,,445,,,---,,
8,,0,,,,"1,174.00",,"2,440.00",,,"1,174.00",,,"2,440.00",,,604,,,558,,,---,,
9,,"2,388.00",,,,616,,"2,388.00",,,"1,174.00",,,"2,440.00",,,558,,,"2,388.00",,,|,,
10,,"2,436.00",,,,616,,"2,436.00",,,"1,174.00",,,52,,,558,,,48,,,|,,
11,,"2,388.00",,,,"1,061.00",,"2,436.00",,,"1,061.00",,,48,,,558,,,445,,,---,,
12,,0,,,,"1,212.00",,"2,440.00",,,"1,212.00",,,"2,440.00",,,46,,,38,,,---,,
13,,774,,,,"1,174.00",,774,,,"1,212.00",,,"2,440.00",,,38,,,774,,,|,,
14,,"2,433.00",,,,"1,174.00",,"2,433.00",,,"1,212.00",,,"1,666.00",,,38,,,"1,659.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,280.0)   12,280.0",,Count of cuts   (1 x 14)   14,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7636,,,,,,,,,,0,,,,0,,,"2,178.00",,,578,,,
2,,3701,,,,,,,,,,0,,,,578,,,"2,178.00",,,578,,,
3,,4547,,,,,,,,,,0,,,,"1,156.00",,,741,,,58,,,
4,,7580,,,,,,,,,,741,,,,"1,156.00",,,660,,,58,,,
5,,6426,,,,,,,,,,"1,401.00",,,,"1,156.00",,,761,,,58,,,
6,,6500,,,,,,,,,,"2,178.00",,,,0,,,58,,,974,,,*
7,,5779,,,,,,,,,,"2,236.00",,,,0,,,195,,,461,,,*
8,,7618,,,,,,,,,,"2,236.00",,,,461,,,195,,,425,,,*
9,,5894,,,,,,,,,,"2,236.00",,,,886,,,192,,,333,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,178.00",,,,0,,"2,178.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,178.00",,,|,,
2,,0,,,,578,,"2,178.00",,,578,,,"2,178.00",,,"1,220.00",,,578,,,---,,
3,,0,,,,"1,156.00",,"2,178.00",,,"1,156.00",,,"2,178.00",,,642,,,578,,,---,,
4,,0,,,,"1,214.00",,"2,178.00",,,"1,214.00",,,"2,178.00",,,64,,,58,,,---,,
5,,741,,,,"1,156.00",,741,,,"1,214.00",,,"2,178.00",,,58,,,741,,,|,,
6,,"1,401.00",,,,"1,156.00",,"1,401.00",,,"1,214.00",,,"1,437.00",,,58,,,660,,,|,,
7,,"2,162.00",,,,"1,156.00",,"2,162.00",,,"1,214.00",,,777,,,58,,,761,,,|,,
8,,"2,236.00",,,,0,,"2,236.00",,,"1,220.00",,,262,,,"1,220.00",,,58,,,|,,
9,,"2,178.00",,,,974,,"2,236.00",,,974,,,58,,,"1,220.00",,,974,,,---,,
10,,"2,431.00",,,,0,,"2,431.00",,,"1,220.00",,,204,,,"1,220.00",,,195,,,|,,
11,,"2,236.00",,,,461,,"2,431.00",,,461,,,195,,,"1,220.00",,,461,,,---,,
12,,"2,236.00",,,,886,,"2,431.00",,,886,,,195,,,759,,,425,,,---,,
13,,"2,236.00",,,,"1,219.00",,"2,431.00",,,"1,219.00",,,195,,,334,,,333,,,---,,
14,,"2,428.00",,,,886,,"2,428.00",,,"1,219.00",,,195,,,333,,,192,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,344.0)   11,344.0",,Count of cuts   (1 x 14)   14,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 50,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3637,,,,,,,,,,0,,,,0,,,"2,388.00",,,558,,,
2,,5133,,,,,,,,,,"2,388.00",,,,0,,,49,,,304.5,,,*
3,,6901,,,,,,,,,,0,,,,558,,,"1,502.00",,,555,,,
4,,6768,,,,,,,,,,"1,502.00",,,,558,,,885,,,554,,,
5,,5295,,,,,,,,,,"2,387.00",,,,558,,,48,,,445,,,*
6,,6666,,,,,,,,,,0,,,,"1,113.00",,,612,,,58,,,
7,,3923,,,,,,,,,,612,,,,"1,113.00",,,788,,,58,,,
8,,5863,,,,,,,,,,"1,400.00",,,,"1,113.00",,,974,,,58,,,
9,,5004,,,,,,,,,,0,,,,"1,171.00",,,445,,,48,,,
10,,6542,,,,,,,,,,445,,,,"1,171.00",,,"1,962.00",,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,558,,"2,440.00",,,558,,,"2,440.00",,,"1,220.00",,,558,,,---,,
2,,"2,388.00",,,,0,,"2,388.00",,,558,,,"2,440.00",,,558,,,"2,388.00",,,|,,
3,,"2,437.00",,,,0,,"2,437.00",,,558,,,52,,,558,,,49,,,|,,
4,,"2,388.00",,,,304.5,,"2,437.00",,,304.5,,,49,,,558,,,304.5,,,---,,
