Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 17,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,34487,,,,,,,,,,0,,,,0,,,"2,438.00",,,576,,,
2,,34957,,,,,,,,,,0,,,,576,,,"2,438.00",,,576,,,
3,,36927,,,,,,,,,,0,,,,"1,152.00",,,"2,438.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,438.00",,,,0,,"2,438.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,438.00",,,|,,
2,,0,,,,576,,"2,438.00",,,576,,,"2,438.00",,,"1,220.00",,,576,,,---,,
3,,0,,,,"1,152.00",,"2,438.00",,,"1,152.00",,,"2,438.00",,,644,,,576,,,---,,
4,,0,,,,"1,210.00",,"2,438.00",,,"1,210.00",,,"2,438.00",,,68,,,58,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,534.0)   8,534.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 17,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33763,,,,,,,,,,0,,,,0,,,847,,,557,,,
2,,35658,,,,,,,,,,847,,,,0,,,847,,,557,,,
3,,32652,,,,,,,,,,"1,694.00",,,,0,,,746,,,557,,,
4,,33000,,,,,,,,,,0,,,,557,,,875,,,579,,,
5,,36456,,,,,,,,,,875,,,,557,,,772,,,557,,,
6,,36572,,,,,,,,,,"1,647.00",,,,557,,,791,,,557,,,
