Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1994,,*,,,,,*,,,0.0,,,,0.0,,,362.0,,,579.5,,,*,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,362.0,,,,0.0,,362.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,362.0,,,|,,
2,,0.0,,,,579.5,,362.0,,,579.5,,,362.0,,,"1,220.0",,,579.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,582.0)   1,582.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
