Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 28,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,12015,,,,,,,,,,0,,,,0,,,"2,068.00",,,560,,,
2,,8929,,,,,,,,,,"2,068.00",,,,0,,,367,,,555,,,
3,,12442,,,,,,,,,,0,,,,560,,,"1,971.00",,,559,,,
4,,12393,,,,,,,,,,"1,971.00",,,,560,,,468.5,,,558,,,
5,,10256,,,,,,,,,,0,,,,"1,119.00",,,862,,,58,,,
6,,11291,,,,,,,,,,862,,,,"1,119.00",,,"1,518.00",,,58,,,
7,,7797,,,,,,,,,,0,,,,"1,177.00",,,"2,248.00",,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,560,,"2,440.00",,,560,,,"2,440.00",,,"1,220.00",,,560,,,---,,
2,,"2,068.00",,,,0,,"2,068.00",,,560,,,"2,440.00",,,560,,,"2,068.00",,,|,,
3,,"2,435.00",,,,0,,"2,435.00",,,560,,,372,,,560,,,367,,,|,,
4,,"2,068.00",,,,555,,"2,435.00",,,555,,,367,,,560,,,555,,,---,,
5,,0,,,,"1,119.00",,"2,440.00",,,"1,119.00",,,"2,440.00",,,660,,,559,,,---,,
6,,"1,971.00",,,,560,,"1,971.00",,,"1,119.00",,,"2,440.00",,,559,,,"1,971.00",,,|,,
7,,"2,439.50",,,,560,,"2,439.50",,,"1,119.00",,,469,,,559,,,468.5,,,|,,
8,,"1,971.00",,,,"1,118.00",,"2,439.50",,,"1,118.00",,,468.5,,,559,,,558,,,---,,
9,,0,,,,"1,177.00",,"2,440.00",,,"1,177.00",,,"2,440.00",,,101,,,58,,,---,,
10,,862,,,,"1,119.00",,862,,,"1,177.00",,,"2,440.00",,,58,,,862,,,|,,
11,,"2,380.00",,,,"1,119.00",,"2,380.00",,,"1,177.00",,,"1,578.00",,,58,,,"1,518.00",,,|,,
12,,0,,,,"1,215.00",,"2,440.00",,,"1,215.00",,,"2,440.00",,,43,,,38,,,---,,
13,,"2,248.00",,,,"1,177.00",,"2,248.00",,,"1,215.00",,,"2,440.00",,,38,,,"2,248.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,987.5)   12,987.5",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 28,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,10737,,,,,,,,,,0,,,,0,,,"1,971.00",,,559,,,
2,,10658,,,,,,,,,,"1,971.00",,,,0,,,468.5,,,558,,,
3,,11489,,,,,,,,,,0,,,,559,,,"2,068.00",,,558,,,
4,,8337,,,,,,,,,,"2,068.00",,,,559,,,367,,,557,,,
5,,12516,,,,,,,,,,0,,,,"1,117.00",,,763,,,58,,,
6,,9061,,,,,,,,,,763,,,,"1,117.00",,,862,,,58,,,
7,,12224,,,,,,,,,,"1,625.00",,,,"1,117.00",,,763,,,58,,,
8,,11142,,,,,,,,,,0,,,,"1,175.00",,,"1,728.00",,,38,,,
9,,10457,,,,,,,,,,"1,728.00",,,,"1,175.00",,,580,,,38,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,559,,"2,440.00",,,559,,,"2,440.00",,,"1,220.00",,,559,,,---,,
2,,"1,971.00",,,,0,,"1,971.00",,,559,,,"2,440.00",,,559,,,"1,971.00",,,|,,
3,,"2,439.50",,,,0,,"2,439.50",,,559,,,469,,,559,,,468.5,,,|,,
4,,"1,971.00",,,,558,,"2,439.50",,,558,,,468.5,,,559,,,558,,,---,,
5,,0,,,,"1,117.00",,"2,440.00",,,"1,117.00",,,"2,440.00",,,661,,,558,,,---,,
6,,"2,068.00",,,,559,,"2,068.00",,,"1,117.00",,,"2,440.00",,,558,,,"2,068.00",,,|,,
7,,"2,435.00",,,,559,,"2,435.00",,,"1,117.00",,,372,,,558,,,367,,,|,,
8,,"2,068.00",,,,"1,116.00",,"2,435.00",,,"1,116.00",,,367,,,558,,,557,,,---,,
9,,0,,,,"1,175.00",,"2,440.00",,,"1,175.00",,,"2,440.00",,,103,,,58,,,---,,
10,,763,,,,"1,117.00",,763,,,"1,175.00",,,"2,440.00",,,58,,,763,,,|,,
11,,"1,625.00",,,,"1,117.00",,"1,625.00",,,"1,175.00",,,"1,677.00",,,58,,,862,,,|,,
12,,"2,388.00",,,,"1,117.00",,"2,388.00",,,"1,175.00",,,815,,,58,,,763,,,|,,
13,,0,,,,"1,213.00",,"2,440.00",,,"1,213.00",,,"2,440.00",,,45,,,38,,,---,,
14,,"1,728.00",,,,"1,175.00",,"1,728.00",,,"1,213.00",,,"2,440.00",,,38,,,"1,728.00",,,|,,
15,"2,308.00","1,175.00","2,308.00","1,213.00",712,38,580,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,079.5)   13,079.5",,,,,,Count of cuts   (1 x 15)   15,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 28,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8385,,,,,,,,,,0,,,,0,,,58,,,848,,,*
2,,8580,,,,,,,,,,0,,,,848,,,58,,,367,,,*
3,,9008,,,,,,,,,,58,,,,0,,,"2,087.00",,,557,,,
4,,11707,,,,,,,,,,58,,,,557,,,"2,087.00",,,559,,,
5,,9434,,,,,,,,,,58,,,,"1,116.00",,,"1,518.00",,,58,,,
6,,8210,,,,,,,,,,"1,576.00",,,,"1,116.00",,,480,,,58,,,
7,,12198,,,,,,,,,,58,,,,"1,174.00",,,"1,798.00",,,38,,,
8,,10434,,,,,,,,,,"1,856.00",,,,"1,174.00",,,277,,,38,,,
9,,8085,,,,,,,,,,"2,145.00",,,,0,,,288,,,980,,,*
10,,12039,,,,,,,,,,"2,145.00",,,,980,,,263.9,,,230,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,58,,,,0,,58,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,58,,,|,,
2,,0,,,,848,,58,,,848,,,58,,,"1,220.00",,,848,,,---,,
3,,0,,,,"1,215.00",,58,,,"1,215.00",,,58,,,372,,,367,,,---,,
4,,"2,145.00",,,,0,,"2,145.00",,,"1,220.00",,,"2,382.00",,,"1,220.00",,,"2,087.00",,,|,,
5,,58,,,,557,,"2,145.00",,,557,,,"2,087.00",,,"1,220.00",,,557,,,---,,
6,,58,,,,"1,116.00",,"2,145.00",,,"1,116.00",,,"2,087.00",,,663,,,559,,,---,,
7,,58,,,,"1,174.00",,"2,145.00",,,"1,174.00",,,"2,087.00",,,104,,,58,,,---,,
8,,"1,576.00",,,,"1,116.00",,"1,576.00",,,"1,174.00",,,"2,087.00",,,58,,,"1,518.00",,,|,,
9,,"2,056.00",,,,"1,116.00",,"2,056.00",,,"1,174.00",,,569,,,58,,,480,,,|,,
10,,58,,,,"1,212.00",,"2,145.00",,,"1,212.00",,,"2,087.00",,,46,,,38,,,---,,
11,,"1,856.00",,,,"1,174.00",,"1,856.00",,,"1,212.00",,,"2,087.00",,,38,,,"1,798.00",,,|,,
12,,"2,133.00",,,,"1,174.00",,"2,133.00",,,"1,212.00",,,289,,,38,,,277,,,|,,
13,,"2,433.00",,,,0,,"2,433.00",,,"1,220.00",,,295,,,"1,220.00",,,288,,,|,,
14,"2,145.00",980,"2,433.00",980,288,"1,220.00",980,---,,,,,,,,,,,,,,,,,
