Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 16,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33319,,,,,,,,,,0,,,,0,,,"2,316.00",,,977,,,
2,,34672,,,,,,,,,,"2,316.00",,,,0,,,98,,,862,,,
3,,35174,,,,,,,,,,0,,,,977,,,780,,,239,,,
4,,33926,,,,,,,,,,780,,,,977,,,238,,,238,,,
5,,33991,,,,,,,,,,"1,018.00",,,,977,,,238,,,238,,,
6,,34630,,,,,,,,,,"1,256.00",,,,977,,,238,,,238,,,
7,,34719,,,,,,,,,,"1,494.00",,,,977,,,238,,,238,,,
8,,34114,,,,,,,,,,"1,732.00",,,,977,,,338,,,118,,,
9,,36147,,,,,,,,,,"1,732.00",,,,"1,095.00",,,338,,,118,,,
10,,34297,,,,,,,,,,"2,070.00",,,,977,,,338,,,118,,,
11,,33498,,,,,,,,,,"2,070.00",,,,"1,095.00",,,338,,,118,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,977,,"2,440.00",,,977,,,"2,440.00",,,"1,220.00",,,977,,,---,,
2,,"2,316.00",,,,0,,"2,316.00",,,977,,,"2,440.00",,,977,,,"2,316.00",,,|,,
3,,"2,414.00",,,,0,,"2,414.00",,,977,,,124,,,977,,,98,,,|,,
4,,"2,316.00",,,,862,,"2,414.00",,,862,,,98,,,977,,,862,,,---,,
5,,780,,,,977,,780,,,"1,220.00",,,"2,440.00",,,243,,,780,,,|,,
6,,0,,,,"1,216.00",,780,,,"1,216.00",,,780,,,243,,,239,,,---,,
7,,"1,018.00",,,,977,,"1,018.00",,,"1,220.00",,,"1,660.00",,,243,,,238,,,|,,
