Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31846,,,,,,,,,,0,,,,0,,,557,,,790,,,*
2,,29520,,,,,,,,,,0,,,,790,,,538,,,375,,,*
3,,29867,,,,,,,,,,557,,,,0,,,557,,,790,,,*
4,,31130,,,,,,,,,,557,,,,790,,,557,,,376,,,*
5,,27432,,,,,,,,,,"1,114.00",,,,0,,,557,,,790,,,*
6,,31592,,,,,,,,,,"1,114.00",,,,790,,,557,,,376,,,*
7,,27899,,,,,,,,,,"1,671.00",,,,0,,,557,,,790,,,*
8,,28284,,,,,,,,,,"1,671.00",,,,790,,,557,,,376,,,*
9,,29524,,,,,,,,,,"2,228.00",,,,0,,,58,,,"1,078.00",,,*
10,,28509,,,,,,,,,,"2,286.00",,,,0,,,58,,,973,,,*
11,,32190,,,,,,,,,,"2,344.00",,,,0,,,88,,,"1,058.00",,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,557,,,,0,,557,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,557,,,|,,
2,,0,,,,790,,557,,,790,,,557,,,"1,220.00",,,790,,,---,,
3,,0,,,,"1,165.00",,557,,,"1,165.00",,,557,,,430,,,375,,,---,,
4,,538,,,,790,,538,,,"1,165.00",,,557,,,375,,,538,,,|,,
5,,"1,114.00",,,,0,,"1,114.00",,,"1,220.00",,,"1,883.00",,,"1,220.00",,,557,,,|,,
6,,557,,,,790,,"1,114.00",,,790,,,557,,,"1,220.00",,,790,,,---,,
7,,557,,,,"1,166.00",,"1,114.00",,,"1,166.00",,,557,,,430,,,376,,,---,,
8,,"1,671.00",,,,0,,"1,671.00",,,"1,220.00",,,"1,326.00",,,"1,220.00",,,557,,,|,,
9,,"1,114.00",,,,790,,"1,671.00",,,790,,,557,,,"1,220.00",,,790,,,---,,
10,,"1,114.00",,,,"1,166.00",,"1,671.00",,,"1,166.00",,,557,,,430,,,376,,,---,,
11,,"2,228.00",,,,0,,"2,228.00",,,"1,220.00",,,769,,,"1,220.00",,,557,,,|,,
12,,"1,671.00",,,,790,,"2,228.00",,,790,,,557,,,"1,220.00",,,790,,,---,,
13,,"1,671.00",,,,"1,166.00",,"2,228.00",,,"1,166.00",,,557,,,430,,,376,,,---,,
14,,"2,286.00",,,,0,,"2,286.00",,,"1,220.00",,,212,,,"1,220.00",,,58,,,|,,
15,,"2,228.00",,,,"1,078.00",,"2,286.00",,,"1,078.00",,,58,,,"1,220.00",,,"1,078.00",,,---,,
16,,"2,344.00",,,,0,,"2,344.00",,,"1,220.00",,,154,,,"1,220.00",,,58,,,|,,
