Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24089,,*,,,,,*,,,0.0,,,,0.0,,,382.5,,,751.0,,,*,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,382.5,,,,0.0,,382.5,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,382.5,,,|,,
2,,0.0,,,,751.0,,382.5,,,751.0,,,382.5,,,"1,220.0",,,751.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,602.5)   1,602.5",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
