Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11205,,,,,,,,,,0,,,,0,,,482.8,,,615,,,*
2,,12209,,,,,,,,,,0,,,,615,,,456.5,,,605,,,*
3,,9422,,,,,,,,,,482.8,,,,0,,,482,,,"1,208.50",,,*
4,,12233,,,,,,,,,,964.8,,,,0,,,482.8,,,615,,,*
5,,8968,,,,,,,,,,964.8,,,,615,,,456.5,,,605,,,*
6,,9813,,,,,,,,,,"1,447.60",,,,0,,,482,,,"1,208.50",,,*
7,,9114,,,,,,,,,,"1,929.60",,,,0,,,482.8,,,615,,,*
8,,7663,,,,,,,,,,"1,929.60",,,,615,,,456.5,,,605,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,482.8,,,,0,,482.8,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,482.8,,,|,,
2,,0,,,,615,,482.8,,,615,,,482.8,,,"1,220.00",,,615,,,---,,
3,,456.5,,,,615,,456.5,,,"1,220.00",,,482.8,,,605,,,456.5,,,|,,
4,,964.8,,,,0,,964.8,,,"1,220.00",,,"1,957.20",,,"1,220.00",,,482,,,|,,
5,,482.8,,,,"1,208.50",,964.8,,,"1,208.50",,,482,,,"1,220.00",,,"1,208.50",,,---,,
6,,"1,447.60",,,,0,,"1,447.60",,,"1,220.00",,,"1,475.20",,,"1,220.00",,,482.8,,,|,,
7,,964.8,,,,615,,"1,447.60",,,615,,,482.8,,,"1,220.00",,,615,,,---,,
8,,"1,421.30",,,,615,,"1,421.30",,,"1,220.00",,,482.8,,,605,,,456.5,,,|,,
9,,"1,929.60",,,,0,,"1,929.60",,,"1,220.00",,,992.4,,,"1,220.00",,,482,,,|,,
10,,"1,447.60",,,,"1,208.50",,"1,929.60",,,"1,208.50",,,482,,,"1,220.00",,,"1,208.50",,,---,,
11,,"2,412.40",,,,0,,"2,412.40",,,"1,220.00",,,510.4,,,"1,220.00",,,482.8,,,|,,
12,,"1,929.60",,,,615,,"2,412.40",,,615,,,482.8,,,"1,220.00",,,615,,,---,,
13,,"2,386.10",,,,615,,"2,386.10",,,"1,220.00",,,482.8,,,605,,,456.5,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,327.4)   10,327.4",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7699,,,,,,,,,,0,,,,0,,,456.5,,,605,,,*
2,,7785,,,,,,,,,,456.5,,,,0,,,441.5,,,587,,,*
3,,7888,,,,,,,,,,898,,,,0,,,441.5,,,587,,,*
4,,9531,,,,,,,,,,"1,339.50",,,,0,,,892,,,482,,,
5,,10092,,,,,,,,,,0,,,,605,,,477.8,,,615,,,*
6,,8699,,,,,,,,,,477.8,,,,605,,,482.8,,,615,,,*
7,,8273,,,,,,,,,,960.6,,,,605,,,477.8,,,615,,,*
8,,9502,,,,,,,,,,"1,438.40",,,,605,,,477.8,,,615,,,*
9,,7772,,,,,,,,,,"1,916.20",,,,605,,,477.8,,,615,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,605,,"2,440.00",,,605,,,"2,440.00",,,"1,220.00",,,605,,,---,,
2,,456.5,,,,0,,456.5,,,605,,,"2,440.00",,,605,,,456.5,,,|,,
3,,898,,,,0,,898,,,605,,,"1,983.50",,,605,,,441.5,,,|,,
4,,456.5,,,,587,,898,,,587,,,441.5,,,605,,,587,,,---,,
