Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,37360,,,,,,,,,,0,,,,0,,,683,,,439,,,
2,,34440,,,,,,,,,,683,,,,0,,,433.1,,,439,,,
3,,36386,,,,,,,,,,"1,116.10",,,,0,,,683,,,439,,,
4,,34280,,,,,,,,,,"1,799.10",,,,0,,,420,,,439,,,
5,,35709,,,,,,,,,,"2,219.10",,,,0,,,118,,,438,,,*
6,,36722,,,,,,,,,,"2,337.10",,,,0,,,92.5,,,432.1,,,*
7,,36432,,,,,,,,,,0,,,,439,,,754.5,,,489,,,
8,,35332,,,,,,,,,,754.5,,,,439,,,761.5,,,489,,,
9,,37289,,,,,,,,,,"1,516.00",,,,439,,,761.5,,,489,,,
10,,36382,,,,,,,,,,"2,277.50",,,,439,,,158,,,488,,,*
11,,34936,,,,,,,,,,0,,,,928,,,682,,,132.5,,,
12,,33408,,,,,,,,,,682,,,,928,,,682,,,132.5,,,
13,,32796,,,,,,,,,,"1,364.00",,,,928,,,533,,,132.5,,,
14,,33573,,,,,,,,,,"1,897.00",,,,928,,,533,,,132.5,,,
15,,32726,,,,,,,,,,0,,,,"1,060.50",,,288,,,158,,,
16,,36095,,,,,,,,,,288,,,,"1,060.50",,,438,,,158,,,
17,,36291,,,,,,,,,,726,,,,"1,060.50",,,438,,,158,,,
18,,33009,,,,,,,,,,"1,164.00",,,,"1,060.50",,,288,,,158,,,
19,,36073,,,,,,,,,,"1,452.00",,,,"1,060.50",,,488,,,158,,,
20,,37355,,,,,,,,,,"1,940.00",,,,"1,060.50",,,488,,,158,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,439,,"2,440.00",,,439,,,"2,440.00",,,"1,220.00",,,439,,,---,,
2,,683,,,,0,,683,,,439,,,"2,440.00",,,439,,,683,,,|,,
3,,"1,116.10",,,,0,,"1,116.10",,,439,,,"1,757.00",,,439,,,433.1,,,|,,
4,"1,799.10",0,"1,799.10",439,"1,323.90",439,683,|,,,,,,,,,,,,,,,,,
5,"2,219.10",0,"2,219.10",439,640.9,439,420,|,,,,,,,,,,,,,,,,,
6,"2,337.10",0,"2,337.10",439,220.9,439,118,|,,,,,,,,,,,,,,,,,
7,"2,219.10",438,"2,337.10",438,118,439,438,---,,,,,,,,,,,,,,,,,
8,"2,429.60",0,"2,429.60",439,102.9,439,92.5,|,,,,,,,,,,,,,,,,,
9,"2,337.10",432.1,"2,429.60",432.1,92.5,439,432.1,---,,,,,,,,,,,,,,,,,
10,0,928,"2,440.00",928,"2,440.00",781,489,---,,,,,,,,,,,,,,,,,
11,754.5,439,754.5,928,"2,440.00",489,754.5,|,,,,,,,,,,,,,,,,,
12,"1,516.00",439,"1,516.00",928,"1,685.50",489,761.5,|,,,,,,,,,,,,,,,,,
13,"2,277.50",439,"2,277.50",928,924,489,761.5,|,,,,,,,,,,,,,,,,,
14,"2,435.50",439,"2,435.50",928,162.5,489,158,|,,,,,,,,,,,,,,,,,
15,"2,277.50",927,"2,435.50",927,158,489,488,---,,,,,,,,,,,,,,,,,
16,0,"1,060.50","2,440.00","1,060.50","2,440.00",292,132.5,---,,,,,,,,,,,,,,,,,
17,682,928,682,"1,060.50","2,440.00",132.5,682,|,,,,,,,,,,,,,,,,,
18,"1,364.00",928,"1,364.00","1,060.50","1,758.00",132.5,682,|,,,,,,,,,,,,,,,,,
19,"1,897.00",928,"1,897.00","1,060.50","1,076.00",132.5,533,|,,,,,,,,,,,,,,,,,
20,"2,430.00",928,"2,430.00","1,060.50",543,132.5,533,|,,,,,,,,,,,,,,,,,
21,0,"1,218.50","2,440.00","1,218.50","2,440.00",159.5,158,---,,,,,,,,,,,,,,,,,
22,288,"1,060.50",288,"1,218.50","2,440.00",158,288,|,,,,,,,,,,,,,,,,,
23,726,"1,060.50",726,"1,218.50","2,152.00",158,438,|,,,,,,,,,,,,,,,,,
24,"1,164.00","1,060.50","1,164.00","1,218.50","1,714.00",158,438,|,,,,,,,,,,,,,,,,,
25,"1,452.00","1,060.50","1,452.00","1,218.50","1,276.00",158,288,|,,,,,,,,,,,,,,,,,
26,"1,940.00","1,060.50","1,940.00","1,218.50",988,158,488,|,,,,,,,,,,,,,,,,,
27,"2,428.00","1,060.50","2,428.00","1,218.50",500,158,488,|,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 16,196.5)   16,196.5",,,,,,Count of cuts   (1 x 27)   27,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
2 of 3,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,X-coord,,Y-coord,,Length,,Width,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33323,,,,,,,0,,0,,489,,761.5,,*,,,,,,,,
2,,35755,,,,,,,0,,761.5,,488,,158,,,,,,,,,,
3,,34784,,,,,,,0,,919.5,,488,,158,,,,,,,,,,
4,,34279,,,,,,,0,,"1,077.50",,438,,118,,,,,,,,,,
5,,35408,,,,,,,489,,0,,289,,534,,*,,,,,,,,
6,,34864,,,,,,,489,,534,,289,,534,,*,,,,,,,,
7,,32500,,,,,,,778,,0,,438,,118,,,,,,,,,,
8,,36437,,,,,,,778,,118,,438,,118,,,,,,,,,,
9,,35570,,,,,,,778,,236,,430.5,,439,,,,,,,,,,
10,,35454,,,,,,,778,,675,,429.5,,92.5,,,,,,,,,,
11,,33068,,,,,,,778,,767.5,,420,,439,,,,,,,,,,
12,,33414,,,,,,,"1,216.00",,0,,132.5,,760.5,,*,,,,,,,,
13,,34044,,,,,,,"1,216.00",,760.5,,118,,438,,*,,,,,,,,
14,,35017,,,,,,,"1,348.50",,0,,132.5,,760.5,,*,,,,,,,,
15,,35847,,,,,,,"1,348.50",,760.5,,118,,438,,*,,,,,,,,
16,,33351,,,,,,,"1,481.00",,0,,132.5,,760.5,,*,,,,,,,,
17,,35132,,,,,,,"1,481.00",,760.5,,118,,438,,*,,,,,,,,
18,,35255,,,,,,,"1,613.50",,0,,489,,754.5,,*,,,,,,,,
19,,35556,,,,,,,"1,613.50",,754.5,,488,,158,,,,,,,,,,
20,,32551,,,,,,,"1,613.50",,912.5,,488,,158,,,,,,,,,,
21,,33947,,,,,,,"1,613.50",,"1,070.50",,438,,118,,,,,,,,,,
22,,33303,,,,,,,"2,102.50",,0,,158,,438,,*,,,,,,,,
23,,32695,,,,,,,"2,102.50",,438,,158,,288,,*,,,,,,,,
24,,32608,,,,,,,"2,102.50",,726,,158,,488,,*,,,,,,,,
25,,36552,,,,,,,"2,260.50",,0,,158,,488,,*,,,,,,,,
26,,32498,,,,,,,"2,260.50",,488,,158,,438,,*,,,,,,,,
27,,37352,,,,,,,"2,260.50",,,926,,158,,288,,*,,,,,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,489,,,0,489,,,"1,220.00",,"2,440.00",,"1,220.00",,489,,|,,,,,,,,,
2,0,,,761.5,489,,,761.5,,489,,"1,220.00",,761.5,,---,,,,,,,,,
3,0,,,919.5,489,,,919.5,,489,,458.5,,158,,---,,,,,,,,,
4,488,,,761.5,488,,,919.5,,489,,158,,488,,|,,,,,,,,,
5,0,,,"1,077.50",489,,,"1,077.50",,489,,300.5,,158,,---,,,,,,,,,
6,488,,,919.5,488,,,"1,077.50",,489,,158,,488,,|,,,,,,,,,
7,0,,,"1,195.50",489,,,"1,195.50",,489,,142.5,,118,,---,,,,,,,,,
8,438,,,"1,077.50",438,,,"1,195.50",,489,,118,,438,,|,,,,,,,,,
9,778,,,0,778,,,"1,220.00",,"1,951.00",,"1,220.00",,289,,|,,,,,,,,,
10,489,,,534,778,,,534,,289,,"1,220.00",,534,,---,,,,,,,,,
11,489,,,"1,068.00",778,,,"1,068.00",,289,,686,,534,,---,,,,,,,,,
12,"1,216.00",,,0,"1,216.00",,,"1,220.00",,"1,662.00",,"1,220.00",,438,,|,,,,,,,,,
13,778,,,118,"1,216.00",,,118,,438,,"1,220.00",,118,,---,,,,,,,,,
14,778,,,236,"1,216.00",,,236,,438,,"1,102.00",,118,,---,,,,,,,,,
15,778,,,675,"1,216.00",,,675,,438,,984,,439,,---,,,,,,,,,
