Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24830,,,,,,,,,,0.0,,,,0.0,,,58.0,,,552.0,,,*,
2,,24906,,*,,,,,*,,,0.0,,,,552.0,,,58.0,,,552.0,,,*,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,58.0,,,,0.0,,58.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,58.0,,,|,,
2,,0.0,,,,552.0,,58.0,,,552.0,,,58.0,,,"1,220.0",,,552.0,,,---,,
3,,0.0,,,,"1,104.0",,58.0,,,"1,104.0",,,58.0,,,668.0,,,552.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,336.0)   1,336.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
