Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2606,,,,,,,,,,0,,,,0,,,734,,,597,,,
2,,1439,,,,,,,,,,734,,,,0,,,734,,,597,,,
3,,685,,,,,,,,,,"1,468.00",,,,0,,,948,,,558,,,
4,,3061,,,,,,,,,,0,,,,597,,,"2,151.00",,,578,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,597,,"2,440.00",,,597,,,"2,440.00",,,"1,220.00",,,597,,,---,,
2,,734,,,,0,,734,,,597,,,"2,440.00",,,597,,,734,,,|,,
3,,"1,468.00",,,,0,,"1,468.00",,,597,,,"1,706.00",,,597,,,734,,,|,,
4,,"2,416.00",,,,0,,"2,416.00",,,597,,,972,,,597,,,948,,,|,,
5,,"1,468.00",,,,558,,"2,416.00",,,558,,,948,,,597,,,558,,,---,,
6,,0,,,,"1,175.00",,"2,440.00",,,"1,175.00",,,"2,440.00",,,623,,,578,,,---,,
7,,"2,151.00",,,,597,,"2,151.00",,,"1,175.00",,,"2,440.00",,,578,,,"2,151.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,197.0)   8,197.0",,,,,,,,,,,,,,,Count of cuts   (1 x 7)   7,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2540,,,,,,,,,,0,,,,0,,,597,,,734,,,*
2,,147,,,,,,,,,,597,,,,0,,,"1,398.00",,,598,,,
3,,1879,,,,,,,,,,"1,995.00",,,,0,,,348,,,596,,,
4,,874,,,,,,,,,,0,,,,734,,,"2,397.00",,,398,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,734,,"2,440.00",,,734,,,"2,440.00",,,"1,220.00",,,734,,,---,,
2,,597,,,,0,,597,,,734,,,"2,440.00",,,734,,,597,,,|,,
3,,"1,995.00",,,,0,,"1,995.00",,,734,,,"1,843.00",,,734,,,"1,398.00",,,|,,
4,,597,,,,598,,"1,995.00",,,598,,,"1,398.00",,,734,,,598,,,---,,
5,,"2,343.00",,,,0,,"2,343.00",,,734,,,445,,,734,,,348,,,|,,
6,,"1,995.00",,,,596,,"2,343.00",,,596,,,348,,,734,,,596,,,---,,
7,,0,,,,"1,132.00",,"2,440.00",,,"1,132.00",,,"2,440.00",,,486,,,398,,,---,,
8,,"2,397.00",,,,734,,"2,397.00",,,"1,132.00",,,"2,440.00",,,398,,,"2,397.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,226.0)   9,226.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2232,,,,,,,,,,0,,,,0,,,"1,005.00",,,398,,,
2,,3457,,*,,,,,*,,,0,,,,398,,,"1,239.50",,,308,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,239.50",,,,0,,"1,239.50",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"1,239.50",,,|,,
2,,0,,,,398,,"1,239.50",,,398,,,"1,239.50",,,"1,220.00",,,398,,,---,,
3,,"1,005.00",,,,0,,"1,005.00",,,398,,,"1,239.50",,,398,,,"1,005.00",,,|,,
4,,0,,,,706,,"1,239.50",,,706,,,"1,239.50",,,822,,,308,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,097.0)   4,097.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,
