Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32818,,*,,,,,*,,,0.0,,,,0.0,,,498.0,,,"1,192.0",,,*,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,498.0,,,,0.0,,498.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,498.0,,,|,,
2,,0.0,,,,"1,192.0",,498.0,,,"1,192.0",,,498.0,,,"1,220.0",,,"1,192.0",,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,718.0)   1,718.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
