Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31819,,,,,,,,,,0,,,,0,,,"1,394.00",,,413.5,,,
2,,27993,,,,,,,,,,"1,394.00",,,,0,,,"1,028.50",,,413.5,,,
3,,27463,,,,,,,,,,0,,,,413.5,,,"1,394.00",,,413.5,,,
4,,30815,,,,,,,,,,"1,394.00",,,,413.5,,,"1,028.50",,,413.5,,,
5,,30836,,,,,,,,,,0,,,,827,,,"1,878.00",,,58,,,
6,,28985,,,,,,,,,,0,,,,885,,,"1,978.00",,,58,,,
7,,31915,,,,,,,,,,0,,,,943,,,"1,958.00",,,58,,,
8,,32321,,,,,,,,,,0,,,,"1,001.00",,,"1,858.00",,,58,,,
9,,27625,,,,,,,,,,0,,,,"1,059.00",,,"2,078.00",,,58,,,
10,,29737,,,,,,,,,,0,,,,"1,117.00",,,"2,058.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,413.5,,"2,440.00",,,413.5,,,"2,440.00",,,"1,220.00",,,413.5,,,---,,
2,,"1,394.00",,,,0,,"1,394.00",,,413.5,,,"2,440.00",,,413.5,,,"1,394.00",,,|,,
3,,"2,422.50",,,,0,,"2,422.50",,,413.5,,,"1,046.00",,,413.5,,,"1,028.50",,,|,,
4,,0,,,,827,,"2,440.00",,,827,,,"2,440.00",,,806.5,,,413.5,,,---,,
5,,"1,394.00",,,,413.5,,"1,394.00",,,827,,,"2,440.00",,,413.5,,,"1,394.00",,,|,,
6,,"2,422.50",,,,413.5,,"2,422.50",,,827,,,"1,046.00",,,413.5,,,"1,028.50",,,|,,
7,,0,,,,885,,"2,440.00",,,885,,,"2,440.00",,,393,,,58,,,---,,
8,,"1,878.00",,,,827,,"1,878.00",,,885,,,"2,440.00",,,58,,,"1,878.00",,,|,,
9,,0,,,,943,,"2,440.00",,,943,,,"2,440.00",,,335,,,58,,,---,,
10,,"1,978.00",,,,885,,"1,978.00",,,943,,,"2,440.00",,,58,,,"1,978.00",,,|,,
11,,0,,,,"1,001.00",,"2,440.00",,,"1,001.00",,,"2,440.00",,,277,,,58,,,---,,
12,,"1,958.00",,,,943,,"1,958.00",,,"1,001.00",,,"2,440.00",,,58,,,"1,958.00",,,|,,
13,,0,,,,"1,059.00",,"2,440.00",,,"1,059.00",,,"2,440.00",,,219,,,58,,,---,,
14,,"1,858.00",,,,"1,001.00",,"1,858.00",,,"1,059.00",,,"2,440.00",,,58,,,"1,858.00",,,|,,
15,,0,,,,"1,117.00",,"2,440.00",,,"1,117.00",,,"2,440.00",,,161,,,58,,,---,,
