Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 22,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,28752,,,,,,,,,,0,,,,0,,,"2,300.00",,,578,,,
2,,31732,,,,,,,,,,"2,300.00",,,,0,,,140,,,578,,,
3,,29188,,,,,,,,,,0,,,,578,,,"2,186.00",,,482,,,
4,,27861,,,,,,,,,,"2,186.00",,,,578,,,238,,,238,,,
5,,27882,,,,,,,,,,"2,186.00",,,,816,,,238,,,238,,,
6,,28025,,,,,,,,,,0,,,,"1,060.00",,,488,,,158,,,
7,,28146,,,,,,,,,,488,,,,"1,060.00",,,488,,,158,,,
8,,31635,,,,,,,,,,976,,,,"1,060.00",,,488,,,158,,,
9,,32324,,,,,,,,,,"1,464.00",,,,"1,060.00",,,488,,,158,,,
10,,28663,,,,,,,,,,"1,952.00",,,,"1,060.00",,,488,,,158,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,578,,"2,440.00",,,578,,,"2,440.00",,,"1,220.00",,,578,,,---,,
2,,"2,300.00",,,,0,,"2,300.00",,,578,,,"2,440.00",,,578,,,"2,300.00",,,|,,
3,,0,,,,"1,060.00",,"2,440.00",,,"1,060.00",,,"2,440.00",,,642,,,482,,,---,,
4,,"2,186.00",,,,578,,"2,186.00",,,"1,060.00",,,"2,440.00",,,482,,,"2,186.00",,,|,,
5,,"2,424.00",,,,578,,"2,424.00",,,"1,060.00",,,254,,,482,,,238,,,|,,
6,,"2,186.00",,,,816,,"2,424.00",,,816,,,238,,,482,,,238,,,---,,
7,,"2,186.00",,,,"1,054.00",,"2,424.00",,,"1,054.00",,,238,,,244,,,238,,,---,,
8,,0,,,,"1,218.00",,"2,440.00",,,"1,218.00",,,"2,440.00",,,160,,,158,,,---,,
9,,488,,,,"1,060.00",,488,,,"1,218.00",,,"2,440.00",,,158,,,488,,,|,,
10,,976,,,,"1,060.00",,976,,,"1,218.00",,,"1,952.00",,,158,,,488,,,|,,
11,,"1,464.00",,,,"1,060.00",,"1,464.00",,,"1,218.00",,,"1,464.00",,,158,,,488,,,|,,
12,,"1,952.00",,,,"1,060.00",,"1,952.00",,,"1,218.00",,,976,,,158,,,488,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,970.0)   9,970.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 22,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30108,,,,,,,,,,0,,,,0,,,"1,993.00",,,771,,,
2,,30107,,,,,,,,,,"1,993.00",,,,0,,,438,,,771,,,
3,,30470,,,,,,,,,,0,,,,771,,,"2,186.00",,,447,,,
4,,28458,,,,,,,,,,"2,186.00",,,,771,,,239,,,382,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,771,,"2,440.00",,,771,,,"2,440.00",,,"1,220.00",,,771,,,---,,
2,,"1,993.00",,,,0,,"1,993.00",,,771,,,"2,440.00",,,771,,,"1,993.00",,,|,,
3,,"2,431.00",,,,0,,"2,431.00",,,771,,,447,,,771,,,438,,,|,,
4,,0,,,,"1,218.00",,"2,440.00",,,"1,218.00",,,"2,440.00",,,449,,,447,,,---,,
5,,"2,186.00",,,,771,,"2,186.00",,,"1,218.00",,,"2,440.00",,,447,,,"2,186.00",,,|,,
6,,"2,425.00",,,,771,,"2,425.00",,,"1,218.00",,,254,,,447,,,239,,,|,,
7,,"2,186.00",,,,"1,153.00",,"2,425.00",,,"1,153.00",,,239,,,447,,,382,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,555.0)   7,555.0",,,,,,,,,,,,,,,Count of cuts   (1 x 7)   7,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 22,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32082,,,,,,,,,,0,,,,0,,,"2,273.00",,,996.5,,,
2,,32197,,,,,,,,,,0,,,,996.5,,,"2,186.00",,,222,,,
3,,31129,,,,,,,,,,"2,273.00",,,,0,,,158,,,438,,,*
4,,28800,,,,,,,,,,"2,273.00",,,,438,,,158,,,338,,,*
5,,30025,,,,,,,,,,"2,273.00",,,,776,,,158,,,438,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,273.00",,,,0,,"2,273.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,273.00",,,|,,
2,,0,,,,996.5,,"2,273.00",,,996.5,,,"2,273.00",,,"1,220.00",,,996.5,,,---,,
3,,0,,,,"1,218.50",,"2,273.00",,,"1,218.50",,,"2,273.00",,,223.5,,,222,,,---,,
4,,"2,186.00",,,,996.5,,"2,186.00",,,"1,218.50",,,"2,273.00",,,222,,,"2,186.00",,,|,,
5,,"2,431.00",,,,0,,"2,431.00",,,"1,220.00",,,167,,,"1,220.00",,,158,,,|,,
6,,"2,273.00",,,,438,,"2,431.00",,,438,,,158,,,"1,220.00",,,438,,,---,,
7,,"2,273.00",,,,776,,"2,431.00",,,776,,,158,,,782,,,338,,,---,,
8,,"2,273.00",,,,"1,214.00",,"2,431.00",,,"1,214.00",,,158,,,444,,,438,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,682.0)   7,682.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 22,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,28641,,,,,,,,,,0,,,,0,,,"2,186.00",,,828,,,
2,,28866,,,,,,,,,,"2,186.00",,,,0,,,118,,,488,,,*
3,,31793,,,,,,,,,,"2,186.00",,,,488,,,118,,,338,,,*
4,,27695,,,,,,,,,,"2,304.00",,,,0,,,118,,,488,,,*
5,,31192,,,,,,,,,,"2,304.00",,,,488,,,118,,,338,,,*
6,,28346,,,,,,,,,,0,,,,828,,,625,,,389,,,
7,,30015,,,,,,,,,,625,,,,828,,,"1,673.00",,,385.5,,,
8,,28844,,,,,,,,,,"2,298.00",,,,828,,,132.5,,,341,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
