Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 6,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,32948,,,,,,,,,,0.0,,,,0.0,,,339.0,,,786.0,,,*,,
2,,36645,,,,,,,,,,339.0,,,,0.0,,,"2,051.0",,,772.0,,,,,
3,,34686,,,,,,,,,,0.0,,,,786.0,,,"1,368.5",,,432.0,,,,,
4,,36738,,,,,,,,,,"1,368.5",,,,786.0,,,501.0,,,432.0,,,,,
5,,35248,,,,,,,,,,"1,869.5",,,,786.0,,,539.5,,,360.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,786.0,,"2,440.0",,,786.0,,,"2,440.0",,,"1,220.0",,,786.0,,,---,,,
2,,339.0,,,,0.0,,339.0,,,786.0,,,"2,440.0",,,786.0,,,339.0,,,|,,,
3,,"2,390.0",,,,0.0,,"2,390.0",,,786.0,,,"2,101.0",,,786.0,,,"2,051.0",,,|,,,
4,,339.0,,,,772.0,,"2,390.0",,,772.0,,,"2,051.0",,,786.0,,,772.0,,,---,,,
5,,0.0,,,,"1,218.0",,"2,440.0",,,"1,218.0",,,"2,440.0",,,434.0,,,432.0,,,---,,,
6,,"1,368.5",,,,786.0,,"1,368.5",,,"1,218.0",,,"2,440.0",,,432.0,,,"1,368.5",,,|,,,
7,,"1,869.5",,,,786.0,,"1,869.5",,,"1,218.0",,,"1,071.5",,,432.0,,,501.0,,,|,,,
8,,"2,409.0",,,,786.0,,"2,409.0",,,"1,218.0",,,570.5,,,432.0,,,539.5,,,|,,,
9,,"1,869.5",,,,"1,146.0",,"2,409.0",,,"1,146.0",,,539.5,,,432.0,,,360.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,338.5)   10,338.5",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 6,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33229,,,,,,,,,,0.0,,,,0.0,,,891.0,,,559.5,,,*,,
2,,33952,,,,,,,,,,891.0,,,,0.0,,,871.0,,,559.5,,,*,,
3,,33196,,,,,,,,,,"1,762.0",,,,0.0,,,134.0,,,558.0,,,,,
4,,32585,,,,,,,,,,"1,896.0",,,,0.0,,,441.0,,,539.5,,,*,,
5,,32681,,,,,,,,,,0.0,,,,559.5,,,710.0,,,539.5,,,*,,
6,,36668,,,,,,,,,,710.0,,,,559.5,,,781.0,,,539.5,,,*,,
7,,35215,,,,,,,,,,"1,491.0",,,,559.5,,,719.0,,,539.5,,,*,,
8,,37254,,,,,,,,,,"2,210.0",,,,559.5,,,78.0,,,338.0,,,*,,
9,,35642,,,,,,,,,,0.0,,,,"1,099.0",,,338.0,,,78.0,,,,,
10,,36455,,,,,,,,,,338.0,,,,"1,099.0",,,785.0,,,52.5,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,559.5,,"2,440.0",,,559.5,,,"2,440.0",,,"1,220.0",,,559.5,,,---,,,
2,,891.0,,,,0.0,,891.0,,,559.5,,,"2,440.0",,,559.5,,,891.0,,,|,,,
3,,"1,762.0",,,,0.0,,"1,762.0",,,559.5,,,"1,549.0",,,559.5,,,871.0,,,|,,,
