Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 3,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29822,,,,,,,,,,0,,,,0,,,401,,,439,,,
2,,30501,,,,,,,,,,0,,,,439,*,,198,,,438,,,
3,,30407,,,,,,,,,,198,,,,439,*,,198,,,438,,,
4,,28315,,,,,,,,,,0,,,,877,,,393,,,239,,,
5,,31472,,,,,,,,,,0,,,,"1,116.00",,,388,,,78,,,
6,,31332,,,,,,,,,,401,,,,0,*,,439,,,410,,,
7,,30808,,,,,,,,,,401,,,,410,*,,439,,,401,,,
8,,30877,,,,,,,,,,401,,,,811,,,438,,,118,,,
9,,29092,,,,,,,,,,401,,,,929,,,392,,,92.5,,,
10,,29866,,,,,,,,,,401,,,,"1,021.50",,,388,,,78,,,
11,,29668,,,,,,,,,,401,,,,"1,099.50",,,348,,,118,,,
12,,29042,,,,,,,,,,840,,,,0,,,275,,,299,,,
13,,29184,,,,,,,,,,840,,,,299,,,274,,,52.5,,,
14,,28282,,,,,,,,,,840,,,,351.5,*,,239,,,418,,,
15,,27618,,,,,,,,,,840,,,,769.5,*,,132.5,,,417,,,
16,,27674,,,,,,,,,,972.5,,,,769.5,*,,132.5,,,417,,,
17,,30120,,,,,,,,,,"1,115.00",,,,0,*,,118,,,238,,,
18,,32193,,,,,,,,,,"1,115.00",,,,238,*,,118,,,338,,,
19,,27453,,,,,,,,,,"1,115.00",,,,576,*,,118,,,298,,,
20,,32111,,,,,,,,,,"1,115.00",,,,874,*,,118,,,338,,,
21,,31205,,,,,,,,,,"1,233.00",,,,0,,,660,,,439,,,
22,,28048,,,,,,,,,,"1,233.00",,,,439,,,658,,,92.5,,,
23,,28348,,,,,,,,,,"1,233.00",,,,531.5,,,601,,,299,,,
24,,32377,,,,,,,,,,"1,233.00",,,,830.5,,,318.5,,,389,,,
25,,29170,,,,,,,,,,"1,551.50",,,,830.5,,,308,,,389,,,
26,,31903,,,,,,,,,,"1,893.00",,,,0,*,,92.5,,,409,,,
27,,31063,,,,,,,,,,"1,893.00",,,,409,,*,92.5,,,354,,,
28,,29093,,,,,,,,,,"1,893.00",,,,763,,*,92.5,,,400,,,
29,,31447,,,,,,,,,,"1,985.50",,,,0,,*,118,,,438,,,
30,,28919,,,,,,,,,,"1,985.50",,,,438,,*,118,,,338,,,
31,,29283,,,,,,,,,,"1,985.50",,,,776,,*,118,,,438,,,
32,,29910,,,,,,,,,,"2,103.50",,,,0,,,238,,,118,,,
33,,30726,,,,,,,,,,"2,103.50",,,,118,,,238,,,158,,,
34,,29667,,,,,,,,,,"2,103.50",,,,276,,*,118,,,348,,,
35,,29767,,,,,,,,,,"2,221.50",,,,276,,*,118,,,348,,,
36,,28670,,,,,,,,,,"2,103.50",,,,624,,*,118,,,298,,,
37,,29605,,,,,,,,,,"2,221.50",,,,624,,*,118,,,298,,,
38,,32121,,,,,,,,,,"2,103.50",,,,922,,*,78,,,298,,,
39,,30011,,,,,,,,,,"2,181.50",,,,922,,*,78,,,298,,,
40,,28892,,,,,,,,,,"2,259.50",,,,922,,*,78,,,298,,,
41,,29768,,,,,,,,,,"2,341.50",,,,0,,*,92.5,,,362,,,
42,,30583,,,,,,,,,,"2,341.50",,,,362,,*,92.5,,,400,,,
43,,32098,,,,,,,,,,"2,341.50",,,,762,,*,92.5,,,392,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,401,,,0,401,,,"1,220.00",,"2,440.00",,"1,220.00",,401,,|,,,,,,,,,
2,0,,,439,401,,,439,,401,,"1,220.00",,439,,---,,,,,,,,,
3,0,,,877,401,,,877,,401,,781,,438,,---,,,,,,,,,
4,198,,,439,198,,,877,,401,,438,,198,,|,,,,,,,,,
5,396,,,439,396,,,877,,203,,438,,198,,|,,,,,,,,,
6,0,,,"1,116.00",401,,,"1,116.00",,401,,343,,239,,---,,,,,,,,,
7,393,,,877,393,,,"1,116.00",,401,,239,,393,,|,,,,,,,,,
8,0,,,"1,194.00",401,,,"1,194.00",,401,,104,,78,,---,,,,,,,,,
9,388,,,"1,116.00",388,,,"1,194.00",,401,,78,,388,,|,,,,,,,,,
10,840,,,0,840,,,"1,220.00",,"2,039.00",,"1,220.00",,439,,|,,,,,,,,,
11,401,,,410,840,,,410,,439,,"1,220.00",,410,,---,,,,,,,,,
12,401,,,811,840,,,811,,439,,810,,401,,---,,,,,,,,,
13,401,,,929,840,,,929,,439,,409,,118,,---,,,,,,,,,
14,839,,,811,839,,,929,,439,,118,,438,,|,,,,,,,,,
15,401,,,"1,021.50",840,,,"1,021.50",,439,,291,,92.5,,---,,,,,,,,,
16,793,,,929,793,,,"1,021.50",,439,,92.5,,392,,|,,,,,,,,,
17,401,,,"1,099.50",840,,,"1,099.50",,439,,198.5,,78,,---,,,,,,,,,
18,789,,,"1,021.50",789,,,"1,099.50",,439,,78,,388,,|,,,,,,,,,
19,401,,,"1,217.50",840,,,"1,217.50",,439,,120.5,,118,,---,,,,,,,,,
20,749,,,"1,099.50",749,,,"1,217.50",,439,,118,,348,,|,,,,,,,,,
21,"1,115.00",,,0,"1,115.00",,,"1,220.00",,"1,600.00",,"1,220.00",,275,,|,,,,,,,,,
22,840,,,299,"1,115.00",,,299,,275,,"1,220.00",,299,,---,,,,,,,,,
23,840,,,351.5,"1,115.00",,,351.5,,275,,921,,52.5,,---,,,,,,,,,
24,"1,114.00",,,299,"1,114.00",,,351.5,,275,,52.5,,274,,|,,,,,,,,,
25,840,,,769.5,"1,115.00",,,769.5,,275,,868.5,,418,,---,,,,,,,,,
26,"1,079.00",,,351.5,"1,079.00",,,769.5,,275,,418,,239,,|,,,,,,,,,
27,840,,,"1,186.50","1,115.00",,,"1,186.50",,275,,450.5,,417,,---,,,,,,,,,
28,972.5,,,769.5,972.5,,,"1,186.50",,275,,417,,132.5,,|,,,,,,,,,
29,"1,105.00",,,769.5,"1,105.00",,,"1,186.50",,142.5,,417,,132.5,,|,,,,,,,,,
30,"1,233.00",,,0,"1,233.00",,,"1,220.00",,"1,325.00",,"1,220.00",,118,,|,,,,,,,,,
31,"1,115.00",,,238,"1,233.00",,,238,,118,,"1,220.00",,238,,---,,,,,,,,,
32,"1,115.00",,,576,"1,233.00",,,576,,118,,982,,338,,---,,,,,,,,,
33,"1,115.00",,,874,"1,233.00",,,874,,118,,644,,298,,---,,,,,,,,,
34,"1,115.00",,,"1,212.00","1,233.00",,,"1,212.00",,118,,346,,338,,---,,,,,,,,,
35,"1,893.00",0,"1,893.00","1,220.00","1,207.00","1,220.00",660,|,,,,,,,,,,,,,,,,,
36,"1,233.00",439,"1,893.00",439,660,"1,220.00",439,---,,,,,,,,,,,,,,,,,
37,"1,233.00",531.5,"1,893.00",531.5,660,781,92.5,---,,,,,,,,,,,,,,,,,
38,"1,891.00",439,"1,891.00",531.5,660,92.5,658,|,,,,,,,,,,,,,,,,,
39,"1,233.00",830.5,"1,893.00",830.5,660,688.5,299,---,,,,,,,,,,,,,,,,,
40,"1,834.00",531.5,"1,834.00",830.5,660,299,601,|,,,,,,,,,,,,,,,,,
41,"1,233.00","1,219.50","1,893.00","1,219.50",660,389.5,389,---,,,,,,,,,,,,,,,,,
42,"1,551.50",830.5,"1,551.50","1,219.50",660,389,318.5,|,,,,,,,,,,,,,,,,,
43,"1,859.50",830.5,"1,859.50","1,219.50",341.5,389,308,|,,,,,,,,,,,,,,,,,
44,"1,985.50",0,"1,985.50","1,220.00",547,"1,220.00",92.5,|,,,,,,,,,,,,,,,,,
45,"1,893.00",409,"1,985.50",409,92.5,"1,220.00",409,---,,,,,,,,,,,,,,,,,
46,"1,893.00",763,"1,985.50",763,92.5,811,354,---,,,,,,,,,,,,,,,,,
47,"1,893.00","1,163.00","1,985.50","1,163.00",92.5,457,400,---,,,,,,,,,,,,,,,,,
48,"2,103.50",0,"2,103.50","1,220.00",454.5,"1,220.00",118,|,,,,,,,,,,,,,,,,,
49,"1,985.50",438,"2,103.50",438,118,"1,220.00",438,---,,,,,,,,,,,,,,,,,
50,"1,985.50",776,"2,103.50",776,118,782,338,---,,,,,,,,,,,,,,,,,
51,"1,985.50","1,214.00","2,103.50","1,214.00",118,444,438,---,,,,,,,,,,,,,,,,,
52,"2,341.50",0,"2,341.50","1,220.00",336.5,"1,220.00",238,|,,,,,,,,,,,,,,,,,
53,"2,103.50",118,"2,341.50",118,238,"1,220.00",118,---,,,,,,,,,,,,,,,,,
54,"2,103.50",276,"2,341.50",276,238,"1,102.00",158,---,,,,,,,,,,,,,,,,,
55,"2,103.50",624,"2,341.50",624,238,944,348,---,,,,,,,,,,,,,,,,,
56,"2,221.50",276,"2,221.50",624,238,348,118,|,,,,,,,,,,,,,,,,,
